elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
0.365190,0,0,0,0
0.366740,0,0,0,0
0.368366,0,0,0,0
0.369914,0,0,0,0
0.371459,0,0,0,0
0.373010,0,0,0,0
0.374556,0,0,0,0
0.376102,0,0,0,0
0.377600,0,0,0,0
0.379011,0,0,0,0
0.380531,0,0,0,0
0.382082,0,0,0,0
0.383630,0,0,0,0
0.385179,0,0,0,0
0.386729,0,0,0,0
0.388278,0,0,0,0
0.389915,0,0,0,0
0.391464,0,0,0,0
0.393015,0,0,0,0
0.394566,0,0,0,0
0.396113,0,0,0,0
0.397669,0,0,0,0
0.399217,0,0,0,0
0.400782,0,0,0,0
0.402332,0,0,0,0
0.403880,0,0,0,0
0.405428,0,0,0,0
0.407737,0,0,0,0
0.409161,0,0,0,0
0.410682,0,0,0,0
0.412243,0,0,0,0
0.413799,0,0,0,0
0.415349,0,0,0,0
0.416901,0,0,0,0
0.418451,0,0,0,0
0.420000,0,0,0,0
0.421604,0,0,0,0
0.423167,0,0,0,0
0.424719,0,0,0,0
0.426270,0,0,0,0
0.427818,0,0,0,0
0.429413,0,0,0,0
0.430964,0,0,0,0
0.432516,0,0,0,0
0.434081,0,0,0,0
0.435630,0,0,0,0
0.437180,0,0,0,0
0.438731,0,0,0,0
0.440281,0,0,0,0
0.441847,0,0,0,0
0.443397,0,0,0,0
0.445004,0,0,0,0
0.446554,0,0,0,0
0.448102,0,0,0,0
0.449656,0,0,0,0
0.451204,0,0,0,0
0.452756,0,0,0,0
0.454307,0,0,0,0
0.455869,0,0,0,0
0.457419,0,0,0,0
0.458970,0,0,0,0
0.460522,0,0,0,0
0.462075,0,0,0,0
0.463625,0,0,0,0
0.465175,0,0,0,0
0.466739,0,0,0,0
0.468288,0,0,0,0
0.469861,0,0,0,0
0.471256,0,0,0,0
0.472650,0,0,0,0
0.474038,0,0,0,0
0.475425,0,0,0,0
0.476869,0,0,0,0
0.478257,0,0,0,0
0.479642,0,0,0,0
0.481157,0,0,0,0
0.482710,0,0,0,0
0.484256,0,0,0,0
0.485809,0,0,0,0
0.487372,0,0,0,0
0.488924,0,0,0,0
0.490475,0,0,0,0
0.492024,0,0,0,0
0.493579,0,0,0,0
0.495129,0,0,0,0
0.496681,0,0,0,0
0.498236,0,0,0,0
0.499777,0,0,0,0
0.501195,0,0,0,0
0.502626,0,0,0,0
0.504013,0,0,0,0
0.505442,0,0,0,0
0.506827,0,0,0,0
0.508224,0,0,0,0
0.509656,0,0,0,0
0.511145,0,0,0,0
0.512695,0,0,0,0
0.514244,0,0,0,0
0.515792,0,0,0,0
0.517342,0,0,0,0
0.518904,0,0,0,0
0.520455,0,0,0,0
0.521972,0,0,0,0
0.523497,0,0,0,0
0.525095,0,0,0,0
0.526646,0,0,0,0
0.528195,0,0,0,0
0.529765,0,0,0,0
0.531313,0,0,0,0
0.532865,0,0,0,0
0.534519,0,0,0,0
0.536069,0,0,0,0
0.537624,0,0,0,0
0.539173,0,0,0,0
0.540782,0,0,0,0
0.542332,0,0,0,0
0.543881,0,0,0,0
0.545433,0,0,0,0
0.546982,0,0,0,0
0.548534,0,0,0,0
0.550085,0,0,0,0
0.551648,0,0,0,0
0.553199,0,0,0,0
0.554750,0,0,0,0
0.556298,0,0,0,0
0.557959,0,0,0,0
0.559351,0,0,0,0
0.560870,0,0,0,0
0.562433,0,0,0,0
0.563983,0,0,0,0
0.565586,0,0,0,0
0.567136,0,0,0,0
0.568687,0,0,0,0
0.570229,0,0,0,0
0.571769,0,0,0,0
0.573242,0,0,0,0
0.574845,0,0,0,0
0.576705,0,0,0,0
0.578257,0,0,0,0
0.579664,0,0,0,0
0.581056,0,0,0,0
0.582444,0,0,0,0
0.583842,0,0,0,0
0.585231,0,0,0,0
0.586746,0,0,0,0
0.588295,0,0,0,0
0.589866,0,0,0,0
0.591414,0,0,0,0
0.592965,0,0,0,0
0.594528,0,0,0,0
0.596077,0,0,0,0
0.597630,0,0,0,0
0.599178,0,0,0,0
0.600755,0,0,0,0
0.602307,0,0,0,0
0.603857,0,0,0,0
0.605463,0,0,0,0
0.607890,0,0,0,0
0.609419,0,0,0,0
0.610969,0,0,0,0
0.612521,0,0,0,0
0.614072,0,0,0,0
0.615635,0,0,0,0
0.617185,0,0,0,0
0.618737,0,0,0,0
0.620286,0,0,0,0
0.621950,0,0,0,0
0.623342,0,0,0,0
0.624861,0,0,0,0
0.626415,0,0,0,0
0.627955,0,0,0,0
0.629376,0,0,0,0
0.630771,0,0,0,0
0.632160,0,0,0,0
0.633548,0,0,0,0
0.634935,0,0,0,0
0.636339,0,0,0,0
0.637729,0,0,0,0
