elapsed_s,TP_RESERVED_96,TP_RESERVED_97,TP_RESERVED_98,TP_RESERVED_99,TP_RESERVED_100,TP_RESERVED_101,TP_RESERVED_102,TP_RESERVED_103,TP_RESERVED_104,TP_RESERVED_105,TP_RESERVED_106,TP_RESERVED_107
0.324558,0,0,0,0,0,0,0,0,0,0,0,0
0.326167,0,0,0,0,0,0,0,0,0,0,0,0
0.327805,0,0,0,0,0,0,0,0,0,0,0,0
0.329399,0,0,0,0,0,0,0,0,0,0,0,0
0.330993,0,0,0,0,0,0,0,0,0,0,0,0
0.332589,0,0,0,0,0,0,0,0,0,0,0,0
0.334185,0,0,0,0,0,0,0,0,0,0,0,0
0.335780,0,0,0,0,0,0,0,0,0,0,0,0
0.337387,0,0,0,0,0,0,0,0,0,0,0,0
0.338981,0,0,0,0,0,0,0,0,0,0,0,0
0.340575,0,0,0,0,0,0,0,0,0,0,0,0
0.342172,0,0,0,0,0,0,0,0,0,0,0,0
0.343803,0,0,0,0,0,0,0,0,0,0,0,0
0.345386,0,0,0,0,0,0,0,0,0,0,0,0
0.346849,0,0,0,0,0,0,0,0,0,0,0,0
0.348420,0,0,0,0,0,0,0,0,0,0,0,0
0.350014,0,0,0,0,0,0,0,0,0,0,0,0
0.351605,0,0,0,0,0,0,0,0,0,0,0,0
0.353074,0,0,0,0,0,0,0,0,0,0,0,0
0.354644,0,0,0,0,0,0,0,0,0,0,0,0
0.356240,0,0,0,0,0,0,0,0,0,0,0,0
0.357832,0,0,0,0,0,0,0,0,0,0,0,0
0.359534,0,0,0,0,0,0,0,0,0,0,0,0
0.361126,0,0,0,0,0,0,0,0,0,0,0,0
0.362720,0,0,0,0,0,0,0,0,0,0,0,0
0.364315,0,0,0,0,0,0,0,0,0,0,0,0
0.365912,0,0,0,0,0,0,0,0,0,0,0,0
0.367506,0,0,0,0,0,0,0,0,0,0,0,0
0.369099,0,0,0,0,0,0,0,0,0,0,0,0
0.370704,0,0,0,0,0,0,0,0,0,0,0,0
0.372298,0,0,0,0,0,0,0,0,0,0,0,0
0.373893,0,0,0,0,0,0,0,0,0,0,0,0
0.375488,0,0,0,0,0,0,0,0,0,0,0,0
0.377080,0,0,0,0,0,0,0,0,0,0,0,0
0.378676,0,0,0,0,0,0,0,0,0,0,0,0
0.380271,0,0,0,0,0,0,0,0,0,0,0,0
0.381880,0,0,0,0,0,0,0,0,0,0,0,0
0.383475,0,0,0,0,0,0,0,0,0,0,0,0
0.385068,0,0,0,0,0,0,0,0,0,0,0,0
0.386697,0,0,0,0,0,0,0,0,0,0,0,0
0.388292,0,0,0,0,0,0,0,0,0,0,0,0
0.389887,0,0,0,0,0,0,0,0,0,0,0,0
0.391483,0,0,0,0,0,0,0,0,0,0,0,0
0.393089,0,0,0,0,0,0,0,0,0,0,0,0
0.394686,0,0,0,0,0,0,0,0,0,0,0,0
0.396271,0,0,0,0,0,0,0,0,0,0,0,0
0.398111,0,0,0,0,0,0,0,0,0,0,0,0
0.399701,0,0,0,0,0,0,0,0,0,0,0,0
0.401294,0,0,0,0,0,0,0,0,0,0,0,0
0.402889,0,0,0,0,0,0,0,0,0,0,0,0
0.404496,0,0,0,0,0,0,0,0,0,0,0,0
0.406091,0,0,0,0,0,0,0,0,0,0,0,0
0.407730,0,0,0,0,0,0,0,0,0,0,0,0
0.409324,0,0,0,0,0,0,0,0,0,0,0,0
0.410918,0,0,0,0,0,0,0,0,0,0,0,0
0.412513,0,0,0,0,0,0,0,0,0,0,0,0
0.414108,0,0,0,0,0,0,0,0,0,0,0,0
0.415717,0,0,0,0,0,0,0,0,0,0,0,0
0.417309,0,0,0,0,0,0,0,0,0,0,0,0
0.418902,0,0,0,0,0,0,0,0,0,0,0,0
