elapsed_s,VPC_FE_VPCRAM_FULL_CYCLES,VPC_FE_NUM_VPCRAM_WRITE,VPC_FE_STALL_CYCLES_TSE_FE,VPC_FE_STALL_CYCLES_VPC_US,VPC_FE_TSE_FE_PRIMITIVES,VPC_FE_GS_PRIMITIVES
0.659533,0,0,0,0,0,0
0.661108,0,0,0,0,0,0
0.662668,0,0,0,0,0,0
0.664228,0,0,0,0,0,0
0.665790,0,0,0,0,0,0
0.667366,0,0,0,0,0,0
0.668903,0,0,0,0,0,0
0.670463,0,0,0,0,0,0
0.672036,0,0,0,0,0,0
0.673597,0,0,0,0,0,0
0.675160,0,0,0,0,0,0
0.676766,0,0,0,0,0,0
0.678328,0,0,0,0,0,0
0.679891,0,0,0,0,0,0
0.681452,0,0,0,0,0,0
0.683025,0,0,0,0,0,0
0.684615,0,0,0,0,0,0
0.686174,0,0,0,0,0,0
0.687737,0,0,0,0,0,0
0.689286,0,0,0,0,0,0
0.690833,0,0,0,0,0,0
0.692389,0,0,0,0,0,0
0.693961,0,0,0,0,0,0
0.695522,0,0,0,0,0,0
0.697083,0,0,0,0,0,0
0.698642,0,0,0,0,0,0
0.700202,0,0,0,0,0,0
0.701762,0,0,0,0,0,0
0.703323,0,0,0,0,0,0
0.704893,0,0,0,0,0,0
0.706452,0,0,0,0,0,0
0.708056,0,0,0,0,0,0
0.709618,0,0,0,0,0,0
0.711181,0,0,0,0,0,0
0.712741,0,0,0,0,0,0
0.714301,0,0,0,0,0,0
0.715875,0,0,0,0,0,0
0.717437,0,0,0,0,0,0
0.718997,0,0,0,0,0,0
0.720560,0,0,0,0,0,0
0.722119,0,0,0,0,0,0
0.723725,0,0,0,0,0,0
0.725286,0,0,0,0,0,0
0.726859,0,0,0,0,0,0
0.728424,0,0,0,0,0,0
0.729983,0,0,0,0,0,0
0.731545,0,0,0,0,0,0
0.733106,0,0,0,0,0,0
0.734665,0,0,0,0,0,0
0.736226,0,0,0,0,0,0
0.737799,0,0,0,0,0,0
0.739362,0,0,0,0,0,0
0.740969,0,0,0,0,0,0
0.742528,0,0,0,0,0,0
0.744089,0,0,0,0,0,0
0.745641,0,0,0,0,0,0
0.747302,0,0,0,0,0,0
0.748716,0,0,0,0,0,0
0.750249,0,0,0,0,0,0
0.751811,0,0,0,0,0,0
0.753370,0,0,0,0,0,0
0.754928,0,0,0,0,0,0
0.756493,0,0,0,0,0,0
0.758052,0,0,0,0,0,0
0.759625,0,0,0,0,0,0
0.761106,0,0,0,0,0,0
0.762517,0,0,0,0,0,0
0.764046,0,0,0,0,0,0
0.765606,0,0,0,0,0,0
0.767168,0,0,0,0,0,0
0.768729,0,0,0,0,0,0
0.770300,0,0,0,0,0,0
0.771907,0,0,0,0,0,0
0.773468,0,0,0,0,0,0
0.775027,0,0,0,0,0,0
0.776611,0,0,0,0,0,0
0.778171,0,0,0,0,0,0
0.779733,0,0,0,0,0,0
0.781307,0,0,0,0,0,0
0.782866,0,0,0,0,0,0
0.784432,0,0,0,0,0,0
0.785991,0,0,0,0,0,0
0.787597,0,0,0,0,0,0
0.789158,0,0,0,0,0,0
0.790718,0,0,0,0,0,0
0.792354,0,0,0,0,0,0
0.793913,0,0,0,0,0,0
0.795476,0,0,0,0,0,0
0.797038,0,0,0,0,0,0
0.803106,0,0,0,0,0,0
0.804580,0,0,0,0,0,0
0.805989,0,0,0,0,0,0
0.807387,0,0,0,0,0,0
0.808780,0,0,0,0,0,0
0.810172,0,0,0,0,0,0
0.811566,0,0,0,0,0,0
0.812964,0,0,0,0,0,0
0.814360,0,0,0,0,0,0
0.815780,0,0,0,0,0,0
0.817177,0,0,0,0,0,0
0.818574,0,0,0,0,0,0
0.820009,0,0,0,0,0,0
0.821407,0,0,0,0,0,0
0.822803,0,0,0,0,0,0
0.824203,0,0,0,0,0,0
0.825599,0,0,0,0,0,0
0.827012,0,0,0,0,0,0
0.828539,0,0,0,0,0,0
0.830098,0,0,0,0,0,0
0.831660,0,0,0,0,0,0
0.833221,0,0,0,0,0,0
0.834778,0,0,0,0,0,0
0.836214,0,0,0,0,0,0
0.837636,0,0,0,0,0,0
0.839036,0,0,0,0,0,0
0.840436,0,0,0,0,0,0
0.841834,0,0,0,0,0,0
0.843233,0,0,0,0,0,0
0.844897,0,0,0,0,0,0
