elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
0.425586,0,0,0,0
0.427139,0,0,0,0
0.428739,0,0,0,0
0.430294,0,0,0,0
0.431858,0,0,0,0
0.433413,0,0,0,0
0.434967,0,0,0,0
0.436523,0,0,0,0
0.438078,0,0,0,0
0.439628,0,0,0,0
0.441183,0,0,0,0
0.442750,0,0,0,0
0.444303,0,0,0,0
0.445906,0,0,0,0
0.447458,0,0,0,0
0.449014,0,0,0,0
0.450569,0,0,0,0
0.452122,0,0,0,0
0.453750,0,0,0,0
0.455303,0,0,0,0
0.456857,0,0,0,0
0.458413,0,0,0,0
0.459965,0,0,0,0
0.461520,0,0,0,0
0.463074,0,0,0,0
0.464642,0,0,0,0
0.466309,0,0,0,0
0.468705,0,0,0,0
0.470166,0,0,0,0
0.471583,0,0,0,0
0.472977,0,0,0,0
0.474366,0,0,0,0
0.475770,0,0,0,0
0.477201,0,0,0,0
0.478737,0,0,0,0
0.480124,0,0,0,0
0.481513,0,0,0,0
0.482900,0,0,0,0
0.484286,0,0,0,0
0.485674,0,0,0,0
0.487067,0,0,0,0
0.488661,0,0,0,0
0.490216,0,0,0,0
0.491767,0,0,0,0
0.493323,0,0,0,0
0.494877,0,0,0,0
0.496429,0,0,0,0
0.497843,0,0,0,0
0.499230,0,0,0,0
0.500614,0,0,0,0
0.502166,0,0,0,0
0.503717,0,0,0,0
0.505272,0,0,0,0
0.506827,0,0,0,0
0.508390,0,0,0,0
0.509994,0,0,0,0
0.511545,0,0,0,0
0.513100,0,0,0,0
0.514654,0,0,0,0
0.516207,0,0,0,0
0.517764,0,0,0,0
0.519328,0,0,0,0
0.520884,0,0,0,0
0.522438,0,0,0,0
0.523991,0,0,0,0
0.525545,0,0,0,0
0.527090,0,0,0,0
0.528692,0,0,0,0
0.530244,0,0,0,0
0.531785,0,0,0,0
0.533207,0,0,0,0
0.534726,0,0,0,0
0.536267,0,0,0,0
0.537735,0,0,0,0
0.539248,0,0,0,0
0.540682,0,0,0,0
0.542206,0,0,0,0
0.543757,0,0,0,0
0.545312,0,0,0,0
0.546864,0,0,0,0
0.548415,0,0,0,0
0.549967,0,0,0,0
0.551408,0,0,0,0
0.552938,0,0,0,0
0.554492,0,0,0,0
0.556044,0,0,0,0
0.557598,0,0,0,0
0.559152,0,0,0,0
0.560708,0,0,0,0
0.562274,0,0,0,0
0.563826,0,0,0,0
0.565379,0,0,0,0
0.566932,0,0,0,0
0.568571,0,0,0,0
0.570163,0,0,0,0
0.571715,0,0,0,0
0.573154,0,0,0,0
0.574679,0,0,0,0
0.576232,0,0,0,0
0.577789,0,0,0,0
0.579341,0,0,0,0
0.580896,0,0,0,0
0.582450,0,0,0,0
