elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
0.989264,12762,0,0,0
0.990837,12774,0,0,0
0.992390,13236,0,0,0
0.993992,12813,0,0,0
0.995550,12771,0,0,0
0.997103,12822,0,0,0
0.998664,12753,0,0,0
1.000220,12831,0,0,0
1.001790,12810,0,0,0
1.003348,12855,0,0,0
1.004901,12798,0,0,0
1.006457,12723,0,0,0
1.008013,12885,0,0,0
1.009613,12927,0,0,0
1.011170,12846,0,0,0
1.012736,12801,0,0,0
1.014292,12780,0,0,0
1.015840,12849,0,0,0
1.017476,12813,0,0,0
1.018920,12981,0,0,0
1.020350,12858,0,0,0
1.021877,12774,0,0,0
1.023317,12918,0,0,0
1.024836,13023,0,0,0
1.026263,12948,0,0,0
1.027790,13026,0,0,0
1.029402,12978,0,0,0
1.030956,12984,0,0,0
1.032510,13398,0,0,0
1.034081,12954,0,0,0
1.035636,12894,0,0,0
1.037192,13011,0,0,0
1.038752,13293,0,0,0
1.040306,12984,0,0,0
1.041908,12918,0,0,0
1.043465,13062,0,0,0
1.045033,13236,0,0,0
1.046677,12918,0,0,0
1.048232,12987,0,0,0
1.049789,13329,0,0,0
1.051352,13014,0,0,0
1.052822,13224,0,0,0
1.054225,13032,0,0,0
1.055640,13014,0,0,0
1.057175,13131,0,0,0
1.058598,12891,0,0,0
1.059989,12918,0,0,0
1.061381,12978,0,0,0
1.062902,12975,0,0,0
1.064458,13002,0,0,0
1.066029,12882,0,0,0
1.067587,12945,0,0,0
1.069141,12984,0,0,0
1.070699,13275,0,0,0
1.072244,12957,0,0,0
1.073667,13086,0,0,0
1.075078,12975,0,0,0
1.076615,13107,0,0,0
1.078172,12918,0,0,0
1.079728,12939,0,0,0
1.081282,12900,0,0,0
1.082840,12951,0,0,0
1.084394,13014,0,0,0
1.085951,12969,0,0,0
1.087519,12999,0,0,0
1.089074,12966,0,0,0
1.090679,12894,0,0,0
1.092234,13299,0,0,0
1.093792,12924,0,0,0
1.095349,13017,0,0,0
1.096903,12996,0,0,0
1.098343,12909,0,0,0
1.099871,12915,0,0,0
1.101429,12978,0,0,0
1.102986,13029,0,0,0
1.104540,12900,0,0,0
1.106141,12921,0,0,0
1.107697,13002,0,0,0
1.109265,13305,0,0,0
1.110827,12984,0,0,0
1.112382,13005,0,0,0
1.113939,12879,0,0,0
1.115495,12939,0,0,0
1.117048,13329,0,0,0
1.118610,12996,0,0,0
1.120176,12918,0,0,0
1.121778,13377,0,0,0
1.123336,12912,0,0,0
1.124890,12885,0,0,0
1.126447,12966,0,0,0
1.128004,12975,0,0,0
1.129561,12996,0,0,0
1.131132,12951,0,0,0
1.132687,12939,0,0,0
1.134244,13014,0,0,0
1.135800,12990,0,0,0
1.137402,12882,0,0,0
1.138959,12906,0,0,0
1.140514,12933,0,0,0
1.142086,12906,0,0,0
1.143641,13062,0,0,0
1.145195,12921,0,0,0
1.146756,12948,0,0,0
1.148311,13242,0,0,0
1.149868,12981,0,0,0
1.151424,13320,0,0,0
1.152864,11664,0,0,0
1.154390,11532,0,0,0
1.155943,11607,0,0,0
1.157497,11409,0,0,0
1.159050,11601,0,0,0
1.160600,11376,0,0,0
1.162156,11421,0,0,0
1.163729,11370,0,0,0
1.165281,11319,0,0,0
1.166836,11295,0,0,0
1.168386,11439,0,0,0
1.169985,11313,0,0,0
1.171538,11346,0,0,0
1.173088,11733,0,0,0
1.174653,11358,0,0,0
1.176196,11343,0,0,0
1.177718,11340,0,0,0
1.179242,11931,0,0,0
1.180791,11322,0,0,0
1.182379,11268,0,0,0
1.183930,11331,0,0,0
1.185414,11646,0,0,0
1.186938,11736,0,0,0
1.188487,11613,0,0,0
1.190041,11790,0,0,0
1.191594,11616,0,0,0
1.193142,12033,0,0,0
1.194698,11613,0,0,0
1.196262,11649,0,0,0
1.197814,12033,0,0,0
1.199365,11688,0,0,0
1.200913,11601,0,0,0
1.202465,11622,0,0,0
1.204015,11658,0,0,0
1.205564,11688,0,0,0
1.207133,11643,0,0,0
1.208682,11640,0,0,0
1.210234,11580,0,0,0
1.211786,11670,0,0,0
1.213403,11631,0,0,0
1.215018,11646,0,0,0
1.216567,11568,0,0,0
1.218006,11604,0,0,0
1.219530,11652,0,0,0
1.221081,11679,0,0,0
1.222637,11622,0,0,0
1.224186,11634,0,0,0
1.225739,11670,0,0,0
1.227291,11571,0,0,0
1.228854,11643,0,0,0
1.230406,11670,0,0,0
1.231958,11598,0,0,0
1.233555,11610,0,0,0
1.235107,11595,0,0,0
1.236656,11739,0,0,0
1.238208,11868,0,0,0
1.239646,11943,0,0,0
1.241172,12072,0,0,0
1.242557,12408,0,0,0
1.243951,12042,0,0,0
1.245475,11946,0,0,0
1.247030,11937,0,0,0
1.248583,12048,0,0,0
