elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.099161,0,0,0,84
0.100631,0,0,0,0
0.101941,0,0,0,0
0.103239,0,0,0,0
0.104536,0,0,0,0
0.105839,0,0,0,0
0.107265,0,0,0,0
0.108613,0,0,0,0
0.109910,0,0,0,0
0.111320,0,0,0,0
0.112783,0,0,0,0
0.114193,0,0,0,0
0.115604,0,0,0,0
0.117021,0,0,0,0
0.118330,0,0,0,0
0.119623,0,0,0,921
0.120814,0,0,0,195
0.122184,0,0,0,0
0.123553,0,0,0,0
0.124924,0,0,0,0
0.126300,0,0,0,0
0.127675,0,0,0,0
0.129046,0,0,0,0
0.130415,0,0,0,0
0.131786,0,0,0,0
0.133156,0,0,0,0
0.134526,0,0,0,0
0.135948,0,0,0,0
0.137424,0,0,0,0
0.138806,0,0,0,0
0.140262,0,0,0,0
0.141744,0,0,0,0
0.143113,0,0,0,0
0.144592,0,0,0,0
0.146070,0,0,0,0
0.147438,0,0,0,0
0.148807,0,0,0,0
0.150088,0,0,0,0
0.151561,0,0,0,0
0.153042,0,0,0,0
0.154522,0,0,0,0
0.155891,0,0,0,0
0.157636,0,0,0,0
0.159194,0,0,0,0
0.160664,0,0,0,0
0.162078,0,0,0,0
0.163468,0,0,0,0
0.164852,0,0,0,0
0.166233,0,0,0,0
0.167614,0,0,0,0
0.168997,0,0,0,0
0.170385,0,0,0,0
0.171779,0,0,0,0
0.173218,0,0,0,0
0.174605,0,0,0,0
0.175991,0,0,0,0
0.177377,0,0,0,0
0.178892,0,0,0,0
0.180447,0,0,0,0
0.182012,0,0,0,0
0.183558,0,0,0,0
0.185109,0,0,0,0
0.186660,0,0,0,0
0.188257,0,0,0,0
0.189809,0,0,0,0
0.191358,0,0,0,0
0.192925,0,0,0,0
0.194478,0,0,0,0
0.196028,0,0,0,0
0.197606,0,0,0,0
0.199157,0,0,0,0
0.200712,0,0,0,0
0.202264,0,0,0,0
0.203826,0,0,0,0
0.205381,0,0,0,0
0.206933,0,0,0,0
0.208488,0,0,0,0
0.210042,0,0,0,0
0.211593,0,0,0,0
0.213145,0,0,0,0
0.214585,0,0,0,0
0.216108,0,0,0,0
0.217666,0,0,0,0
0.219218,0,0,0,0
0.220731,0,0,0,0
0.222355,0,0,0,0
0.224047,0,0,0,0
0.225510,0,0,0,0
0.226911,0,0,0,0
0.228300,0,0,0,0
0.229682,0,0,0,0
0.231062,0,0,0,0
0.232445,0,0,0,0
0.233831,0,0,0,0
0.235346,0,0,0,0
0.237005,0,0,0,0
0.238558,0,0,0,0
0.240109,0,0,0,0
0.241667,0,0,0,0
0.243219,0,0,0,0
0.244773,0,0,0,0
0.246327,0,0,0,0
0.247891,0,0,0,0
0.249505,0,0,0,0
0.251055,0,0,0,0
0.252652,0,0,0,0
0.254204,0,0,0,0
0.255756,0,0,0,0
0.257309,0,0,0,0
0.258876,0,0,0,0
0.260429,0,0,0,0
0.261981,0,0,0,0
0.263532,0,0,0,0
0.265084,0,0,0,0
0.266638,0,0,0,0
0.268188,0,0,0,0
0.269755,0,0,0,0
0.271145,0,0,0,0
0.272666,0,0,0,0
0.274208,0,0,0,0
0.275750,0,0,0,0
0.277174,0,0,0,0
0.278698,0,0,0,0
0.280262,0,0,0,0
0.281813,0,0,0,0
0.283363,0,0,0,0
0.284958,0,0,0,0
0.286510,0,0,0,0
0.288059,0,0,0,0
0.289613,0,0,0,0
0.291176,0,0,0,0
0.292729,0,0,0,0
0.294280,0,0,0,0
0.295829,0,0,0,0
0.297380,0,0,0,0
0.298931,0,0,0,0
0.300527,0,0,0,0
0.302090,0,0,0,0
0.303640,0,0,0,0
0.305191,0,0,0,0
0.306742,0,0,0,0
0.308295,0,0,0,0
0.309827,0,0,0,0
0.311217,0,0,0,0
0.312744,0,0,0,0
0.314296,0,0,0,0
0.315844,0,0,0,0
0.317392,0,0,0,0
0.318941,0,0,0,0
0.320493,0,0,0,0
0.322045,0,0,0,0
0.323607,0,0,0,0
0.325158,0,0,0,0
0.326707,0,0,0,0
0.328260,0,0,0,0
0.329812,0,0,0,0
0.331360,0,0,0,0
0.332955,0,0,0,0
0.334519,0,0,0,0
0.336069,0,0,0,0
0.337624,0,0,0,0
0.339174,0,0,0,0
0.340725,0,0,0,0
0.342276,0,0,0,0
0.343824,0,0,0,0
0.347268,0,0,0,0
0.348752,0,0,0,0
0.350178,0,0,0,0
0.351619,0,0,0,0
0.353002,0,0,0,0
0.354388,0,0,0,0
0.355884,0,0,0,0
0.357990,0,0,0,0
0.360479,0,0,0,0
0.362071,0,0,0,0
0.363570,0,0,0,0
0.365062,0,0,0,0
0.366994,0,0,0,0
0.368753,0,0,0,0
0.370197,0,0,0,0
0.372154,0,0,0,0
0.373796,0,0,0,0
0.375413,0,0,0,0
