elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.137888,0,0,0,0,0,0
0.139093,0,0,0,0,0,0
0.140297,0,0,0,0,0,0
0.141500,0,0,0,0,0,0
0.142704,0,0,0,0,0,0
0.143946,0,0,0,0,0,0
0.145379,0,0,0,0,0,0
0.146726,0,0,0,0,0,0
0.148075,0,0,0,0,0,0
0.149422,0,0,0,0,0,0
0.150768,0,0,0,0,0,0
0.152114,0,0,0,0,0,0
0.153459,0,0,0,0,0,0
0.154836,0,0,0,0,0,0
0.156257,0,0,0,0,0,0
0.157654,0,0,0,0,0,0
0.159048,0,0,0,0,0,0
0.160440,0,0,0,0,0,0
0.161832,0,0,0,0,0,0
0.163223,0,0,0,0,0,0
0.164615,0,0,0,0,0,0
0.166017,0,0,0,0,0,0
0.167423,0,0,0,0,0,0
0.168813,0,0,0,0,0,0
0.170203,0,0,0,0,0,0
0.171699,0,0,0,0,0,0
0.173043,0,0,0,0,0,0
0.174417,0,0,0,0,0,0
0.175798,0,0,0,0,0,0
0.177152,0,0,0,0,0,0
0.178479,0,0,0,0,0,0
0.179798,0,0,0,0,0,0
0.181116,0,0,0,0,0,0
0.182483,0,0,0,0,0,0
0.183806,0,0,0,0,0,0
0.185127,0,0,0,0,0,0
0.186496,0,0,0,0,0,0
0.187842,0,0,0,0,0,0
0.189125,0,0,0,0,0,0
0.190457,0,0,0,0,0,0
0.191762,0,0,0,0,0,0
0.193104,0,0,0,0,0,0
0.194980,0,0,0,0,0,0
0.196391,0,0,0,0,0,0
0.197731,0,0,0,0,0,0
0.199447,0,0,0,0,0,0
0.200782,0,0,0,0,0,0
0.202116,0,0,0,0,0,0
0.203954,0,0,0,0,0,0
0.205304,0,0,0,0,0,0
0.206654,0,0,0,0,0,0
0.208005,0,0,0,0,0,0
0.209385,0,0,0,0,0,0
0.210734,0,0,0,0,0,0
0.212085,0,0,0,0,0,0
0.213435,0,0,0,0,0,0
0.214786,0,0,0,0,0,0
0.216140,0,0,0,0,0,0
0.217494,0,0,0,0,0,0
0.218884,0,0,0,0,0,0
0.220292,0,0,0,0,0,0
0.221689,0,0,0,0,0,0
0.223088,0,0,0,0,0,0
0.224486,0,0,0,0,0,0
0.225882,0,0,0,0,0,0
0.227408,0,0,0,0,0,0
0.228970,0,0,0,0,0,0
0.230545,0,0,0,0,0,0
0.232105,0,0,0,0,0,0
0.233666,0,0,0,0,0,0
0.235271,0,0,0,0,0,0
0.236832,0,0,0,0,0,0
0.238395,0,0,0,0,0,0
0.239956,0,0,0,0,0,0
0.241527,0,0,0,0,0,0
0.243086,0,0,0,0,0,0
0.244635,0,0,0,0,0,0
0.246185,0,0,0,0,0,0
0.247641,0,0,0,0,0,0
0.249037,0,0,0,0,0,0
0.250463,0,0,0,0,0,0
0.252035,0,0,0,0,0,0
0.253594,0,0,0,0,0,0
0.255153,0,0,0,0,0,0
0.256712,0,0,0,0,0,0
0.258273,0,0,0,0,0,0
0.259832,0,0,0,0,0,0
0.261392,0,0,0,0,0,0
0.262844,0,0,0,0,0,0
0.264376,0,0,0,0,0,0
0.265935,0,0,0,0,0,0
0.267588,0,0,0,0,0,0
0.269149,0,0,0,0,0,0
0.270712,0,0,0,0,0,0
0.272273,0,0,0,0,0,0
0.273846,0,0,0,0,0,0
0.275407,0,0,0,0,0,0
0.276968,0,0,0,0,0,0
0.278531,0,0,0,0,0,0
0.280091,0,0,0,0,0,0
0.281651,0,0,0,0,0,0
0.283550,0,0,0,0,0,0
0.285024,0,0,0,0,0,0
0.286436,0,0,0,0,0,0
0.287930,0,0,0,0,0,0
0.289330,0,0,0,0,0,0
0.290730,0,0,0,0,0,0
0.292127,0,0,0,0,0,0
0.293651,0,0,0,0,0,0
0.295225,0,0,0,0,0,0
0.296787,0,0,0,0,0,0
0.298350,0,0,0,0,0,0
0.299956,0,0,0,0,0,0
