elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
1.121824,0,0,0,0
1.123388,0,0,0,0
1.124936,0,0,0,0
1.126532,0,0,0,0
1.128083,0,0,0,0
1.129635,0,0,0,0
1.131187,0,0,0,0
1.132736,0,0,0,0
1.134300,0,0,0,0
1.135850,0,0,0,0
1.137399,0,0,0,0
1.138993,0,0,0,0
1.140540,0,0,0,0
1.142095,0,0,0,0
1.143636,0,0,0,0
1.145189,0,0,0,0
1.146785,0,0,0,0
1.148334,0,0,0,0
1.149887,0,0,0,0
1.151437,0,0,0,0
1.152986,0,0,0,0
1.154535,0,0,0,0
1.156097,0,0,0,0
1.157693,0,0,0,0
1.159244,0,0,0,0
1.160793,0,0,0,0
1.162343,0,0,0,0
1.163885,0,0,0,0
1.165425,0,0,0,0
1.167070,0,0,0,0
1.168460,0,0,0,0
1.169975,0,0,0,0
1.171523,0,0,0,0
1.173070,0,0,0,0
1.174715,0,0,0,0
1.176262,0,0,0,0
1.177825,0,0,0,0
1.179374,0,0,0,0
1.180919,0,0,0,0
1.182468,0,0,0,0
1.184016,0,0,0,0
1.185567,0,0,0,0
1.187113,0,0,0,0
1.188672,0,0,0,0
1.190224,0,0,0,0
1.191772,0,0,0,0
1.193218,0,0,0,0
1.194770,0,0,0,0
1.196316,0,0,0,0
1.197865,0,0,0,0
1.199427,0,0,0,0
1.200974,0,0,0,0
1.202520,0,0,0,0
1.204066,0,0,0,0
1.205659,0,0,0,0
1.207208,0,0,0,0
1.208755,0,0,0,0
1.210214,0,0,0,0
1.211761,0,0,0,0
1.213308,0,0,0,0
1.214861,0,0,0,0
1.216408,0,0,0,0
1.217959,0,0,0,0
1.219508,0,0,0,0
1.221067,0,0,0,0
1.222632,0,0,0,0
1.224150,0,0,0,0
1.225700,0,0,0,0
1.227248,0,0,0,0
1.228794,0,0,0,0
1.230343,0,0,0,0
1.231905,0,0,0,0
1.233507,0,0,0,0
1.235053,0,0,0,0
1.236600,0,0,0,0
1.238151,0,0,0,0
1.239700,0,0,0,0
1.241246,0,0,0,0
1.242810,0,0,0,0
1.244379,0,0,0,0
1.245889,0,0,0,0
1.247284,0,0,0,0
1.248793,0,0,0,0
1.250209,0,0,0,0
1.251728,0,0,0,0
1.253332,0,0,0,0
1.254886,0,0,0,0
1.256435,0,0,0,0
1.257986,0,0,0,0
1.259528,0,0,0,0
1.261067,0,0,0,0
1.262485,0,0,0,0
1.264016,0,0,0,0
1.265569,0,0,0,0
1.267120,0,0,0,0
1.268669,0,0,0,0
1.270223,0,0,0,0
1.271774,0,0,0,0
1.273322,0,0,0,0
1.274891,0,0,0,0
1.276440,0,0,0,0
1.277990,0,0,0,0
1.279541,0,0,0,0
1.281090,0,0,0,0
1.282510,0,0,0,0
1.284030,0,0,0,0
1.285637,0,0,0,0
1.287187,0,0,0,0
1.288737,0,0,0,0
1.290288,0,0,0,0
1.291840,0,0,0,0
1.293387,0,0,0,0
1.294943,0,0,0,0
1.296504,0,0,0,0
1.298057,0,0,0,0
1.299608,0,0,0,0
1.301157,0,0,0,0
1.302795,0,0,0,0
1.304343,0,0,0,0
1.305896,0,0,0,0
1.307460,0,0,0,0
1.309009,0,0,0,0
1.310560,0,0,0,0
1.312111,0,0,0,0
1.313662,0,0,0,0
1.315213,0,0,0,0
1.316761,0,0,0,0
1.318200,0,0,0,0
1.319722,0,0,0,0
1.321270,0,0,0,0
1.322738,0,0,0,0
1.324128,0,0,0,0
1.325647,0,0,0,0
1.327197,0,0,0,0
1.328759,0,0,0,0
1.330309,0,0,0,0
1.331860,0,0,0,0
1.333505,0,0,0,0
1.335053,0,0,0,0
1.336602,0,0,0,0
1.338152,0,0,0,0
1.339717,0,0,0,0
1.341266,0,0,0,0
1.342819,0,0,0,0
1.344368,0,0,0,0
1.345920,0,0,0,0
1.347472,0,0,0,0
1.349020,0,0,0,0
1.350498,0,0,0,0
1.352011,0,0,0,0
1.353615,0,0,0,0
1.355167,0,0,0,0
1.356715,0,0,0,0
1.358266,0,0,0,0
1.359816,0,0,0,0
1.361378,0,0,0,0
1.362933,0,0,0,0
1.364481,0,0,0,0
1.366033,0,0,0,0
1.367584,0,0,0,0
1.369131,0,0,0,0
1.370741,0,0,0,0
1.372299,0,0,0,0
1.373849,0,0,0,0
1.375398,0,0,0,0
1.376944,0,0,0,0
1.378493,0,0,0,0
1.380041,0,0,0,0
1.381633,0,0,0,0
1.383072,0,0,0,0
1.384592,0,0,0,0
1.386143,0,0,0,0
1.387692,0,0,0,0
1.389240,0,0,0,0
1.390792,0,0,0,0
1.392340,0,0,0,0
1.393911,0,0,0,0
1.395460,0,0,0,0
1.397008,0,0,0,0
1.398559,0,0,0,0
1.400109,0,0,0,0
1.401660,0,0,0,0
1.403208,0,0,0,0
1.404644,0,0,0,0
1.406167,0,0,0,0
1.407716,0,0,0,0
1.409264,0,0,0,0
1.410818,0,0,0,0
1.412366,0,0,0,0
1.413959,0,0,0,0
1.415524,0,0,0,0
1.417073,0,0,0,0
1.418622,0,0,0,0
