elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
1.149201,0,0,0,0
1.150763,0,0,0,0
1.152375,0,0,0,0
1.153925,0,0,0,0
1.155477,0,0,0,0
1.157027,0,0,0,0
1.158578,0,0,0,0
1.160128,0,0,0,0
1.161568,0,0,0,0
1.163160,0,0,0,0
1.164710,0,0,0,0
1.166228,0,0,0,0
1.167779,0,0,0,0
1.169204,0,0,0,0
1.170717,0,0,0,0
1.172154,0,0,0,0
1.173677,0,0,0,0
1.175232,0,0,0,0
1.176775,0,0,0,0
1.178318,0,0,0,0
1.179742,0,0,0,0
1.181262,0,0,0,0
1.182825,0,0,0,0
1.184380,0,0,0,0
1.185929,0,0,0,0
1.187482,0,0,0,0
1.189032,0,0,0,0
1.190583,0,0,0,0
1.192134,0,0,0,0
1.193698,0,0,0,0
1.195250,0,0,0,0
1.196845,0,0,0,0
1.198395,0,0,0,0
1.199947,0,0,0,0
1.201497,0,0,0,0
1.203046,0,0,0,0
1.204466,0,0,0,0
1.205986,0,0,0,0
1.207412,0,0,0,0
1.208935,0,0,0,0
1.210363,0,0,0,0
1.211931,0,0,0,0
1.213483,0,0,0,0
1.214921,0,0,0,0
1.216446,0,0,0,0
1.217998,0,0,0,0
1.219554,0,0,0,0
1.221108,0,0,0,0
1.222662,0,0,0,0
1.224215,0,0,0,0
1.225783,0,0,0,0
1.227975,0,0,0,0
1.229439,0,0,0,0
1.230836,0,0,0,0
1.232232,0,0,0,0
1.233622,0,0,0,0
1.235012,0,0,0,0
1.236418,0,0,0,0
1.237905,0,0,0,0
1.239458,0,0,0,0
1.241011,0,0,0,0
1.242565,0,0,0,0
1.244165,0,0,0,0
1.245720,0,0,0,0
1.247290,0,0,0,0
1.248846,0,0,0,0
1.250399,0,0,0,0
1.251954,0,0,0,0
1.253510,0,0,0,0
1.255063,0,0,0,0
1.256648,0,0,0,0
1.258053,0,0,0,0
1.259620,0,0,0,0
1.261175,0,0,0,0
1.262727,0,0,0,0
1.264332,0,0,0,0
1.265887,0,0,0,0
1.267444,0,0,0,0
1.268888,0,0,0,0
1.270412,0,0,0,0
1.271967,0,0,0,0
1.273514,0,0,0,0
1.275059,0,0,0,0
1.276804,0,0,0,0
1.278357,0,0,0,0
1.279926,0,0,0,0
1.281482,0,0,0,0
1.283035,0,0,0,0
1.284405,0,0,0,0
1.285800,0,0,0,0
1.287322,0,0,0,0
1.288877,0,0,0,0
1.290442,0,0,0,0
1.292041,0,0,0,0
1.293598,0,0,0,0
1.295156,0,0,0,0
1.296712,0,0,0,0
1.298266,0,0,0,0
1.299824,0,0,0,0
1.301394,0,0,0,0
1.302948,0,0,0,0
1.304509,0,0,0,0
1.306062,0,0,0,0
1.307664,0,0,0,0
1.309218,0,0,0,0
1.310773,0,0,0,0
1.312290,0,0,0,0
1.313814,0,0,0,0
1.315371,0,0,0,0
1.316927,0,0,0,0
1.318482,0,0,0,0
1.320035,0,0,0,0
1.321592,0,0,0,0
1.323161,0,0,0,0
1.324717,0,0,0,0
1.326271,0,0,0,0
1.327828,0,0,0,0
1.329382,0,0,0,0
1.330936,0,0,0,0
1.332496,0,0,0,0
1.334064,0,0,0,0
1.335622,0,0,0,0
1.337176,0,0,0,0
1.338729,0,0,0,0
1.340192,0,0,0,0
1.341757,0,0,0,0
1.343314,0,0,0,0
1.344883,0,0,0,0
1.346438,0,0,0,0
1.348004,0,0,0,0
1.350067,0,0,0,0
1.351969,0,0,0,0
1.353371,0,0,0,0
1.354768,0,0,0,0
1.356312,0,0,0,0
1.357698,0,0,0,0
1.359159,0,0,0,0
1.360995,0,0,0,0
1.362487,0,0,0,0
1.363874,0,0,0,0
1.365267,0,0,0,0
1.366651,0,0,0,0
1.368035,0,0,0,0
1.369419,0,0,0,0
1.370931,0,0,0,0
1.372482,0,0,0,0
1.374036,0,0,0,0
1.375607,0,0,0,0
1.377154,0,0,0,0
1.378700,0,0,0,0
1.380249,0,0,0,0
1.381803,0,0,0,0
1.383359,0,0,0,0
1.384912,0,0,0,0
1.386353,0,0,0,0
1.387923,0,0,0,0
1.389476,0,0,0,0
1.391028,0,0,0,0
1.392459,0,0,0,0
1.393852,0,0,0,0
1.395373,0,0,0,0
1.396940,0,0,0,0
1.398492,0,0,0,0
1.400044,0,0,0,0
1.401599,0,0,0,0
1.403154,0,0,0,0
1.404707,0,0,0,0
1.406261,0,0,0,0
1.407711,0,0,0,0
1.409112,0,0,0,0
1.410627,0,0,0,0
1.412053,0,0,0,0
1.413579,0,0,0,0
1.415137,0,0,0,0
1.416693,0,0,0,0
1.418260,0,0,0,0
1.419863,0,0,0,0
1.421419,0,0,0,0
1.422973,0,0,0,0
1.424534,0,0,0,0
1.426088,0,0,0,0
1.427645,0,0,0,0
1.429090,0,0,0,0
1.430616,0,0,0,0
1.432172,0,0,0,0
1.433719,0,0,0,0
1.435580,0,0,0,0
1.437134,0,0,0,0
1.438687,0,0,0,0
1.440126,0,0,0,0
1.441652,0,0,0,0
1.443209,0,0,0,0
1.444765,0,0,0,0
1.446318,0,0,0,0
1.447873,0,0,0,0
1.449428,0,0,0,0
1.450992,0,0,0,0
1.452553,0,0,0,0
1.454107,0,0,0,0
1.455662,0,0,0,0
1.457213,0,0,0,0
1.458645,0,0,0,0
1.460061,0,0,0,0
1.461473,0,0,0,0
1.462865,0,0,0,0
1.464260,0,0,0,0
1.465691,0,0,0,0
1.467083,0,0,0,0
1.468603,0,0,0,0
1.470157,0,0,0,0
1.471728,0,0,0,0
1.473284,0,0,0,0
1.474838,0,0,0,0
1.476398,0,0,0,0
1.477952,0,0,0,0
1.479508,0,0,0,0
1.481055,0,0,0,0
1.482493,0,0,0,0
1.483920,0,0,0,0
1.485481,0,0,0,0
1.487132,0,0,0,0
1.488723,0,0,0,0
1.490315,0,0,0,0
1.491913,0,0,0,0
1.493521,0,0,0,0
1.495118,0,0,0,0
1.496705,0,0,0,0
1.498290,0,0,0,0
1.499794,0,0,0,0
1.501358,0,0,0,0
1.502952,0,0,0,0
1.504566,0,0,0,0
1.506159,0,0,0,0
1.507757,0,0,0,0
1.509351,0,0,0,0
1.510945,0,0,0,0
1.512545,0,0,0,0
1.514138,0,0,0,0
1.515797,0,0,0,0
1.517393,0,0,0,0
1.518986,0,0,0,0
1.520586,0,0,0,0
1.522178,0,0,0,0
1.523775,0,0,0,0
1.525370,0,0,0,0
1.526977,0,0,0,0
1.528571,0,0,0,0
1.530156,0,0,0,0
1.531613,0,0,0,0
1.533241,0,0,0,0
1.534834,0,0,0,0
1.536432,0,0,0,0
1.538036,0,0,0,0
1.539631,0,0,0,0
1.541223,0,0,0,0
1.542813,0,0,0,0
1.544411,0,0,0,0
1.546003,0,0,0,0
1.547648,0,0,0,0
1.549257,0,0,0,0
1.550849,0,0,0,0
1.552447,0,0,0,0
1.554039,0,0,0,0
1.555633,0,0,0,0
1.557226,0,0,0,0
1.558819,0,0,0,0
1.560443,0,0,0,0
1.562402,0,0,0,0
1.563907,0,0,0,0
1.565348,0,0,0,0
1.566790,0,0,0,0
