elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.416561,0,0,0,0
0.418112,0,0,0,0
0.419722,0,0,0,0
0.421273,0,0,0,0
0.422823,0,0,0,0
0.424374,0,0,0,0
0.425925,0,0,0,0
0.427477,0,0,0,0
0.429073,0,0,0,0
0.430637,0,0,0,0
0.432189,0,0,0,0
0.433739,0,0,0,0
0.435292,0,0,0,0
0.436886,0,0,0,0
0.438435,0,0,0,0
0.439988,0,0,0,0
0.441554,0,0,0,0
0.443104,0,0,0,0
0.444660,0,0,0,0
0.446209,0,0,0,0
0.447761,0,0,0,0
0.449302,0,0,0,0
0.450852,0,0,0,0
0.452442,0,0,0,0
0.453842,0,0,0,0
0.455233,0,0,0,0
0.456620,0,0,0,0
0.458006,0,0,0,0
0.459393,0,0,0,0
0.460815,0,0,0,0
0.462327,0,0,0,0
0.463893,0,0,0,0
0.465442,0,0,0,0
0.466992,0,0,0,0
0.468545,0,0,0,0
0.470093,0,0,0,0
0.471645,0,0,0,0
0.473193,0,0,0,0
0.474755,0,0,0,0
0.476348,0,0,0,0
0.477898,0,0,0,0
0.479450,0,0,0,0
0.480998,0,0,0,0
0.482546,0,0,0,0
0.484139,0,0,0,0
0.485916,0,0,0,0
0.487467,0,0,0,0
0.489018,0,0,0,0
0.490565,0,0,0,0
0.492158,0,0,0,0
0.493708,0,0,0,0
0.495259,0,0,0,0
0.496822,0,0,0,0
0.498371,0,0,0,0
0.500510,0,0,0,0
0.501910,0,0,0,0
0.503328,0,0,0,0
0.504791,0,0,0,0
0.506178,0,0,0,0
0.507610,0,0,0,0
0.508999,0,0,0,0
0.510385,0,0,0,0
0.511774,0,0,0,0
0.513155,0,0,0,0
0.514535,0,0,0,0
0.515952,0,0,0,0
0.517499,0,0,0,0
0.519063,0,0,0,0
0.520619,0,0,0,0
0.522168,0,0,0,0
0.523765,0,0,0,0
0.525316,0,0,0,0
0.526866,0,0,0,0
0.528478,0,0,0,0
0.530041,0,0,0,0
0.531638,0,0,0,0
0.533190,0,0,0,0
0.534740,0,0,0,0
0.536292,0,0,0,0
0.537844,0,0,0,0
0.539396,0,0,0,0
0.541005,0,0,0,0
0.542554,0,0,0,0
0.544105,0,0,0,0
0.545657,0,0,0,0
0.547297,0,0,0,0
0.548863,0,0,0,0
0.550253,0,0,0,0
0.551781,0,0,0,0
0.553332,0,0,0,0
0.554882,0,0,0,0
0.556497,0,0,0,0
0.558046,0,0,0,0
0.559599,0,0,0,0
0.561151,0,0,0,0
0.562715,0,0,0,0
0.564310,0,0,0,0
0.565863,0,0,0,0
0.567415,0,0,0,0
0.568967,0,0,0,0
0.570517,0,0,0,0
0.572112,0,0,0,0
0.573678,0,0,0,0
0.575231,0,0,0,0
0.576774,0,0,0,0
0.578315,0,0,0,0
0.579782,0,0,0,0
0.581306,0,0,0,0
0.582857,0,0,0,0
0.584473,0,0,0,0
0.586023,0,0,0,0
0.587576,0,0,0,0
0.589129,0,0,0,0
0.590678,0,0,0,0
0.592230,0,0,0,0
0.593781,0,0,0,0
0.595347,0,0,0,0
0.596942,0,0,0,0
0.598492,0,0,0,0
0.600044,0,0,0,0
0.601595,0,0,0,0
0.603145,0,0,0,0
0.604615,0,0,0,0
0.606017,0,0,0,0
0.607537,0,0,0,0
0.609089,0,0,0,0
0.610640,0,0,0,0
0.612235,0,0,0,0
0.613786,0,0,0,0
0.615338,0,0,0,0
0.616903,0,0,0,0
0.618454,0,0,0,0
0.620050,0,0,0,0
0.621602,0,0,0,0
0.623152,0,0,0,0
0.624749,0,0,0,0
0.626299,0,0,0,0
0.627908,0,0,0,0
0.629460,0,0,0,0
0.631009,0,0,0,0
0.632562,0,0,0,0
0.634111,0,0,0,0
0.635708,0,0,0,0
