elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.969742,18,225,1371,0,0,0,0,0,0,0,0,0,0,0
0.971181,18,225,1370,0,0,0,0,0,0,0,0,0,0,0
0.972622,18,223,1372,0,0,0,0,0,0,0,0,0,0,0
0.974062,18,221,1364,0,0,0,0,0,0,0,0,0,0,0
0.975477,18,225,1371,0,0,0,0,0,0,0,0,0,0,0
0.976946,18,225,1361,0,0,0,0,0,0,0,0,0,0,0
0.978385,18,225,1367,0,0,0,0,0,0,0,0,0,0,0
0.979825,18,225,1441,0,0,0,0,0,0,0,0,0,0,0
0.981263,18,223,1361,0,0,0,0,0,0,0,0,0,0,0
0.982701,18,223,1364,0,0,0,0,0,0,0,0,0,0,0
0.984139,18,225,1368,0,0,0,0,0,0,0,0,0,0,0
0.985578,18,225,1366,0,0,0,0,0,0,0,0,0,0,0
0.987024,18,231,1518,0,0,0,0,0,0,0,0,0,0,0
0.988467,18,227,1451,0,0,0,0,0,0,0,0,0,0,0
0.989907,18,231,1451,0,0,0,0,0,0,0,0,0,0,0
0.991345,18,231,1447,0,0,0,0,0,0,0,0,0,0,0
0.992887,18,225,1450,0,0,0,0,0,0,0,0,0,0,0
0.994327,18,225,1444,0,0,0,0,0,0,0,0,0,0,0
0.995768,18,231,1549,0,0,0,0,0,0,0,0,0,0,0
0.997215,18,231,1452,0,0,0,0,0,0,0,0,0,0,0
0.998654,18,225,1450,0,0,0,0,0,0,0,0,0,0,0
1.000316,18,241,1450,0,0,0,0,0,0,0,0,0,0,0
1.003425,18,227,1538,0,0,0,0,0,0,0,0,0,0,0
1.005005,18,229,1451,0,0,0,0,0,0,0,0,0,0,0
1.006614,18,229,1451,0,0,0,0,0,0,0,0,0,0,0
1.008283,18,225,1441,0,0,0,0,0,0,0,0,0,0,0
1.009894,18,229,1541,0,0,0,0,0,0,0,0,0,0,0
1.011503,18,229,1443,0,0,0,0,0,0,0,0,0,0,0
1.013112,18,233,1552,0,0,0,0,0,0,0,0,0,0,0
1.014711,18,229,1451,0,0,0,0,0,0,0,0,0,0,0
1.016189,18,229,1441,0,0,0,0,0,0,0,0,0,0,0
1.017705,18,229,1450,0,0,0,0,0,0,0,0,0,0,0
1.019161,18,231,1445,0,0,0,0,0,0,0,0,0,0,0
1.020840,18,229,1450,0,0,0,0,0,0,0,0,0,0,0
1.022366,18,229,1445,0,0,0,0,0,0,0,0,0,0,0
1.024423,18,227,1480,0,0,0,0,0,0,0,0,0,0,0
1.025876,18,229,1447,0,0,0,0,0,0,0,0,0,0,0
1.027364,18,229,1448,0,0,0,0,0,0,0,0,0,0,0
1.028864,18,227,1453,0,0,0,0,0,0,0,0,0,0,0
1.030316,18,227,1534,0,0,0,0,0,0,0,0,0,0,0
1.031762,18,231,1450,0,0,0,0,0,0,0,0,0,0,0
1.033205,18,225,1452,0,0,0,0,0,0,0,0,0,0,0
1.034649,18,231,1450,0,0,0,0,0,0,0,0,0,0,0
1.036226,18,231,1442,0,0,0,0,0,0,0,0,0,0,0
1.037827,18,231,1458,0,0,0,0,0,0,0,0,0,0,0
1.039425,18,227,1454,0,0,0,0,0,0,0,0,0,0,0
1.041030,18,237,1563,0,0,0,0,0,0,0,0,0,0,0
1.042616,18,239,1565,0,0,0,0,0,0,0,0,0,0,0
1.044235,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
1.045849,18,237,1561,0,0,0,0,0,0,0,0,0,0,0
1.047464,18,233,1568,0,0,0,0,0,0,0,0,0,0,0
1.049081,18,237,1560,0,0,0,0,0,0,0,0,0,0,0
1.050695,18,237,1565,0,0,0,0,0,0,0,0,0,0,0
1.052324,18,239,1558,0,0,0,0,0,0,0,0,0,0,0
1.053939,18,233,1570,0,0,0,0,0,0,0,0,0,0,0
1.055553,18,239,1558,0,0,0,0,0,0,0,0,0,0,0
1.057219,18,237,1559,0,0,0,0,0,0,0,0,0,0,0
1.058832,18,239,1551,0,0,0,0,0,0,0,0,0,0,0
1.060451,18,237,1547,0,0,0,0,0,0,0,0,0,0,0
1.062066,18,237,1559,0,0,0,0,0,0,0,0,0,0,0
1.063697,18,239,1613,0,0,0,0,0,0,0,0,0,0,0
1.065313,18,239,1563,0,0,0,0,0,0,0,0,0,0,0
1.066926,18,237,1558,0,0,0,0,0,0,0,0,0,0,0
1.068541,18,233,1560,0,0,0,0,0,0,0,0,0,0,0
