elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.174003,0,0,0,0,0,0,0,0,0,0,0,0
0.179571,0,0,0,0,0,0,0,0,0,0,0,0
0.183397,0,0,0,0,0,0,0,0,0,0,0,0
0.184890,0,0,0,0,0,0,0,0,0,0,0,0
0.186316,0,0,0,0,0,0,0,0,0,0,0,0
0.187875,0,0,0,0,0,0,0,0,0,0,0,0
0.189364,0,0,0,0,0,0,0,0,0,0,0,0
0.190755,0,0,0,0,0,0,0,0,0,0,0,0
0.192144,0,0,0,0,0,0,0,0,0,0,0,0
0.193545,0,0,0,0,0,0,0,0,0,0,0,0
0.194929,0,0,0,0,0,0,0,0,0,0,0,0
0.196311,0,0,0,0,0,0,0,0,0,0,0,0
0.197696,0,0,0,0,0,0,0,0,0,0,0,0
0.199079,0,0,0,0,0,0,0,0,0,0,0,0
0.200463,0,0,0,0,0,0,0,0,0,0,0,0
0.201847,0,0,0,0,0,0,0,0,0,0,0,0
0.203229,0,0,0,0,0,0,0,0,0,0,0,0
0.204928,0,0,0,0,0,0,0,0,0,0,0,0
0.206518,0,0,0,0,0,0,0,0,0,0,0,0
0.208111,0,0,0,0,0,0,0,0,0,0,0,0
0.209853,0,0,0,0,0,0,0,0,0,0,0,0
0.211489,0,0,0,0,0,0,0,0,0,0,0,0
0.213099,0,0,0,0,0,0,0,0,0,0,0,0
0.214534,0,0,0,0,0,0,0,0,0,0,0,0
0.216107,0,0,0,0,0,0,0,0,0,0,0,0
0.217701,0,0,0,0,0,0,0,0,0,0,0,0
0.219336,0,0,0,0,0,0,0,0,0,0,0,0
0.220933,0,0,0,0,0,0,0,0,0,0,0,0
0.222524,0,0,0,0,0,0,0,0,0,0,0,0
0.224119,0,0,0,0,0,0,0,0,0,0,0,0
0.225713,0,0,0,0,0,0,0,0,0,0,0,0
0.227195,0,0,0,0,0,0,0,0,0,0,0,0
0.228695,0,0,0,0,0,0,0,0,0,0,0,0
0.230127,0,0,0,0,0,0,0,0,0,0,0,0
0.231560,0,0,0,0,0,0,0,0,0,0,0,0
0.232991,0,0,0,0,0,0,0,0,0,0,0,0
0.234422,0,0,0,0,0,0,0,0,0,0,0,0
0.235895,0,0,0,0,0,0,0,0,0,0,0,0
0.237464,0,0,0,0,0,0,0,0,0,0,0,0
0.239057,0,0,0,0,0,0,0,0,0,0,0,0
0.240650,0,0,0,0,0,0,0,0,0,0,0,0
0.242246,0,0,0,0,0,0,0,0,0,0,0,0
0.243841,0,0,0,0,0,0,0,0,0,0,0,0
0.245435,0,0,0,0,0,0,0,0,0,0,0,0
0.247028,0,0,0,0,0,0,0,0,0,0,0,0
0.248635,0,0,0,0,0,0,0,0,0,0,0,0
0.250219,0,0,0,0,0,0,0,0,0,0,0,0
0.252361,0,0,0,0,0,0,0,0,0,0,0,0
0.253802,0,0,0,0,0,0,0,0,0,0,0,0
0.255228,0,0,0,0,0,0,0,0,0,0,0,0
0.256765,0,0,0,0,0,0,0,0,0,0,0,0
0.258190,0,0,0,0,0,0,0,0,0,0,0,0
0.259631,0,0,0,0,0,0,0,0,0,0,0,0
0.261064,0,0,0,0,0,0,0,0,0,0,0,0
0.262494,0,0,0,0,0,0,0,0,0,0,0,0
0.264108,0,0,0,0,0,0,0,0,0,0,0,0
0.265702,0,0,0,0,0,0,0,0,0,0,0,0
0.267337,0,0,0,0,0,0,0,0,0,0,0,0
0.268933,0,0,0,0,0,0,0,0,0,0,0,0
0.270415,0,0,0,0,0,0,0,0,0,0,0,0
0.271984,0,0,0,0,0,0,0,0,0,0,0,0
0.273580,0,0,0,0,0,0,0,0,0,0,0,0
0.275172,0,0,0,0,0,0,0,0,0,0,0,0
0.276851,0,0,0,0,0,0,0,0,0,0,0,0
0.278435,0,0,0,0,0,0,0,0,0,0,0,0
0.279899,0,0,0,0,0,0,0,0,0,0,0,0
0.281476,0,0,0,0,0,0,0,0,0,0,0,0
0.283070,0,0,0,0,0,0,0,0,0,0,0,0
0.284666,0,0,0,0,0,0,0,0,0,0,0,0
0.286261,0,0,0,0,0,0,0,0,0,0,0,0
0.287856,0,0,0,0,0,0,0,0,0,0,0,0
0.289450,0,0,0,0,0,0,0,0,0,0,0,0
0.291041,0,0,0,0,0,0,0,0,0,0,0,0
0.292650,0,0,0,0,0,0,0,0,0,0,0,0
0.294244,0,0,0,0,0,0,0,0,0,0,0,0
0.295840,0,0,0,0,0,0,0,0,0,0,0,0
0.297435,0,0,0,0,0,0,0,0,0,0,0,0
0.299028,0,0,0,0,0,0,0,0,0,0,0,0
0.300667,0,0,0,0,0,0,0,0,0,0,0,0
0.302261,0,0,0,0,0,0,0,0,0,0,0,0
0.303871,0,0,0,0,0,0,0,0,0,0,0,0
0.305466,0,0,0,0,0,0,0,0,0,0,0,0
0.307059,0,0,0,0,0,0,0,0,0,0,0,0
0.308551,0,0,0,0,0,0,0,0,0,0,0,0
0.310021,0,0,0,0,0,0,0,0,0,0,0,0
0.311410,0,0,0,0,0,0,0,0,0,0,0,0
0.312799,0,0,0,0,0,0,0,0,0,0,0,0
0.314200,0,0,0,0,0,0,0,0,0,0,0,0
0.315606,0,0,0,0,0,0,0,0,0,0,0,0
0.317099,0,0,0,0,0,0,0,0,0,0,0,0
0.318530,0,0,0,0,0,0,0,0,0,0,0,0
0.320000,0,0,0,0,0,0,0,0,0,0,0,0
0.321610,0,0,0,0,0,0,0,0,0,0,0,0
0.323135,0,0,0,0,0,0,0,0,0,0,0,0
