elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.257796,0,0,0,0,0,0,0,0
0.259177,0,0,0,0,0,0,0,0
0.260542,0,0,0,0,0,0,0,0
0.261901,0,0,0,0,0,0,0,0
0.263262,0,0,0,0,0,0,0,0
0.264701,0,0,0,0,0,0,0,0
0.266070,0,0,0,0,0,0,0,0
0.267431,0,0,0,0,0,0,0,0
0.268803,0,0,0,0,0,0,0,0
0.270176,0,0,0,0,0,0,0,0
0.271639,0,0,0,0,0,0,0,0
0.273069,0,0,0,0,0,0,0,0
0.274482,0,0,0,0,0,0,0,0
0.275957,0,0,0,0,0,0,0,0
0.278131,0,0,0,0,0,0,0,0
0.279540,0,0,0,0,0,0,0,0
0.281022,0,0,0,0,0,0,0,0
0.282432,0,0,0,0,0,0,0,0
0.283898,0,0,0,0,0,0,0,0
0.285304,0,0,0,0,0,0,0,0
0.287205,0,0,0,0,0,0,0,0
0.289625,0,0,0,0,0,0,0,0
0.291039,0,0,0,0,0,0,0,0
0.295618,0,0,0,0,0,0,0,0
0.297033,0,0,0,0,0,0,0,0
0.298436,0,0,0,0,0,0,0,0
0.300314,0,0,0,0,0,0,0,0
0.301738,0,0,0,0,0,0,0,0
0.303240,0,0,0,0,0,0,0,0
0.304720,0,0,0,0,0,0,0,0
0.306127,0,0,0,0,0,0,0,0
0.307534,0,0,0,0,0,0,0,0
0.308999,0,0,0,0,0,0,0,0
0.310379,0,0,0,0,0,0,0,0
0.311756,0,0,0,0,0,0,0,0
0.313341,0,0,0,0,0,0,0,0
0.314793,0,0,0,0,0,0,0,0
0.316177,0,0,0,0,0,0,0,0
0.317542,0,0,0,0,0,0,0,0
0.318924,0,0,0,0,0,0,0,0
0.320336,0,0,0,0,0,0,0,0
0.321742,0,0,0,0,0,0,0,0
0.323289,0,0,0,0,0,0,0,0
0.324860,0,0,0,0,0,0,0,0
0.326423,0,0,0,0,0,0,0,0
0.327872,0,0,0,0,0,0,0,0
0.329415,0,0,0,0,0,0,0,0
0.330986,0,0,0,0,0,0,0,0
0.332558,0,0,0,0,0,0,0,0
0.334143,0,0,0,0,0,0,0,0
0.335717,0,0,0,0,0,0,0,0
0.337290,0,0,0,0,0,0,0,0
0.338861,0,0,0,0,0,0,0,0
0.340434,0,0,0,0,0,0,0,0
