elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.265801,0,0,0,0
0.267398,0,0,0,0
0.268960,0,0,0,0
0.270502,0,0,0,0
0.272192,0,0,0,0
0.273734,0,0,0,0
0.275159,0,0,0,0
0.276684,0,0,0,0
0.278234,0,0,0,0
0.279794,0,0,0,0
0.281346,0,0,0,0
0.282942,0,0,0,0
0.284494,0,0,0,0
0.286043,0,0,0,0
0.287595,0,0,0,0
0.289146,0,0,0,0
0.290709,0,0,0,0
0.292263,0,0,0,0
0.293812,0,0,0,0
0.295364,0,0,0,0
0.296916,0,0,0,0
0.298464,0,0,0,0
0.300145,0,0,0,0
0.301824,0,0,0,0
0.303379,0,0,0,0
0.305045,0,0,0,0
0.306599,0,0,0,0
0.308156,0,0,0,0
0.309707,0,0,0,0
0.311261,0,0,0,0
0.312826,0,0,0,0
0.314378,0,0,0,0
0.315930,0,0,0,0
0.317481,0,0,0,0
0.319036,0,0,0,0
0.320589,0,0,0,0
0.322141,0,0,0,0
0.323707,0,0,0,0
0.325260,0,0,0,0
0.326877,0,0,0,0
0.328492,0,0,0,0
0.330043,0,0,0,0
0.331641,0,0,0,0
0.333195,0,0,0,0
0.334758,0,0,0,0
0.336396,0,0,0,0
0.337948,0,0,0,0
0.339502,0,0,0,0
0.341055,0,0,0,0
0.342605,0,0,0,0
0.344162,0,0,0,0
0.345724,0,0,0,0
0.347322,0,0,0,0
0.348875,0,0,0,0
0.350426,0,0,0,0
0.351979,0,0,0,0
0.353532,0,0,0,0
0.355086,0,0,0,0
0.356653,0,0,0,0
0.358203,0,0,0,0
0.359756,0,0,0,0
0.361309,0,0,0,0
0.362953,0,0,0,0
0.364508,0,0,0,0
0.366059,0,0,0,0
0.367626,0,0,0,0
0.369180,0,0,0,0
0.370731,0,0,0,0
0.372281,0,0,0,0
0.373822,0,0,0,0
0.375240,0,0,0,0
0.376760,0,0,0,0
0.378321,0,0,0,0
0.379873,0,0,0,0
0.381425,0,0,0,0
0.382978,0,0,0,0
0.384529,0,0,0,0
0.386078,0,0,0,0
0.387632,0,0,0,0
0.389196,0,0,0,0
0.390744,0,0,0,0
0.392300,0,0,0,0
0.393849,0,0,0,0
0.395445,0,0,0,0
0.396997,0,0,0,0
0.398547,0,0,0,0
0.400116,0,0,0,0
0.401665,0,0,0,0
0.403243,0,0,0,0
0.404790,0,0,0,0
0.406227,0,0,0,0
0.407626,0,0,0,0
0.409144,0,0,0,0
0.410577,0,0,0,0
0.412147,0,0,0,0
0.413695,0,0,0,0
0.415248,0,0,0,0
0.416798,0,0,0,0
0.418347,0,0,0,0
0.419899,0,0,0,0
0.421465,0,0,0,0
0.423018,0,0,0,0
0.424576,0,0,0,0
0.426133,0,0,0,0
0.427695,0,0,0,0
0.429248,0,0,0,0
0.430891,0,0,0,0
0.432336,0,0,0,0
0.433727,0,0,0,0
0.435247,0,0,0,0
0.436801,0,0,0,0
0.438352,0,0,0,0
0.439905,0,0,0,0
0.441458,0,0,0,0
0.443067,0,0,0,0
0.444620,0,0,0,0
0.446172,0,0,0,0
0.447724,0,0,0,0
0.449277,0,0,0,0
0.450833,0,0,0,0
0.452397,0,0,0,0
0.454010,0,0,0,0
0.455455,0,0,0,0
0.456850,0,0,0,0
0.458238,0,0,0,0
0.459671,0,0,0,0
0.461059,0,0,0,0
0.462577,0,0,0,0
0.464143,0,0,0,0
0.465684,0,0,0,0
0.467103,0,0,0,0
0.468626,0,0,0,0
0.470177,0,0,0,0
0.471731,0,0,0,0
0.473285,0,0,0,0
0.474895,0,0,0,0
0.476440,0,0,0,0
0.477982,0,0,0,0
0.479401,0,0,0,0
0.480924,0,0,0,0
0.482476,0,0,0,0
0.484091,0,0,0,0
0.485654,0,0,0,0
0.487210,0,0,0,0
0.488762,0,0,0,0
0.490314,0,0,0,0
0.491868,0,0,0,0
0.493421,0,0,0,0
0.494975,0,0,0,0
0.496532,0,0,0,0
0.498074,0,0,0,0
0.499493,0,0,0,0
0.501051,0,0,0,0
0.502603,0,0,0,0
0.504161,0,0,0,0
0.505713,0,0,0,0
0.507322,0,0,0,0
0.508875,0,0,0,0
0.510426,0,0,0,0
0.511979,0,0,0,0
0.513534,0,0,0,0
0.515089,0,0,0,0
0.516643,0,0,0,0
0.518081,0,0,0,0
0.519608,0,0,0,0
0.521161,0,0,0,0
0.522713,0,0,0,0
0.524317,0,0,0,0
0.525867,0,0,0,0
0.527423,0,0,0,0
0.528990,0,0,0,0
0.530541,0,0,0,0
0.532111,0,0,0,0
0.533663,0,0,0,0
0.535219,0,0,0,0
0.536773,0,0,0,0
0.538324,0,0,0,0
0.539891,0,0,0,0
0.541445,0,0,0,0
0.543000,0,0,0,0
0.544552,0,0,0,0
0.546003,0,0,0,0
0.547533,0,0,0,0
0.549098,0,0,0,0
0.550663,0,0,0,0
0.552221,0,0,0,0
0.555104,0,0,0,0
0.556677,0,0,0,0
0.558089,0,0,0,0
0.559475,0,0,0,0
0.560874,0,0,0,0
0.562262,0,0,0,0
0.563648,0,0,0,0
0.565028,0,0,0,0
0.566408,0,0,0,0
0.567789,0,0,0,0
0.569170,0,0,0,0
0.570550,0,0,0,0
0.572052,0,0,0,0
0.573432,0,0,0,0
0.574893,0,0,0,0
0.576272,0,0,0,0
0.577780,0,0,0,0
0.579198,0,0,0,0
0.580712,0,0,0,0
0.582267,0,0,0,0
0.583688,0,0,0,0
0.585209,0,0,0,0
0.586760,0,0,0,0
0.588220,0,0,0,0
0.589609,0,0,0,0
0.591130,0,0,0,0
0.592695,0,0,0,0
0.594245,0,0,0,0
0.595797,0,0,0,0
0.597349,0,0,0,0
0.598903,0,0,0,0
0.600456,0,0,0,0
0.602006,0,0,0,0
0.603614,0,0,0,0
0.605165,0,0,0,0
0.606702,0,0,0,0
0.608333,0,0,0,0
0.609882,0,0,0,0
0.611436,0,0,0,0
0.612987,0,0,0,0
0.614549,0,0,0,0
0.616105,0,0,0,0
0.617655,0,0,0,0
0.619251,0,0,0,0
0.620803,0,0,0,0
0.622352,0,0,0,0
0.623903,0,0,0,0
0.625460,0,0,0,0
0.627083,0,0,0,0
0.628495,0,0,0,0
0.629888,0,0,0,0
0.631282,0,0,0,0
0.632670,0,0,0,0
0.634056,0,0,0,0
0.635501,0,0,0,0
0.637017,0,0,0,0
0.638567,0,0,0,0
0.640124,0,0,0,0
0.641676,0,0,0,0
0.643230,0,0,0,0
0.644782,0,0,0,0
0.646346,0,0,0,0
0.647898,0,0,0,0
0.649450,0,0,0,0
0.651047,0,0,0,0
0.652600,0,0,0,0
0.654149,0,0,0,0
0.655701,0,0,0,0
0.657267,0,0,0,0
0.658906,0,0,0,0
0.660321,0,0,0,0
0.661713,0,0,0,0
0.663233,0,0,0,0
0.664785,0,0,0,0
0.666335,0,0,0,0
0.667900,0,0,0,0
0.669452,0,0,0,0
0.671007,0,0,0,0
0.672560,0,0,0,0
0.674110,0,0,0,0
0.675663,0,0,0,0
0.677217,0,0,0,0
0.678781,0,0,0,0
0.680372,0,0,0,0
0.681923,0,0,0,0
0.683522,0,0,0,0
0.685066,0,0,0,0
0.686607,0,0,0,0
0.688149,0,0,0,0
0.689711,0,0,0,0
0.691263,0,0,0,0
