elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.095146,0,0,0,0
0.096444,0,0,0,0
0.097742,0,0,0,0
0.099039,0,0,0,0
0.100625,0,0,0,0
0.102049,0,0,0,0
0.103467,0,0,0,0
0.104887,0,0,0,0
0.106310,0,0,0,0
0.107731,0,0,0,0
0.109152,0,0,0,0
0.110573,0,0,0,0
0.111997,0,0,0,0
0.113418,0,0,0,0
0.114839,0,0,0,0
0.116262,0,0,0,0
0.117687,0,0,0,0
0.118998,0,0,0,0
0.120419,0,0,0,0
0.121731,0,0,0,0
0.123152,0,0,0,0
0.124573,0,0,0,0
0.125995,0,0,0,0
0.127456,0,0,0,0
0.128910,0,0,0,0
0.130298,0,0,0,0
0.131679,0,0,0,0
0.133203,0,0,0,0
0.134588,0,0,0,0
0.135978,0,0,0,0
0.139364,0,0,0,0
0.140751,0,0,0,0
0.142131,0,0,0,0
0.143509,0,0,0,0
0.144887,0,0,0,0
0.146395,0,0,0,0
0.148089,0,0,0,0
0.149643,0,0,0,0
0.151184,0,0,0,0
0.152605,0,0,0,0
0.153998,0,0,0,0
0.155384,0,0,0,0
0.156772,0,0,0,0
0.158157,0,0,0,0
0.159553,0,0,0,0
0.160941,0,0,0,0
0.162457,0,0,0,0
0.164011,0,0,0,0
0.165564,0,0,0,0
0.167114,0,0,0,0
0.168668,0,0,0,0
0.170234,0,0,0,0
0.171784,0,0,0,0
0.173341,0,0,0,0
0.174891,0,0,0,0
0.176533,0,0,0,0
0.178086,0,0,0,0
0.179636,0,0,0,0
0.181204,0,0,0,0
0.182754,0,0,0,0
0.184308,0,0,0,0
0.185861,0,0,0,0
0.187411,0,0,0,0
0.188964,0,0,0,0
0.190515,0,0,0,0
0.192123,0,0,0,0
0.193677,0,0,0,0
0.195228,0,0,0,0
0.196779,0,0,0,0
0.198342,0,0,0,0
0.199789,0,0,0,0
0.201184,0,0,0,0
0.202712,0,0,0,0
0.204419,0,0,0,0
0.205974,0,0,0,0
0.207525,0,0,0,0
0.209080,0,0,0,0
0.210633,0,0,0,0
0.212187,0,0,0,0
0.213753,0,0,0,0
0.215305,0,0,0,0
0.216858,0,0,0,0
0.218411,0,0,0,0
0.220118,0,0,0,0
0.221959,0,0,0,0
0.223364,0,0,0,0
0.224814,0,0,0,0
0.226204,0,0,0,0
0.227590,0,0,0,0
0.228977,0,0,0,0
0.230581,0,0,0,0
0.232165,0,0,0,0
0.233705,0,0,0,0
0.235270,0,0,0,0
0.236823,0,0,0,0
0.238376,0,0,0,0
0.239974,0,0,0,0
0.241528,0,0,0,0
0.243079,0,0,0,0
0.244633,0,0,0,0
0.246200,0,0,0,0
0.247752,0,0,0,0
0.249292,0,0,0,0
0.250685,0,0,0,0
0.252206,0,0,0,0
0.253759,0,0,0,0
0.255310,0,0,0,0
0.256875,0,0,0,0
0.258429,0,0,0,0
0.259985,0,0,0,0
0.261530,0,0,0,0
0.263073,0,0,0,0
0.264498,0,0,0,0
0.266024,0,0,0,0
0.267587,0,0,0,0
0.269188,0,0,0,0
0.270730,0,0,0,0
0.272150,0,0,0,0
0.273673,0,0,0,0
0.275223,0,0,0,0
0.276776,0,0,0,0
0.278342,0,0,0,0
0.280203,0,0,0,0
0.282768,0,0,0,0
0.284176,0,0,0,0
0.285565,0,0,0,0
0.286963,0,0,0,0
0.288382,0,0,0,0
0.289772,0,0,0,0
0.291280,0,0,0,0
0.292700,0,0,0,0
0.294224,0,0,0,0
0.295775,0,0,0,0
0.297332,0,0,0,0
