group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
HLSQ,HLSQ_COMPUTE_DRAWCALLS,flat_or_saturated,20.0,4.0,4.0,1.0,0.0,3.757621721236243e-19,4.0,4.0,4.0,4.0,4.0
HLSQ,HLSQ_STALL_CYCLES_UCHE,flat_or_saturated,20.0,4.0,4.0,1.0,0.0,3.757621721236243e-19,4.0,4.0,4.0,4.0,4.0
HLSQ,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI,flat_or_saturated,10.0,2.0,2.0,1.0,0.0,1.8788108606181216e-19,2.0,2.0,2.0,2.0,2.0
HLSQ,HLSQ_L2STC_BANK0_REPLACEMENT,flat_or_saturated,10.0,2.0,2.0,1.0,0.0,1.8788108606181216e-19,2.0,2.0,2.0,2.0,2.0
HLSQ,HLSQ_L2STC_BANK1_REPLACEMENT,flat_or_saturated,10.0,2.0,2.0,1.0,0.0,1.8788108606181216e-19,2.0,2.0,2.0,2.0,2.0
HLSQ,HLSQ_L2STC_BANK2_REPLACEMENT,flat_or_saturated,10.0,2.0,2.0,1.0,0.0,1.8788108606181216e-19,2.0,2.0,2.0,2.0,2.0
HLSQ,HLSQ_L2STC_BANK3_REPLACEMENT,flat_or_saturated,5.0,1.0,1.0,1.0,0.0,9.394054303090608e-20,1.0,1.0,1.0,1.0,1.0
HLSQ,HLSQ_STPROC_L0_INS_LATENCY_COUNT,flat_or_saturated,5.0,1.0,1.0,1.0,0.0,9.394054303090608e-20,1.0,1.0,1.0,1.0,1.0
HLSQ,HLSQ_STPROC_L0_INS_MISS,flat_or_saturated,5.0,1.0,1.0,1.0,0.0,9.394054303090608e-20,1.0,1.0,1.0,1.0,1.0
CP,CP_AHB_STALL_SQE_WR_OTHER,flat_or_saturated,4.0,4.0,0.0,0.0,-0.47660312381939807,-0.0010920698924731188,4.0,0.0,0.0,0.0,0.0
HLSQ,HLSQ_L2STC_STALL_SP_MISS_REQ,flat_or_saturated,2.0,1.0,0.0,0.0,-0.7034540996048683,-0.0004935315860215056,1.0,1.0,0.0,0.0,0.0
CP,CP_LONG_PREEMPTIONS,flat_or_saturated,1.0,1.0,0.0,0.0,-0.47660312381939807,-0.0002730174731182797,1.0,0.0,0.0,0.0,0.0
