elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.437661,0,0,0,0,0,0,0,0
0.439235,0,0,0,0,0,0,0,0
0.440809,0,0,0,0,0,0,0,0
0.442382,0,0,0,0,0,0,0,0
0.443965,0,0,0,0,0,0,0,0
0.445583,0,0,0,0,0,0,0,0
0.447146,0,0,0,0,0,0,0,0
0.448827,0,0,0,0,0,0,0,0
0.450444,0,0,0,0,0,0,0,0
0.451855,0,0,0,0,0,0,0,0
0.453259,0,0,0,0,0,0,0,0
0.454797,0,0,0,0,0,0,0,0
0.456358,0,0,0,0,0,0,0,0
0.458060,0,0,0,0,0,0,0,0
0.459628,0,0,0,0,0,0,0,0
0.461246,0,0,0,0,0,0,0,0
0.462815,0,0,0,0,0,0,0,0
0.464384,0,0,0,0,0,0,0,0
0.466045,0,0,0,0,0,0,0,0
0.467615,0,0,0,0,0,0,0,0
0.469188,0,0,0,0,0,0,0,0
0.470759,0,0,0,0,0,0,0,0
0.472329,0,0,0,0,0,0,0,0
0.473949,0,0,0,0,0,0,0,0
0.475519,0,0,0,0,0,0,0,0
0.477148,0,0,0,0,0,0,0,0
0.478720,0,0,0,0,0,0,0,0
0.480289,0,0,0,0,0,0,0,0
0.481861,0,0,0,0,0,0,0,0
0.483431,0,0,0,0,0,0,0,0
0.485002,0,0,0,0,0,0,0,0
0.486571,0,0,0,0,0,0,0,0
0.488046,0,0,0,0,0,0,0,0
0.489597,0,0,0,0,0,0,0,0
0.491171,0,0,0,0,0,0,0,0
0.492746,0,0,0,0,0,0,0,0
0.494319,0,0,0,0,0,0,0,0
0.495891,0,0,0,0,0,0,0,0
0.497466,0,0,0,0,0,0,0,0
0.499053,0,0,0,0,0,0,0,0
0.500625,0,0,0,0,0,0,0,0
0.502238,0,0,0,0,0,0,0,0
0.503810,0,0,0,0,0,0,0,0
0.505384,0,0,0,0,0,0,0,0
0.506956,0,0,0,0,0,0,0,0
0.508528,0,0,0,0,0,0,0,0
0.509975,0,0,0,0,0,0,0,0
0.511390,0,0,0,0,0,0,0,0
0.512930,0,0,0,0,0,0,0,0
0.514494,0,0,0,0,0,0,0,0
0.516057,0,0,0,0,0,0,0,0
0.517499,0,0,0,0,0,0,0,0
0.519076,0,0,0,0,0,0,0,0
0.520661,0,0,0,0,0,0,0,0
0.522287,0,0,0,0,0,0,0,0
0.523858,0,0,0,0,0,0,0,0
0.525476,0,0,0,0,0,0,0,0
0.527050,0,0,0,0,0,0,0,0
0.528621,0,0,0,0,0,0,0,0
0.530200,0,0,0,0,0,0,0,0
0.531785,0,0,0,0,0,0,0,0
0.533359,0,0,0,0,0,0,0,0
0.534933,0,0,0,0,0,0,0,0
0.536504,0,0,0,0,0,0,0,0
0.538080,0,0,0,0,0,0,0,0
0.539651,0,0,0,0,0,0,0,0
0.541270,0,0,0,0,0,0,0,0
0.542723,0,0,0,0,0,0,0,0
0.544153,0,0,0,0,0,0,0,0
0.545529,0,0,0,0,0,0,0,0
0.546893,0,0,0,0,0,0,0,0
0.548297,0,0,0,0,0,0,0,0
0.550043,0,0,0,0,0,0,0,0
0.551472,0,0,0,0,0,0,0,0
0.553261,0,0,0,0,0,0,0,0
0.554961,0,0,0,0,0,0,0,0
0.556446,0,0,0,0,0,0,0,0
0.557965,0,0,0,0,0,0,0,0
0.559368,0,0,0,0,0,0,0,0
0.560798,0,0,0,0,0,0,0,0
0.562268,0,0,0,0,0,0,0,0
