elapsed_s,CCHE_GMEM0_LOCAL_RD_REQUEST,CCHE_GMEM0_LOCAL_WR_REQUEST,CCHE_GMEM1_LOCAL_RD_REQUEST,CCHE_GMEM1_LOCAL_WR_REQUEST,CCHE_GMEM0_REMOTE_RD_REQUEST,CCHE_GMEM0_REMOTE_WR_REQUEST,CCHE_GMEM1_REMOTE_RD_REQUEST,CCHE_GMEM1_REMOTE_WR_REQUEST,CCHE_STALL_CYCLES_TP,CCHE_ATOMIC_REQUESTS_SP_TOTAL,CCHE_ATOMIC_PACKING_BEAT_SP_TOTAL
0.147424,0,0,0,0,0,0,0,0,0,0,0
0.148812,0,0,0,0,0,0,0,0,0,0,0
0.150190,0,0,0,0,0,0,0,0,0,0,0
0.151566,0,0,0,0,0,0,0,0,0,0,0
0.153139,0,0,0,0,0,0,0,0,0,0,0
0.154727,0,0,0,0,0,0,0,0,0,0,0
0.156316,0,0,0,0,0,0,0,0,0,0,0
0.157965,0,0,0,0,0,0,0,0,0,0,0
0.159564,0,0,0,0,0,0,0,0,0,0,0
0.161155,0,0,0,0,0,0,0,0,0,0,0
0.162744,0,0,0,0,0,0,0,0,0,0,0
0.164330,0,0,0,0,0,0,0,0,0,0,0
0.165965,0,0,0,0,0,0,0,0,0,0,0
0.167553,0,0,0,0,0,0,0,0,0,0,0
0.169188,0,0,0,0,0,0,0,0,0,0,0
0.170789,0,0,0,0,0,0,0,0,0,0,0
0.172377,0,0,0,0,0,0,0,0,0,0,0
0.174053,0,0,0,0,0,0,0,0,0,0,0
0.175640,0,0,0,0,0,0,0,0,0,0,0
0.177229,0,0,0,0,0,0,0,0,0,0,0
0.178817,0,0,0,0,0,0,0,0,0,0,0
0.180404,0,0,0,0,0,0,0,0,0,0,0
0.181932,0,0,0,0,0,0,0,0,0,0,0
0.183488,0,0,0,0,0,0,0,0,0,0,0
0.185001,0,0,0,0,0,0,0,0,0,0,0
0.186555,0,0,0,0,0,0,0,0,0,0,0
0.188133,0,0,0,0,0,0,0,0,0,0,0
0.189588,0,0,0,0,0,0,0,0,0,0,0
0.191145,0,0,0,0,0,0,0,0,0,0,0
0.192744,0,0,0,0,0,0,0,0,0,0,0
