elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_11_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_12_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_13_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_14_WORKING_CC_L2
1.002579,0,0,0,0
1.004021,0,0,0,0
1.005644,0,0,0,0
1.007312,0,0,0,0
1.008976,0,0,0,0
1.010649,0,0,0,0
1.012333,0,0,0,0
1.014025,0,0,0,0
1.015693,0,0,0,0
1.017362,0,0,0,0
1.019025,0,0,0,0
1.020572,0,0,0,0
1.022200,0,0,0,0
1.023884,0,0,0,0
1.025551,0,0,0,0
1.027213,0,0,0,0
1.028727,0,0,0,0
1.030159,0,0,0,0
1.031587,0,0,0,0
1.033012,0,0,0,0
1.034518,0,0,0,0
1.035942,0,0,0,0
1.037430,0,0,0,0
1.039053,0,0,0,0
1.040720,0,0,0,0
1.042389,0,0,0,0
1.044042,0,0,0,0
1.045595,0,0,0,0
1.047249,0,0,0,0
1.048898,0,0,0,0
1.050648,0,0,0,0
1.052133,0,0,0,0
1.053904,0,0,0,0
1.055580,0,0,0,0
1.057266,0,0,0,0
1.058933,0,0,0,0
1.060659,0,0,0,0
1.062328,0,0,0,0
1.063994,0,0,0,0
1.065663,0,0,0,0
1.067349,0,0,0,0
1.069075,0,0,0,0
1.070748,0,0,0,0
1.072413,0,0,0,0
1.074083,0,0,0,0
1.075751,0,0,0,0
1.077440,0,0,0,0
1.079107,0,0,0,0
1.080772,0,0,0,0
1.082441,0,0,0,0
1.084002,0,0,0,0
1.085459,0,0,0,0
1.087082,0,0,0,0
1.088767,0,0,0,0
1.090437,0,0,0,0
1.092106,0,0,0,0
1.093838,0,0,0,0
1.095507,0,0,0,0
1.097173,0,0,0,0
1.098787,0,0,0,0
1.100231,0,0,0,0
1.101913,0,0,0,0
1.103582,0,0,0,0
1.105254,0,0,0,0
1.106908,0,0,0,0
1.108618,0,0,0,0
1.110199,0,0,0,0
1.111644,0,0,0,0
1.113273,0,0,0,0
1.114977,0,0,0,0
