elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
0.205288,13122,0,0,0
0.207188,13128,0,0,0
0.208918,12978,0,0,0
0.210436,13128,0,0,0
0.212101,12885,0,0,0
0.213806,13170,0,0,0
0.215520,13404,0,0,0
0.217017,13548,0,0,0
0.218494,13506,0,0,0
0.219953,13530,0,0,0
0.221411,13482,0,0,0
0.222925,13212,0,0,0
0.224376,13434,0,0,0
0.225854,13704,0,0,0
0.227427,13461,0,0,0
0.229148,13455,0,0,0
0.230916,13533,0,0,0
0.232632,13239,0,0,0
0.234336,13398,0,0,0
0.236043,13608,0,0,0
0.237769,13482,0,0,0
0.239477,13488,0,0,0
0.241183,13536,0,0,0
0.242887,12525,0,0,0
0.244394,13536,0,0,0
0.246057,13476,0,0,0
0.247669,13488,0,0,0
0.249333,13524,0,0,0
0.251036,13392,0,0,0
0.252676,13506,0,0,0
0.254190,13677,0,0,0
0.255665,13380,0,0,0
0.257134,13554,0,0,0
0.258618,13521,0,0,0
0.260089,13545,0,0,0
0.261554,13644,0,0,0
0.263215,13560,0,0,0
0.264924,13545,0,0,0
0.266629,13497,0,0,0
0.268239,13521,0,0,0
0.269742,14895,0,0,0
0.271410,13533,0,0,0
0.273123,13539,0,0,0
0.274831,13203,0,0,0
0.276547,13725,0,0,0
0.278318,13527,0,0,0
0.280050,12504,0,0,0
0.281744,13026,0,0,0
0.283467,12828,0,0,0
0.284909,11883,0,0,0
0.286451,13377,0,0,0
0.287920,13143,0,0,0
0.289387,12657,0,0,0
0.290863,13149,0,0,0
0.292332,13566,0,0,0
0.293986,12765,0,0,0
0.295756,13038,0,0,0
0.297464,12906,0,0,0
0.299171,13584,0,0,0
0.300880,13431,0,0,0
0.302670,13629,0,0,0
0.304511,13518,0,0,0
0.306219,13296,0,0,0
0.307931,13458,0,0,0
0.309713,13644,0,0,0
0.311427,13770,0,0,0
0.313155,13647,0,0,0
0.314861,13584,0,0,0
0.316572,13530,0,0,0
0.318343,13524,0,0,0
0.320052,13641,0,0,0
0.321583,13620,0,0,0
0.323275,14214,0,0,0
0.324983,13359,0,0,0
0.326750,13569,0,0,0
0.328463,13503,0,0,0
0.330169,13581,0,0,0
0.331877,13611,0,0,0
0.333421,13515,0,0,0
0.335152,13566,0,0,0
0.336857,13674,0,0,0
0.338675,13587,0,0,0
0.340523,13599,0,0,0
0.342215,13419,0,0,0
0.343967,13569,0,0,0
0.345516,13377,0,0,0
0.347330,13602,0,0,0
0.349031,13503,0,0,0
0.350798,13482,0,0,0
0.352509,13422,0,0,0
0.354231,13545,0,0,0
0.355938,13587,0,0,0
0.357645,13686,0,0,0
0.359357,13542,0,0,0
0.361066,13695,0,0,0
0.362768,13578,0,0,0
0.364499,13353,0,0,0
0.366203,13440,0,0,0
0.367720,13548,0,0,0
0.369381,13602,0,0,0
0.371184,13479,0,0,0
0.372925,13404,0,0,0
0.374527,13569,0,0,0
0.376196,13563,0,0,0
0.377903,13563,0,0,0
0.379611,13611,0,0,0
0.381317,13647,0,0,0
0.383505,13575,0,0,0
0.385073,13635,0,0,0
0.386547,13500,0,0,0
0.388203,13566,0,0,0
0.389926,11640,0,0,0
0.391417,13575,0,0,0
0.392898,13563,0,0,0
0.394553,13248,0,0,0
0.396088,13629,0,0,0
0.397752,13656,0,0,0
0.399463,13521,0,0,0
0.400975,13596,0,0,0
0.402623,13416,0,0,0
0.404235,13803,0,0,0
0.405711,13659,0,0,0
0.407562,13461,0,0,0
0.409269,13488,0,0,0
0.410977,13422,0,0,0
0.412696,13479,0,0,0
0.414470,13581,0,0,0
0.416181,13527,0,0,0
0.417728,13167,0,0,0
0.419400,11955,0,0,0
0.421114,12171,0,0,0
0.422887,11628,0,0,0
0.424403,12243,0,0,0
0.425882,11868,0,0,0
0.427545,12321,0,0,0
0.429097,14502,0,0,0
0.430924,14694,0,0,0
0.432722,14502,0,0,0
0.434511,14736,0,0,0
0.436302,14604,0,0,0
0.438094,14565,0,0,0
0.439638,15138,0,0,0
0.441185,15714,0,0,0
0.442926,14280,0,0,0
0.444711,14127,0,0,0
0.446562,14193,0,0,0
0.448143,14622,0,0,0
0.449749,15114,0,0,0
0.451492,13674,0,0,0
0.453340,14358,0,0,0
0.455370,14280,0,0,0
0.457142,14649,0,0,0
0.458917,15195,0,0,0
0.460589,14436,0,0,0
0.462128,14529,0,0,0
0.463926,14178,0,0,0
0.465970,13746,0,0,0
0.467806,14163,0,0,0
0.469411,14415,0,0,0
0.471263,14511,0,0,0
0.473053,14571,0,0,0
0.474837,15738,0,0,0
0.476636,15075,0,0,0
0.478503,14412,0,0,0
0.480292,14661,0,0,0
0.481902,14781,0,0,0
0.483652,15132,0,0,0
0.485443,15720,0,0,0
0.487235,14835,0,0,0
0.489025,15597,0,0,0
0.490811,15201,0,0,0
0.492626,15219,0,0,0
0.494493,15231,0,0,0
0.496281,14595,0,0,0
0.498071,15264,0,0,0
0.499862,15198,0,0,0
0.501689,15489,0,0,0
0.503649,14676,0,0,0
0.505274,14703,0,0,0
0.506829,15216,0,0,0
0.508488,15207,0,0,0
0.510014,15876,0,0,0
0.511659,13998,0,0,0
0.513182,15657,0,0,0
0.514738,15228,0,0,0
0.516497,16122,0,0,0
0.518020,15186,0,0,0
0.519613,15894,0,0,0
0.521139,15252,0,0,0
0.522662,14301,0,0,0
0.524551,15108,0,0,0
0.526367,15321,0,0,0
0.527908,15144,0,0,0
0.529443,14202,0,0,0
0.530975,15294,0,0,0
0.532509,14364,0,0,0
0.534040,14694,0,0,0
0.535793,14280,0,0,0
0.537603,15042,0,0,0
0.539394,16398,0,0,0
0.541199,15231,0,0,0
0.543247,14154,0,0,0
0.544787,14643,0,0,0
0.546332,15198,0,0,0
0.548090,14628,0,0,0
0.549882,15246,0,0,0
0.551757,14703,0,0,0
0.553549,15987,0,0,0
0.555341,15744,0,0,0
0.557134,15237,0,0,0
0.559020,15378,0,0,0
0.560628,15723,0,0,0
0.562375,15201,0,0,0
0.564165,15714,0,0,0
0.565955,15282,0,0,0
0.567831,16335,0,0,0
0.569644,15312,0,0,0
0.571437,15243,0,0,0
0.573229,14730,0,0,0
0.575250,15222,0,0,0
0.577052,14640,0,0,0
0.578841,15204,0,0,0
0.580786,10704,0,0,0
0.582505,10803,0,0,0
0.584104,10536,0,0,0
0.585577,10485,0,0,0
0.587144,10791,0,0,0
0.588636,10809,0,0,0
0.590361,10668,0,0,0
0.591850,12489,0,0,0
0.593766,13296,0,0,0
0.596698,12297,0,0,0
0.598302,13143,0,0,0
0.599840,13851,0,0,0
0.601375,11856,0,0,0
0.602922,13164,0,0,0
0.604461,13176,0,0,0
0.605994,12909,0,0,0
0.607598,13125,0,0,0
0.609128,12081,0,0,0
0.610660,13179,0,0,0
0.612540,13509,0,0,0
0.615623,13101,0,0,0
0.617235,13194,0,0,0
0.618777,12675,0,0,0
0.620319,13200,0,0,0
0.621854,12147,0,0,0
0.623391,13182,0,0,0
0.624962,13197,0,0,0
0.626495,12282,0,0,0
0.628031,12330,0,0,0
0.629564,13158,0,0,0
0.631170,13176,0,0,0
0.632704,13143,0,0,0
0.634442,13155,0,0,0
