elapsed_s,TSE_FE_EMPTY_BBOX_KILLED_PRIM,TSE_FE_ST1_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_VPORT_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS
0.251314,0,0,0,0
0.253028,0,0,0,0
0.254725,0,0,0,0
0.256484,0,0,0,0
0.258019,0,0,0,0
0.259690,0,0,0,0
0.261403,0,0,0,0
0.263113,0,0,0,0
0.264887,0,0,0,0
0.266605,0,0,0,0
0.268332,0,0,0,0
0.270042,0,0,0,0
0.271738,0,0,0,0
0.273921,0,0,0,0
0.275607,0,0,0,0
0.277091,0,0,0,0
0.278570,0,0,0,0
0.280039,0,0,0,0
0.282296,0,0,0,0
0.283968,0,0,0,0
0.285433,0,0,0,0
0.286893,0,0,0,0
0.288403,0,0,0,0
0.289875,0,0,0,0
0.291333,0,0,0,0
0.293193,0,0,0,0
0.294884,0,0,0,0
0.296642,0,0,0,0
0.298546,0,0,0,0
0.300269,0,0,0,0
0.302018,0,0,0,0
0.303538,0,0,0,0
0.305012,0,0,0,0
0.306462,0,0,0,0
0.307928,0,0,0,0
0.309553,0,0,0,0
0.311065,0,0,0,0
0.312588,0,0,0,0
0.314048,0,0,0,0
0.315695,0,0,0,0
0.317221,0,0,0,0
0.318699,0,0,0,0
0.320229,0,0,0,0
0.321717,0,0,0,0
0.323424,0,0,0,0
0.324895,0,0,0,0
0.326475,0,0,0,0
0.327928,0,0,0,0
0.329529,0,0,0,0
0.331019,0,0,0,0
0.332457,0,0,0,0
0.333999,0,0,0,0
0.335401,0,0,0,0
0.336871,0,0,0,0
0.338397,0,0,0,0
0.339874,0,0,0,0
0.341346,0,0,0,0
0.342862,0,0,0,0
0.344390,0,0,0,0
0.345859,0,0,0,0
0.347325,0,0,0,0
0.348791,0,0,0,0
0.350259,0,0,0,0
0.351914,0,0,0,0
0.353662,0,0,0,0
0.355199,0,0,0,0
0.356859,0,0,0,0
0.358368,0,0,0,0
0.359865,0,0,0,0
0.362507,0,0,0,0
0.364217,0,0,0,0
0.365687,0,0,0,0
0.367336,0,0,0,0
0.369176,0,0,0,0
0.370745,0,0,0,0
0.372305,0,0,0,0
0.374015,0,0,0,0
0.375562,0,0,0,0
0.377319,0,0,0,0
0.379032,0,0,0,0
0.380740,0,0,0,0
0.382456,0,0,0,0
0.384229,0,0,0,0
0.385774,0,0,0,0
0.387441,0,0,0,0
0.389155,0,0,0,0
0.390852,0,0,0,0
0.392608,0,0,0,0
0.394294,0,0,0,0
0.395786,0,0,0,0
0.397338,0,0,0,0
0.399068,0,0,0,0
0.400841,0,0,0,0
0.402497,0,0,0,0
0.404004,0,0,0,0
0.405686,0,0,0,0
0.407401,0,0,0,0
0.409263,0,0,0,0
0.410792,0,0,0,0
0.412453,0,0,0,0
0.414160,0,0,0,0
0.415868,0,0,0,0
0.417663,0,0,0,0
0.419371,0,0,0,0
0.421082,0,0,0,0
0.422790,0,0,0,0
0.424561,0,0,0,0
0.426358,0,0,0,0
0.427897,0,0,0,0
0.429568,0,0,0,0
0.431277,0,0,0,0
0.433052,0,0,0,0
0.434760,0,0,0,0
0.436466,0,0,0,0
0.438002,0,0,0,0
0.439665,0,0,0,0
0.441377,0,0,0,0
0.443087,0,0,0,0
0.444793,0,0,0,0
0.446307,0,0,0,0
0.447788,0,0,0,0
0.449482,0,0,0,0
0.451190,0,0,0,0
0.452896,0,0,0,0
0.454464,0,0,0,0
0.455940,0,0,0,0
0.457423,0,0,0,0
0.459019,0,0,0,0
0.460508,0,0,0,0
0.461926,0,0,0,0
0.463583,0,0,0,0
0.465299,0,0,0,0
0.467010,0,0,0,0
0.468719,0,0,0,0
0.470436,0,0,0,0
0.471978,0,0,0,0
0.473716,0,0,0,0
0.475427,0,0,0,0
0.477140,0,0,0,0
0.478854,0,0,0,0
0.480628,0,0,0,0
0.482284,0,0,0,0
0.483951,0,0,0,0
0.485662,0,0,0,0
0.487375,0,0,0,0
0.489090,0,0,0,0
0.490802,0,0,0,0
0.492530,0,0,0,0
0.494240,0,0,0,0
0.495951,0,0,0,0
0.497731,0,0,0,0
0.499441,0,0,0,0
0.501156,0,0,0,0
0.502887,0,0,0,0
0.504659,0,0,0,0
0.506379,0,0,0,0
0.508087,0,0,0,0
0.509802,0,0,0,0
0.511499,0,0,0,0
0.513317,0,0,0,0
0.514837,0,0,0,0
0.516295,0,0,0,0
0.517766,0,0,0,0
0.519235,0,0,0,0
0.520756,0,0,0,0
0.522227,0,0,0,0
0.523898,0,0,0,0
0.525612,0,0,0,0
0.527325,0,0,0,0
0.529040,0,0,0,0
0.530752,0,0,0,0
0.532460,0,0,0,0
0.534000,0,0,0,0
0.535667,0,0,0,0
0.537385,0,0,0,0
0.539098,0,0,0,0
0.540808,0,0,0,0
0.542527,0,0,0,0
0.544319,0,0,0,0
0.546032,0,0,0,0
0.547741,0,0,0,0
0.549456,0,0,0,0
0.551168,0,0,0,0
0.552939,0,0,0,0
0.554504,0,0,0,0
0.556173,0,0,0,0
0.557886,0,0,0,0
0.559599,0,0,0,0
0.561314,0,0,0,0
0.563029,0,0,0,0
0.564757,0,0,0,0
0.566285,0,0,0,0
0.567951,0,0,0,0
0.569732,0,0,0,0
0.571428,0,0,0,0
0.573256,0,0,0,0
0.574721,0,0,0,0
0.576606,0,0,0,0
0.578205,0,0,0,0
0.579870,0,0,0,0
0.581582,0,0,0,0
0.583292,0,0,0,0
0.584837,0,0,0,0
0.586592,0,0,0,0
0.588379,0,0,0,0
0.590169,0,0,0,0
0.591960,0,0,0,0
0.593475,0,0,0,0
0.595244,0,0,0,0
0.597037,0,0,0,0
0.598828,0,0,0,0
0.600695,0,0,0,0
0.602488,0,0,0,0
0.604077,0,0,0,0
0.605857,0,0,0,0
0.607649,0,0,0,0
0.609442,0,0,0,0
0.611234,0,0,0,0
0.613026,0,0,0,0
0.614818,0,0,0,0
0.616710,0,0,0,0
0.618328,0,0,0,0
0.619932,0,0,0,0
0.621697,0,0,0,0
0.623563,0,0,0,0
0.625150,0,0,0,0
0.626635,0,0,0,0
0.628315,0,0,0,0
0.630106,0,0,0,0
0.631883,0,0,0,0
0.633546,0,0,0,0
0.635380,0,0,0,0
0.636925,0,0,0,0
0.638737,0,0,0,0
0.640602,0,0,0,0
0.642542,0,0,0,0
0.644327,0,0,0,0
0.646356,0,0,0,0
0.648016,0,0,0,0
0.649652,0,0,0,0
0.651187,0,0,0,0
0.652720,0,0,0,0
0.654258,0,0,0,0
0.655789,0,0,0,0
0.657323,0,0,0,0
0.658870,0,0,0,0
0.660604,0,0,0,0
0.662334,0,0,0,0
0.664079,0,0,0,0
0.665873,0,0,0,0
0.667456,0,0,0,0
0.669222,0,0,0,0
0.671007,0,0,0,0
0.672865,0,0,0,0
0.674659,0,0,0,0
0.676445,0,0,0,0
0.678233,0,0,0,0
0.680042,0,0,0,0
0.681557,0,0,0,0
0.683304,0,0,0,0
0.685095,0,0,0,0
0.686884,0,0,0,0
0.688749,0,0,0,0
0.690367,0,0,0,0
0.692105,0,0,0,0
0.693687,0,0,0,0
0.695526,0,0,0,0
0.697377,0,0,0,0
0.699266,0,0,0,0
0.701080,0,0,0,0
0.702855,0,0,0,0
0.704707,0,0,0,0
0.707227,0,0,0,0
0.708972,0,0,0,0
0.710840,0,0,0,0
0.712726,0,0,0,0
0.714524,0,0,0,0
0.716312,0,0,0,0
0.717899,0,0,0,0
0.719639,0,0,0,0
0.721234,0,0,0,0
0.723118,0,0,0,0
0.724672,0,0,0,0
0.726203,0,0,0,0
0.727666,0,0,0,0
0.729196,0,0,0,0
0.730704,0,0,0,0
0.732167,0,0,0,0
0.733652,0,0,0,0
0.735123,0,0,0,0
0.736576,0,0,0,0
0.738003,0,0,0,0
0.739420,0,0,0,0
0.740837,0,0,0,0
0.742393,0,0,0,0
0.743817,0,0,0,0
0.745531,0,0,0,0
0.747270,0,0,0,0
0.749068,0,0,0,0
0.750846,0,0,0,0
0.752700,0,0,0,0
0.754467,0,0,0,0
0.756008,0,0,0,0
0.757759,0,0,0,0
0.759568,0,0,0,0
0.761163,0,0,0,0
0.762911,0,0,0,0
0.764518,0,0,0,0
0.766059,0,0,0,0
0.767788,0,0,0,0
0.769450,0,0,0,0
0.771195,0,0,0,0
0.773140,0,0,0,0
0.774953,0,0,0,0
0.776818,0,0,0,0
0.778611,0,0,0,0
0.780542,0,0,0,0
0.782479,0,0,0,0
