elapsed_s,TSE_SETUP_FMUL_3_WORKING_CYCLE_L3,TSE_SETUP_FMUL_4_WORKING_CYCLE_L3,TSE_SETUP_FMUL_5_WORKING_CYCLE_L3,TSE_EDGE_SETUP_WORKING_CYCLE_L1
1.118940,0,0,0,0
1.120747,0,0,0,0
1.122562,0,0,0,0
1.124288,0,0,0,0
1.125863,0,0,0,0
1.127559,0,0,0,0
1.129271,0,0,0,0
1.130831,0,0,0,0
1.132366,0,0,0,0
1.133901,0,0,0,0
1.135430,0,0,0,0
1.137032,0,0,0,0
1.138584,0,0,0,0
1.140322,0,0,0,0
1.142110,0,0,0,0
1.143896,0,0,0,0
1.145618,0,0,0,0
1.147394,0,0,0,0
1.148993,0,0,0,0
1.150788,0,0,0,0
1.152654,0,0,0,0
1.154396,0,0,0,0
1.156141,0,0,0,0
1.157933,0,0,0,0
1.159741,0,0,0,0
1.161537,0,0,0,0
1.163327,0,0,0,0
1.165115,0,0,0,0
1.167052,0,0,0,0
1.168915,0,0,0,0
1.170617,0,0,0,0
1.172363,0,0,0,0
1.173959,0,0,0,0
1.175714,0,0,0,0
1.177522,0,0,0,0
1.179341,0,0,0,0
1.181235,0,0,0,0
1.183002,0,0,0,0
1.184854,0,0,0,0
1.186558,0,0,0,0
1.188104,0,0,0,0
1.189962,0,0,0,0
1.191603,0,0,0,0
1.193233,0,0,0,0
1.194979,0,0,0,0
1.196770,0,0,0,0
1.198498,0,0,0,0
1.200387,0,0,0,0
1.202203,0,0,0,0
1.203995,0,0,0,0
1.205788,0,0,0,0
1.207581,0,0,0,0
1.209381,0,0,0,0
1.211174,0,0,0,0
1.212785,0,0,0,0
1.214686,0,0,0,0
1.216554,0,0,0,0
1.218349,0,0,0,0
1.220143,0,0,0,0
1.221935,0,0,0,0
1.223749,0,0,0,0
1.225547,0,0,0,0
1.227338,0,0,0,0
1.229286,0,0,0,0
1.231078,0,0,0,0
1.232946,0,0,0,0
1.234651,0,0,0,0
1.236404,0,0,0,0
1.238194,0,0,0,0
1.239987,0,0,0,0
1.241863,0,0,0,0
1.243642,0,0,0,0
1.245565,0,0,0,0
1.247202,0,0,0,0
1.249009,0,0,0,0
1.250947,0,0,0,0
1.252738,0,0,0,0
1.254752,0,0,0,0
1.256442,0,0,0,0
1.258197,0,0,0,0
1.259990,0,0,0,0
1.261787,0,0,0,0
1.263579,0,0,0,0
1.265374,0,0,0,0
1.267187,0,0,0,0
1.268976,0,0,0,0
1.270776,0,0,0,0
1.272642,0,0,0,0
1.274539,0,0,0,0
1.276333,0,0,0,0
1.277948,0,0,0,0
1.279701,0,0,0,0
1.281498,0,0,0,0
1.283293,0,0,0,0
1.285082,0,0,0,0
1.286761,0,0,0,0
1.288394,0,0,0,0
1.290140,0,0,0,0
1.291932,0,0,0,0
1.293727,0,0,0,0
1.295519,0,0,0,0
1.297317,0,0,0,0
1.298931,0,0,0,0
1.300681,0,0,0,0
1.302611,0,0,0,0
1.304461,0,0,0,0
1.306096,0,0,0,0
1.307723,0,0,0,0
1.309808,0,0,0,0
1.311443,0,0,0,0
1.313369,0,0,0,0
1.314932,0,0,0,0
1.316472,0,0,0,0
1.318007,0,0,0,0
1.319550,0,0,0,0
1.321352,0,0,0,0
1.322889,0,0,0,0
1.324423,0,0,0,0
1.325960,0,0,0,0
1.327493,0,0,0,0
1.329242,0,0,0,0
1.331058,0,0,0,0
1.332849,0,0,0,0
1.334648,0,0,0,0
1.336518,0,0,0,0
1.338311,0,0,0,0
1.340104,0,0,0,0
1.341717,0,0,0,0
1.343455,0,0,0,0
1.345376,0,0,0,0
1.346990,0,0,0,0
1.348751,0,0,0,0
1.350629,0,0,0,0
1.352515,0,0,0,0
1.354305,0,0,0,0
1.356094,0,0,0,0
1.357886,0,0,0,0
1.359677,0,0,0,0
1.361470,0,0,0,0
1.363261,0,0,0,0
1.364806,0,0,0,0
1.366622,0,0,0,0
1.368360,0,0,0,0
1.369893,0,0,0,0
1.371429,0,0,0,0
1.372963,0,0,0,0
1.374801,0,0,0,0
1.376668,0,0,0,0
1.378531,0,0,0,0
1.380319,0,0,0,0
1.382111,0,0,0,0
1.383902,0,0,0,0
1.385586,0,0,0,0
1.387338,0,0,0,0
1.389277,0,0,0,0
1.391085,0,0,0,0
1.392704,0,0,0,0
1.394505,0,0,0,0
1.396314,0,0,0,0
1.398106,0,0,0,0
1.399897,0,0,0,0
1.401689,0,0,0,0
1.403279,0,0,0,0
1.405019,0,0,0,0
1.406644,0,0,0,0
1.408191,0,0,0,0
1.410018,0,0,0,0
1.411812,0,0,0,0
1.413607,0,0,0,0
1.415398,0,0,0,0
1.417009,0,0,0,0
1.418792,0,0,0,0
1.420581,0,0,0,0
1.422371,0,0,0,0
1.424147,0,0,0,0
1.425809,0,0,0,0
1.427522,0,0,0,0
1.429365,0,0,0,0
1.431187,0,0,0,0
1.432850,0,0,0,0
1.434603,0,0,0,0
1.436389,0,0,0,0
1.438197,0,0,0,0
1.439988,0,0,0,0
1.441857,0,0,0,0
1.443645,0,0,0,0
1.445437,0,0,0,0
1.447027,0,0,0,0
1.448677,0,0,0,0
1.450217,0,0,0,0
1.451956,0,0,0,0
1.453749,0,0,0,0
1.455541,0,0,0,0
1.457333,0,0,0,0
1.458947,0,0,0,0
1.460699,0,0,0,0
1.462642,0,0,0,0
1.464510,0,0,0,0
1.466302,0,0,0,0
1.468093,0,0,0,0
1.469710,0,0,0,0
1.471464,0,0,0,0
1.473263,0,0,0,0
1.475056,0,0,0,0
1.476845,0,0,0,0
1.478644,0,0,0,0
1.480530,0,0,0,0
1.482323,0,0,0,0
1.484100,0,0,0,0
1.485682,0,0,0,0
1.487432,0,0,0,0
1.489278,0,0,0,0
1.490911,0,0,0,0
1.492455,0,0,0,0
1.494201,0,0,0,0
1.495993,0,0,0,0
1.497866,0,0,0,0
1.499656,0,0,0,0
1.501468,0,0,0,0
1.503259,0,0,0,0
1.505278,0,0,0,0
1.506949,0,0,0,0
1.508487,0,0,0,0
1.510230,0,0,0,0
1.511839,0,0,0,0
1.513592,0,0,0,0
1.515382,0,0,0,0
1.517173,0,0,0,0
1.518770,0,0,0,0
1.520389,0,0,0,0
1.521944,0,0,0,0
1.523475,0,0,0,0
1.525026,0,0,0,0
1.526585,0,0,0,0
1.528114,0,0,0,0
1.529720,0,0,0,0
1.531253,0,0,0,0
1.532802,0,0,0,0
1.534489,0,0,0,0
1.536229,0,0,0,0
1.537830,0,0,0,0
1.539373,0,0,0,0
1.541114,0,0,0,0
1.542868,0,0,0,0
1.544683,0,0,0,0
1.546385,0,0,0,0
1.547981,0,0,0,0
1.549711,0,0,0,0
1.551433,0,0,0,0
1.553123,0,0,0,0
1.555018,0,0,0,0
1.556807,0,0,0,0
1.558609,0,0,0,0
1.560473,0,0,0,0
1.562265,0,0,0,0
1.564072,0,0,0,0
1.565864,0,0,0,0
1.567641,0,0,0,0
1.569513,0,0,0,0
1.571111,0,0,0,0
1.572909,0,0,0,0
1.574517,0,0,0,0
1.576264,0,0,0,0
1.577864,0,0,0,0
1.579612,0,0,0,0
1.581403,0,0,0,0
1.583194,0,0,0,0
1.585078,0,0,0,0
1.586854,0,0,0,0
1.588600,0,0,0,0
1.590388,0,0,0,0
1.592178,0,0,0,0
1.594045,0,0,0,0
1.595669,0,0,0,0
1.597403,0,0,0,0
1.599103,0,0,0,0
1.600853,0,0,0,0
1.602532,0,0,0,0
1.604293,0,0,0,0
1.605733,0,0,0,0
1.607715,0,0,0,0
1.609356,0,0,0,0
1.611195,0,0,0,0
1.612877,0,0,0,0
1.614631,0,0,0,0
1.616243,0,0,0,0
1.618023,0,0,0,0
1.619874,0,0,0,0
1.621668,0,0,0,0
1.623458,0,0,0,0
1.625255,0,0,0,0
1.627068,0,0,0,0
1.628858,0,0,0,0
1.630657,0,0,0,0
1.632525,0,0,0,0
1.634316,0,0,0,0
1.636109,0,0,0,0
1.637724,0,0,0,0
1.639477,0,0,0,0
1.641274,0,0,0,0
1.643066,0,0,0,0
1.644856,0,0,0,0
1.646652,0,0,0,0
1.648538,0,0,0,0
1.650330,0,0,0,0
1.652122,0,0,0,0
1.653917,0,0,0,0
1.655708,0,0,0,0
1.657504,0,0,0,0
1.659112,0,0,0,0
1.660857,0,0,0,0
1.662646,0,0,0,0
1.664500,0,0,0,0
1.666075,0,0,0,0
1.667899,0,0,0,0
1.669767,0,0,0,0
1.671650,0,0,0,0
1.673442,0,0,0,0
1.675232,0,0,0,0
1.677018,0,0,0,0
1.678816,0,0,0,0
1.680500,0,0,0,0
1.682248,0,0,0,0
1.684033,0,0,0,0
1.685739,0,0,0,0
1.687485,0,0,0,0
1.689426,0,0,0,0
1.691237,0,0,0,0
1.693027,0,0,0,0
1.694825,0,0,0,0
1.696692,0,0,0,0
1.698624,0,0,0,0
1.700425,0,0,0,0
1.702048,0,0,0,0
1.703657,0,0,0,0
1.705482,0,0,0,0
1.707271,0,0,0,0
1.709056,0,0,0,0
1.710829,0,0,0,0
1.712460,0,0,0,0
1.714202,0,0,0,0
