elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.214261,0,0,0,0
0.215675,0,0,0,0
0.217103,0,0,0,0
0.218667,0,0,0,0
0.220264,0,0,0,0
0.221876,0,0,0,0
0.223474,0,0,0,0
0.225071,0,0,0,0
0.226670,0,0,0,0
0.228267,0,0,0,0
0.229863,0,0,0,0
0.231462,0,0,0,0
0.232939,0,0,0,0
0.234512,0,0,0,0
0.236110,0,0,0,0
0.237705,0,0,0,0
0.239303,0,0,0,0
0.240901,0,0,0,0
0.242499,0,0,0,0
0.244115,0,0,0,0
0.245706,0,0,0,0
0.247301,0,0,0,0
0.248896,0,0,0,0
0.250494,0,0,0,0
0.252079,0,0,0,0
0.253664,0,0,0,0
0.255317,0,0,0,0
0.256819,0,0,0,0
0.258382,0,0,0,0
0.260043,0,0,0,0
0.261499,0,0,0,0
0.263066,0,0,0,0
0.264662,0,0,0,0
0.266183,0,0,0,0
0.267752,0,0,0,0
0.269345,0,0,0,0
0.270807,0,0,0,0
0.272377,0,0,0,0
0.274020,0,0,0,0
0.275620,0,0,0,0
0.277227,0,0,0,0
0.278826,0,0,0,0
0.280422,0,0,0,0
0.282066,0,0,0,0
0.283666,0,0,0,0
0.285261,0,0,0,0
0.286861,0,0,0,0
0.288472,0,0,0,0
0.290117,0,0,0,0
0.291718,0,0,0,0
0.293314,0,0,0,0
0.294912,0,0,0,0
0.296510,0,0,0,0
0.298154,0,0,0,0
0.299770,0,0,0,0
0.301365,0,0,0,0
0.302964,0,0,0,0
0.304561,0,0,0,0
0.306206,0,0,0,0
0.307793,0,0,0,0
0.309223,0,0,0,0
0.310662,0,0,0,0
0.312083,0,0,0,0
0.313544,0,0,0,0
0.314964,0,0,0,0
0.316398,0,0,0,0
0.317818,0,0,0,0
0.319256,0,0,0,0
0.320689,0,0,0,0
0.322154,0,0,0,0
0.323600,0,0,0,0
0.325160,0,0,0,0
0.326755,0,0,0,0
0.328638,0,0,0,0
0.330155,0,0,0,0
0.331630,0,0,0,0
0.333056,0,0,0,0
0.334477,0,0,0,0
0.335901,0,0,0,0
0.337325,0,0,0,0
0.338801,0,0,0,0
0.340225,0,0,0,0
0.341667,0,0,0,0
0.343230,0,0,0,0
0.344837,0,0,0,0
0.346438,0,0,0,0
0.348034,0,0,0,0
0.349628,0,0,0,0
0.351224,0,0,0,0
0.352836,0,0,0,0
0.354436,0,0,0,0
0.356033,0,0,0,0
0.357623,0,0,0,0
0.359550,0,0,0,0
0.361032,0,0,0,0
0.362510,0,0,0,0
0.363949,0,0,0,0
0.365373,0,0,0,0
0.366799,0,0,0,0
0.368217,0,0,0,0
0.369816,0,0,0,0
0.371270,0,0,0,0
0.372730,0,0,0,0
0.374466,0,0,0,0
0.375923,0,0,0,0
0.377537,0,0,0,0
0.379134,0,0,0,0
0.380729,0,0,0,0
0.382399,0,0,0,0
0.384059,0,0,0,0
0.385714,0,0,0,0
0.387309,0,0,0,0
0.388901,0,0,0,0
0.390367,0,0,0,0
0.391937,0,0,0,0
0.393581,0,0,0,0
0.395178,0,0,0,0
0.396789,0,0,0,0
0.398387,0,0,0,0
0.399983,0,0,0,0
0.401625,0,0,0,0
0.403221,0,0,0,0
0.404817,0,0,0,0
0.406575,0,0,0,0
0.408062,0,0,0,0
0.409678,0,0,0,0
0.411275,0,0,0,0
0.412873,0,0,0,0
0.414473,0,0,0,0
0.416071,0,0,0,0
0.417716,0,0,0,0
0.419327,0,0,0,0
0.420923,0,0,0,0
0.422523,0,0,0,0
0.424110,0,0,0,0
0.425745,0,0,0,0
0.427200,0,0,0,0
0.428797,0,0,0,0
0.430270,0,0,0,0
0.431763,0,0,0,0
0.433617,0,0,0,0
0.435152,0,0,0,0
0.436815,0,0,0,0
0.438490,0,0,0,0
0.440167,0,0,0,0
0.441771,0,0,0,0
0.443418,0,0,0,0
0.445095,0,0,0,0
0.446775,0,0,0,0
0.448452,0,0,0,0
0.450188,0,0,0,0
