elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.214370,0,0,0,0
0.215694,0,0,0,0
0.217012,0,0,0,0
0.223553,0,0,0,0
0.228702,0,0,0,0
0.230043,0,0,0,0
0.231377,0,0,0,0
0.232780,0,0,0,0
0.234124,0,0,0,0
0.235491,0,0,0,0
0.236891,0,0,0,0
0.238244,0,0,0,0
0.239593,0,0,0,0
0.240928,0,0,0,0
0.242267,0,0,0,0
0.243598,0,0,0,0
0.245040,0,0,0,0
0.246366,0,0,0,0
0.247689,0,0,0,0
0.249010,0,0,0,0
0.250341,0,0,0,0
0.251682,0,0,0,0
0.253019,0,0,0,0
0.254354,0,0,0,0
0.255681,0,0,0,0
0.257028,0,0,0,0
0.258373,0,0,0,0
0.259708,0,0,0,0
0.263546,0,0,0,0
0.264873,0,0,0,0
0.266198,0,0,0,0
0.267620,0,0,0,0
0.268938,0,0,0,0
0.270270,0,0,0,0
0.271609,0,0,0,0
0.272933,0,0,0,0
0.274252,0,0,0,0
0.275589,0,0,0,0
0.277041,0,0,0,0
0.278381,0,0,0,0
0.279709,0,0,0,0
0.281043,0,0,0,0
0.287547,0,0,0,0
0.288897,0,0,0,0
0.290229,0,0,0,0
0.291587,0,0,0,0
0.292936,0,0,0,0
0.294284,0,0,0,0
0.295625,0,0,0,0
0.296964,0,0,0,0
0.298296,0,0,0,0
0.299622,0,0,0,0
0.300957,0,0,0,0
0.302289,0,0,0,0
0.307603,0,0,0,0
0.308928,0,0,0,0
0.310271,0,0,0,0
0.311595,0,0,0,0
0.312926,0,0,0,0
0.314256,0,0,0,0
0.315590,0,0,0,0
0.316915,0,0,0,0
0.318263,0,0,0,0
0.319557,0,0,0,0
0.320878,0,0,0,0
0.322199,0,0,0,0
0.323598,0,0,0,0
0.327554,0,0,0,0
0.328883,0,0,0,0
0.330201,0,0,0,0
0.331588,0,0,0,0
0.332910,0,0,0,0
0.334231,0,0,0,0
0.339585,0,0,0,0
0.340912,0,0,0,0
0.342243,0,0,0,0
0.343551,0,0,0,0
0.344884,0,0,0,0
0.346219,0,0,0,0
0.347590,0,0,0,0
0.348921,0,0,0,0
0.350250,0,0,0,0
0.351598,0,0,0,0
0.352940,0,0,0,0
0.354276,0,0,0,0
0.355610,0,0,0,0
0.356958,0,0,0,0
0.358286,0,0,0,0
0.359608,0,0,0,0
0.360931,0,0,0,0
0.362263,0,0,0,0
0.366276,0,0,0,0
0.371600,0,0,0,0
0.372934,0,0,0,0
0.374262,0,0,0,0
0.375553,0,0,0,0
0.376901,0,0,0,0
0.378254,0,0,0,0
0.379609,0,0,0,0
0.380934,0,0,0,0
0.382256,0,0,0,0
0.383547,0,0,0,0
0.384874,0,0,0,0
0.386197,0,0,0,0
0.387615,0,0,0,0
0.391590,0,0,0,0
0.392920,0,0,0,0
0.394239,0,0,0,0
0.395591,0,0,0,0
0.397045,0,0,0,0
0.398380,0,0,0,0
0.403602,0,0,0,0
0.404965,0,0,0,0
0.406294,0,0,0,0
0.407617,0,0,0,0
0.408955,0,0,0,0
0.410325,0,0,0,0
0.411654,0,0,0,0
0.413002,0,0,0,0
0.414337,0,0,0,0
0.415671,0,0,0,0
0.417007,0,0,0,0
0.418360,0,0,0,0
0.419704,0,0,0,0
0.421052,0,0,0,0
0.422385,0,0,0,0
0.423722,0,0,0,0
0.425048,0,0,0,0
0.426375,0,0,0,0
0.427704,0,0,0,0
0.429032,0,0,0,0
0.430362,0,0,0,0
0.431695,0,0,0,0
0.433027,0,0,0,0
0.434363,0,0,0,0
0.435694,0,0,0,0
0.437036,0,0,0,0
0.438360,0,0,0,0
0.439687,0,0,0,0
0.441012,0,0,0,0
0.442345,0,0,0,0
0.443670,0,0,0,0
0.444995,0,0,0,0
0.446318,0,0,0,0
0.447641,0,0,0,0
0.448976,0,0,0,0
0.450303,0,0,0,0
0.451640,0,0,0,0
0.452971,0,0,0,0
0.454297,0,0,0,0
0.455637,0,0,0,0
0.456983,0,0,0,0
0.458313,0,0,0,0
0.459683,0,0,0,0
0.461028,0,0,0,0
0.462479,0,0,0,0
0.463885,0,0,0,0
0.465354,0,0,0,0
0.466723,0,0,0,0
0.468094,0,0,0,0
0.469435,0,0,0,0
0.470771,0,0,0,0
0.472102,0,0,0,0
0.473424,0,0,0,0
0.474802,0,0,0,0
0.476136,0,0,0,0
0.477468,0,0,0,0
0.478797,0,0,0,0
0.480134,0,0,0,0
0.481464,0,0,0,0
0.482819,0,0,0,0
0.484153,0,0,0,0
0.485503,0,0,0,0
0.486829,0,0,0,0
0.488157,0,0,0,0
0.489492,0,0,0,0
0.490852,0,0,0,0
0.492173,0,0,0,0
0.493502,0,0,0,0
0.494840,0,0,0,0
0.496185,0,0,0,0
0.497512,0,0,0,0
0.498860,0,0,0,0
0.500181,0,0,0,0
0.501502,0,0,0,0
0.502823,0,0,0,0
0.504145,0,0,0,0
0.505464,0,0,0,0
0.506822,0,0,0,0
0.508164,0,0,0,0
0.509483,0,0,0,0
0.510809,0,0,0,0
0.512128,0,0,0,0
0.513455,0,0,0,0
0.514958,0,0,0,0
0.516287,0,0,0,0
0.517613,0,0,0,0
0.518950,0,0,0,0
0.520274,0,0,0,0
0.521595,0,0,0,0
0.523406,0,0,0,0
0.524799,0,0,0,0
0.526146,0,0,0,0
0.527485,0,0,0,0
0.528880,0,0,0,0
0.530206,0,0,0,0
0.531612,0,0,0,0
0.532943,0,0,0,0
0.539614,0,0,0,0
0.540971,0,0,0,0
0.542310,0,0,0,0
0.543657,0,0,0,0
0.545116,0,0,0,0
0.546447,0,0,0,0
0.547830,0,0,0,0
0.549168,0,0,0,0
0.550506,0,0,0,0
0.551850,0,0,0,0
0.553186,0,0,0,0
0.554513,0,0,0,0
0.555861,0,0,0,0
0.557182,0,0,0,0
0.558503,0,0,0,0
0.559825,0,0,0,0
0.561146,0,0,0,0
0.562473,0,0,0,0
0.563818,0,0,0,0
0.565135,0,0,0,0
0.566568,0,0,0,0
0.567900,0,0,0,0
0.569233,0,0,0,0
0.570561,0,0,0,0
0.571933,0,0,0,0
0.573385,0,0,0,0
0.574729,0,0,0,0
0.576223,0,0,0,0
0.577556,0,0,0,0
0.578937,0,0,0,0
