elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
0.286965,0,0,0,0
0.288295,0,0,0,0
0.289616,0,0,0,0
0.290979,0,0,0,0
0.292307,0,0,0,0
0.293743,0,0,0,0
0.295066,0,0,0,0
0.296390,0,0,0,0
0.297716,0,0,0,0
0.299093,0,0,0,0
0.300419,0,0,0,0
0.301748,0,0,0,0
0.303088,0,0,0,0
0.304412,0,0,0,0
0.308726,0,0,0,0
0.310058,0,0,0,0
0.311396,0,0,0,0
0.312796,0,0,0,0
0.314216,0,0,0,0
0.315560,0,0,0,0
0.316930,0,0,0,0
0.318260,0,0,0,0
0.319586,0,0,0,0
0.320926,0,0,0,0
0.322259,0,0,0,0
0.323652,0,0,0,0
0.325006,0,0,0,0
0.326339,0,0,0,0
0.327668,0,0,0,0
0.328994,0,0,0,0
0.330317,0,0,0,0
0.331642,0,0,0,0
0.332965,0,0,0,0
0.334289,0,0,0,0
0.335585,0,0,0,0
0.336913,0,0,0,0
0.338249,0,0,0,0
0.339667,0,0,0,0
0.340990,0,0,0,0
0.342309,0,0,0,0
0.343628,0,0,0,0
0.345080,0,0,0,0
0.346410,0,0,0,0
0.347735,0,0,0,0
0.349074,0,0,0,0
0.352688,0,0,0,0
0.354025,0,0,0,0
0.355425,0,0,0,0
0.356782,0,0,0,0
0.358115,0,0,0,0
0.359460,0,0,0,0
0.360865,0,0,0,0
0.362270,0,0,0,0
0.363617,0,0,0,0
0.364974,0,0,0,0
0.366317,0,0,0,0
0.367695,0,0,0,0
0.369033,0,0,0,0
0.370344,0,0,0,0
0.371793,0,0,0,0
0.373124,0,0,0,0
0.374456,0,0,0,0
0.375782,0,0,0,0
0.377130,0,0,0,0
0.378477,0,0,0,0
0.379851,0,0,0,0
0.381193,0,0,0,0
0.382522,0,0,0,0
0.383849,0,0,0,0
0.385192,0,0,0,0
0.386519,0,0,0,0
0.387889,0,0,0,0
0.389216,0,0,0,0
0.390536,0,0,0,0
0.391855,0,0,0,0
0.393174,0,0,0,0
0.394491,0,0,0,0
0.395839,0,0,0,0
0.397181,0,0,0,0
0.398513,0,0,0,0
0.399845,0,0,0,0
0.401176,0,0,0,0
0.402503,0,0,0,0
0.403880,0,0,0,0
0.405210,0,0,0,0
0.406537,0,0,0,0
0.407886,0,0,0,0
0.409215,0,0,0,0
0.410553,0,0,0,0
0.411899,0,0,0,0
0.413236,0,0,0,0
0.414565,0,0,0,0
0.415898,0,0,0,0
0.417235,0,0,0,0
0.418563,0,0,0,0
0.419952,0,0,0,0
0.421295,0,0,0,0
0.422625,0,0,0,0
0.423970,0,0,0,0
0.425522,0,0,0,0
0.426887,0,0,0,0
0.428227,0,0,0,0
0.432694,0,0,0,0
0.434023,0,0,0,0
0.435380,0,0,0,0
0.436711,0,0,0,0
0.438043,0,0,0,0
0.439370,0,0,0,0
0.440800,0,0,0,0
0.442131,0,0,0,0
0.443522,0,0,0,0
0.444923,0,0,0,0
0.446246,0,0,0,0
0.447602,0,0,0,0
0.448922,0,0,0,0
0.450241,0,0,0,0
0.451632,0,0,0,0
0.452951,0,0,0,0
0.454282,0,0,0,0
0.455583,0,0,0,0
0.456937,0,0,0,0
0.458282,0,0,0,0
0.459628,0,0,0,0
0.461073,0,0,0,0
0.462418,0,0,0,0
0.463755,0,0,0,0
0.465094,0,0,0,0
0.466534,0,0,0,0
0.467882,0,0,0,0
0.469338,0,0,0,0
0.470682,0,0,0,0
0.472010,0,0,0,0
0.473344,0,0,0,0
0.474673,0,0,0,0
0.476045,0,0,0,0
0.479582,0,0,0,0
0.480909,0,0,0,0
0.482262,0,0,0,0
0.483628,0,0,0,0
0.484949,0,0,0,0
0.486419,0,0,0,0
0.487874,0,0,0,0
0.489195,0,0,0,0
0.490527,0,0,0,0
0.491904,0,0,0,0
0.493345,0,0,0,0
0.494686,0,0,0,0
0.496031,0,0,0,0
0.497379,0,0,0,0
0.498744,0,0,0,0
0.500066,0,0,0,0
0.501500,0,0,0,0
0.502821,0,0,0,0
0.504151,0,0,0,0
0.505585,0,0,0,0
0.506932,0,0,0,0
0.508261,0,0,0,0
0.509585,0,0,0,0
0.510905,0,0,0,0
0.512223,0,0,0,0
0.513657,0,0,0,0
0.515115,0,0,0,0
0.516551,0,0,0,0
0.517871,0,0,0,0
0.519307,0,0,0,0
0.520770,0,0,0,0
0.522100,0,0,0,0
0.523462,0,0,0,0
0.524814,0,0,0,0
0.526140,0,0,0,0
0.527475,0,0,0,0
0.528821,0,0,0,0
0.530152,0,0,0,0
0.531517,0,0,0,0
0.532852,0,0,0,0
0.534186,0,0,0,0
0.535507,0,0,0,0
0.536918,0,0,0,0
0.538253,0,0,0,0
0.539753,0,0,0,0
0.541295,0,0,0,0
0.542798,0,0,0,0
0.544125,0,0,0,0
0.545580,0,0,0,0
0.546973,0,0,0,0
0.548299,0,0,0,0
0.549637,0,0,0,0
0.550974,0,0,0,0
0.552318,0,0,0,0
0.553658,0,0,0,0
0.555043,0,0,0,0
0.556375,0,0,0,0
0.557714,0,0,0,0
0.559042,0,0,0,0
0.560372,0,0,0,0
0.561695,0,0,0,0
0.563143,0,0,0,0
0.564468,0,0,0,0
0.565793,0,0,0,0
0.567117,0,0,0,0
0.568440,0,0,0,0
0.569764,0,0,0,0
0.571119,0,0,0,0
0.572574,0,0,0,0
0.573902,0,0,0,0
0.575222,0,0,0,0
0.576542,0,0,0,0
0.577981,0,0,0,0
0.579366,0,0,0,0
0.580713,0,0,0,0
0.582041,0,0,0,0
0.583384,0,0,0,0
0.584804,0,0,0,0
0.586133,0,0,0,0
0.587508,0,0,0,0
0.588912,0,0,0,0
0.590236,0,0,0,0
0.591593,0,0,0,0
0.592920,0,0,0,0
0.594250,0,0,0,0
0.595624,0,0,0,0
0.597050,0,0,0,0
0.598392,0,0,0,0
0.599728,0,0,0,0
0.601072,0,0,0,0
0.602401,0,0,0,0
0.603739,0,0,0,0
0.605069,0,0,0,0
0.606403,0,0,0,0
0.607738,0,0,0,0
0.609078,0,0,0,0
0.610535,0,0,0,0
0.611922,0,0,0,0
0.613269,0,0,0,0
0.614605,0,0,0,0
0.615944,0,0,0,0
0.617272,0,0,0,0
0.618736,0,0,0,0
0.620172,0,0,0,0
0.621495,0,0,0,0
0.622815,0,0,0,0
0.624135,0,0,0,0
0.625455,0,0,0,0
0.626798,0,0,0,0
0.628127,0,0,0,0
0.629451,0,0,0,0
0.630771,0,0,0,0
0.632212,0,0,0,0
0.633544,0,0,0,0
0.634885,0,0,0,0
0.636322,0,0,0,0
0.637770,0,0,0,0
0.639217,0,0,0,0
0.640555,0,0,0,0
0.642000,0,0,0,0
0.643345,0,0,0,0
0.644719,0,0,0,0
0.646050,0,0,0,0
0.647376,0,0,0,0
0.648800,0,0,0,0
0.650138,0,0,0,0
0.651484,0,0,0,0
0.652915,0,0,0,0
0.654266,0,0,0,0
0.655806,0,0,0,0
0.657144,0,0,0,0
0.658489,0,0,0,0
0.659858,0,0,0,0
0.661322,0,0,0,0
0.662673,0,0,0,0
0.664014,0,0,0,0
0.665357,0,0,0,0
0.666690,0,0,0,0
0.668027,0,0,0,0
0.669359,0,0,0,0
0.670684,0,0,0,0
0.672017,0,0,0,0
0.673345,0,0,0,0
0.674672,0,0,0,0
0.676025,0,0,0,0
0.677353,0,0,0,0
0.678675,0,0,0,0
0.680004,0,0,0,0
0.681321,0,0,0,0
0.682647,0,0,0,0
0.683992,0,0,0,0
0.685311,0,0,0,0
0.686632,0,0,0,0
0.687952,0,0,0,0
0.692747,0,0,0,0
0.694085,0,0,0,0
0.695537,0,0,0,0
0.696992,0,0,0,0
0.698468,0,0,0,0
0.699826,0,0,0,0
0.701277,0,0,0,0
0.702604,0,0,0,0
0.703935,0,0,0,0
0.705387,0,0,0,0
0.706853,0,0,0,0
0.708348,0,0,0,0
0.709715,0,0,0,0
0.711058,0,0,0,0
0.712504,0,0,0,0
0.713843,0,0,0,0
0.715251,0,0,0,0
0.719674,0,0,0,0
0.721010,0,0,0,0
0.722537,0,0,0,0
0.723925,0,0,0,0
0.725271,0,0,0,0
0.726609,0,0,0,0
0.728052,0,0,0,0
0.729384,0,0,0,0
0.730790,0,0,0,0
0.732149,0,0,0,0
