elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.205859,0,0,0,0
0.207420,0,0,0,0
0.208970,0,0,0,0
0.210519,0,0,0,0
0.212070,0,0,0,0
0.213664,0,0,0,0
0.215211,0,0,0,0
0.216761,0,0,0,0
0.218200,0,0,0,0
0.219720,0,0,0,0
0.221274,0,0,0,0
0.222822,0,0,0,0
0.224372,0,0,0,0
0.225921,0,0,0,0
0.227469,0,0,0,0
0.228905,0,0,0,0
0.230425,0,0,0,0
0.231976,0,0,0,0
0.233526,0,0,0,0
0.235074,0,0,0,0
0.236625,0,0,0,0
0.238175,0,0,0,0
0.239738,0,0,0,0
0.241292,0,0,0,0
0.242839,0,0,0,0
0.244434,0,0,0,0
0.245983,0,0,0,0
0.247531,0,0,0,0
0.249137,0,0,0,0
0.250698,0,0,0,0
0.252248,0,0,0,0
0.253799,0,0,0,0
0.255346,0,0,0,0
0.256894,0,0,0,0
0.258443,0,0,0,0
0.259994,0,0,0,0
0.261601,0,0,0,0
0.263149,0,0,0,0
0.264700,0,0,0,0
0.266249,0,0,0,0
0.267797,0,0,0,0
0.269351,0,0,0,0
0.270898,0,0,0,0
0.272462,0,0,0,0
0.274002,0,0,0,0
0.275541,0,0,0,0
0.277052,0,0,0,0
0.278444,0,0,0,0
0.279825,0,0,0,0
0.281238,0,0,0,0
0.282678,0,0,0,0
0.284090,0,0,0,0
0.285474,0,0,0,0
0.286857,0,0,0,0
0.288370,0,0,0,0
0.289918,0,0,0,0
0.291464,0,0,0,0
0.292940,0,0,0,0
0.294458,0,0,0,0
0.296007,0,0,0,0
0.297555,0,0,0,0
0.299100,0,0,0,0
0.300650,0,0,0,0
0.302198,0,0,0,0
0.303759,0,0,0,0
0.305310,0,0,0,0
0.306856,0,0,0,0
0.308448,0,0,0,0
0.309995,0,0,0,0
0.311540,0,0,0,0
0.313029,0,0,0,0
0.314437,0,0,0,0
0.315957,0,0,0,0
0.318467,0,0,0,0
0.320016,0,0,0,0
0.321564,0,0,0,0
0.323108,0,0,0,0
0.324718,0,0,0,0
0.326269,0,0,0,0
0.327817,0,0,0,0
0.329284,0,0,0,0
0.330676,0,0,0,0
0.332194,0,0,0,0
0.333744,0,0,0,0
0.335304,0,0,0,0
0.336852,0,0,0,0
0.338402,0,0,0,0
0.339829,0,0,0,0
0.341352,0,0,0,0
0.342863,0,0,0,0
0.344407,0,0,0,0
0.346014,0,0,0,0
0.347562,0,0,0,0
0.349676,0,0,0,0
0.351540,0,0,0,0
0.353957,0,0,0,0
0.355352,0,0,0,0
0.356798,0,0,0,0
0.358188,0,0,0,0
0.359575,0,0,0,0
0.361134,0,0,0,0
0.362683,0,0,0,0
0.364233,0,0,0,0
0.365773,0,0,0,0
0.367326,0,0,0,0
0.368746,0,0,0,0
0.370267,0,0,0,0
0.371815,0,0,0,0
0.373435,0,0,0,0
0.374983,0,0,0,0
0.376531,0,0,0,0
0.378094,0,0,0,0
0.379642,0,0,0,0
0.381196,0,0,0,0
0.382744,0,0,0,0
0.384293,0,0,0,0
0.385842,0,0,0,0
0.387390,0,0,0,0
0.388995,0,0,0,0
0.390546,0,0,0,0
0.392098,0,0,0,0
0.393647,0,0,0,0
0.395196,0,0,0,0
0.396746,0,0,0,0
0.398294,0,0,0,0
0.399922,0,0,0,0
0.401544,0,0,0,0
0.403083,0,0,0,0
0.404507,0,0,0,0
0.405901,0,0,0,0
0.407283,0,0,0,0
0.408669,0,0,0,0
0.410065,0,0,0,0
0.411450,0,0,0,0
0.412838,0,0,0,0
0.414352,0,0,0,0
0.415901,0,0,0,0
0.417451,0,0,0,0
0.418996,0,0,0,0
0.420602,0,0,0,0
0.422150,0,0,0,0
0.423697,0,0,0,0
0.425267,0,0,0,0
0.426812,0,0,0,0
0.428361,0,0,0,0
0.429909,0,0,0,0
0.431468,0,0,0,0
0.433016,0,0,0,0
0.434563,0,0,0,0
0.436114,0,0,0,0
0.437707,0,0,0,0
0.439253,0,0,0,0
0.440800,0,0,0,0
0.442361,0,0,0,0
0.443911,0,0,0,0
0.445459,0,0,0,0
0.447005,0,0,0,0
0.448555,0,0,0,0
0.450104,0,0,0,0
0.451650,0,0,0,0
0.453218,0,0,0,0
0.454645,0,0,0,0
0.456144,0,0,0,0
0.457920,0,0,0,0
0.459986,0,0,0,0
0.463231,0,0,0,0
0.464727,0,0,0,0
0.466206,0,0,0,0
0.467606,0,0,0,0
0.469102,0,0,0,0
0.470523,0,0,0,0
0.471973,0,0,0,0
0.473378,0,0,0,0
0.474888,0,0,0,0
0.476150,12874,12124,171,13657
0.477579,0,0,0,0
0.479105,0,0,0,0
0.480631,0,0,0,0
0.482027,7367,7170,59,8740
0.483315,14934,13508,137,13471
0.484612,0,0,0,0
0.486120,0,0,0,0
0.487424,0,0,0,0
0.488810,9582,8565,32,8565
0.490242,0,0,0,0
0.491591,0,0,0,0
0.492987,11824,11425,131,12958
0.494164,859,688,33,688
0.495582,0,0,0,0
0.496995,0,0,0,0
0.498305,0,0,0,0
0.499602,0,0,0,0
0.501014,0,0,0,0
0.502398,0,0,0,0
0.503836,0,0,0,0
0.505416,0,0,0,0
0.506622,9582,8565,32,8565
0.507961,0,0,0,0
0.509305,0,0,0,0
0.510643,0,0,0,0
0.511980,0,0,0,0
0.513367,0,0,0,0
