elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.190949,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.192557,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.194163,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.195768,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.197375,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.198982,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.200591,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.202254,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.203860,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.205467,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.207074,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.208682,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.210278,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.211915,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.213518,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.214920,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.216316,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.217713,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.219150,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.220543,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.221936,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.223340,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.224733,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.226124,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.227515,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.228904,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.230294,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.231684,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.233073,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.234522,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.235883,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.237243,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.238603,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.239963,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.241353,0,0,36,1,251,0,0,0,0,0,0,0,0,0
