elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.096673,0,0,0,0,0,0,0,0,0,0,453064,452877,0,0
0.098082,0,0,0,0,0,0,0,0,0,0,454894,454900,0,0
0.099535,0,0,0,0,0,0,0,0,0,0,506524,506153,0,0
0.101028,0,0,0,0,0,0,0,0,0,0,439327,439129,0,0
0.102418,0,0,0,0,0,0,0,0,0,0,449582,449410,0,0
0.103805,0,0,0,0,0,0,0,0,0,0,450831,450631,0,0
0.105196,0,0,0,0,0,0,0,0,0,0,452566,452379,0,0
0.106644,0,0,0,0,0,0,0,0,0,0,449231,449046,0,0
0.108038,0,0,0,0,0,0,0,0,0,0,451614,451423,0,0
0.109443,0,0,0,0,0,0,0,0,0,0,451585,451403,0,0
0.110842,0,0,0,0,0,0,0,0,0,0,452153,451969,0,0
0.112235,0,0,0,0,0,0,0,0,0,0,506575,506387,0,0
0.113671,0,0,0,0,0,0,0,0,0,0,453091,452899,0,0
0.115064,0,0,0,0,0,0,0,0,0,0,453711,453528,0,0
0.116457,0,0,0,0,0,0,0,0,0,0,455857,456185,0,0
0.117856,0,0,0,0,0,0,0,0,0,0,453628,452926,0,0
0.119248,0,0,0,0,0,0,0,0,0,0,452177,451988,0,0
0.120652,0,0,0,0,0,0,0,0,0,0,453884,453713,0,0
0.122046,0,0,0,0,0,0,0,0,0,0,460649,460405,0,0
0.123628,0,0,0,0,0,0,0,0,0,0,464539,464343,0,0
0.125109,0,0,0,0,0,0,0,0,0,0,453928,453741,0,0
0.126685,0,0,0,0,0,0,0,0,0,0,466369,466198,0,0
0.128290,0,0,0,0,0,0,0,0,0,0,479515,479312,0,0
0.129896,0,0,0,0,0,0,0,0,0,0,459607,459449,0,0
0.131504,0,0,0,0,0,0,0,0,0,0,461954,461751,0,0
0.133017,0,0,0,0,0,0,0,0,0,0,450504,450307,0,0
0.134591,0,0,0,0,0,0,0,0,0,0,463872,463701,0,0
0.136196,0,0,0,0,0,0,0,0,0,0,463893,523551,0,0
0.137857,0,0,0,0,0,0,0,0,0,0,568471,508426,0,0
0.139377,0,0,0,0,0,0,0,0,0,0,454684,454513,0,0
0.140955,0,0,0,0,0,0,0,0,0,0,466657,466452,0,0
0.142577,0,0,0,0,0,0,0,0,0,0,465688,465518,0,0
0.144180,0,0,0,0,0,0,0,0,0,0,465711,465526,0,0
0.145834,0,0,0,0,0,0,0,0,0,0,515957,515754,0,0
0.147439,0,0,0,0,0,0,0,0,0,0,463158,462972,0,0
0.149000,0,0,0,0,0,0,0,0,0,0,510637,510519,0,0
0.150646,0,0,0,0,0,0,0,0,0,0,467651,467380,0,0
0.152251,0,0,0,0,0,0,0,0,0,0,523296,523143,0,0
0.153926,0,0,0,0,0,0,0,0,0,0,516221,516029,0,0
0.155577,0,0,0,0,0,0,0,0,0,0,464340,464157,0,0
0.157186,0,0,0,0,0,0,0,0,0,0,466228,466042,0,0
0.158793,0,0,0,0,0,0,0,0,0,0,465343,465142,0,0
0.160399,0,0,0,0,0,0,0,0,0,0,482424,482234,0,0
0.162010,0,0,0,0,0,0,0,0,0,0,466228,466044,0,0
0.163615,0,0,0,0,0,0,0,0,0,0,476898,476728,0,0
0.165237,0,0,0,0,0,0,0,0,0,0,466494,466301,0,0
0.166843,0,0,0,0,0,0,0,0,0,0,467028,466831,0,0
0.168449,0,0,0,0,0,0,0,0,0,0,473312,473142,0,0
0.170061,0,0,0,0,0,0,0,0,0,0,467163,466963,0,0
0.171667,0,0,0,0,0,0,0,0,0,0,465912,465740,0,0
0.173275,0,0,0,0,0,0,0,0,0,0,465682,465497,0,0
0.174882,0,0,0,0,0,0,0,0,0,0,463383,463180,0,0
0.176498,0,0,0,0,0,0,0,0,0,0,511087,510911,0,0
0.178146,0,0,0,0,0,0,0,0,0,0,467844,467660,0,0
0.179752,0,0,0,0,0,0,0,0,0,0,466415,466200,0,0
0.181361,0,0,0,0,0,0,0,0,0,0,464982,464826,0,0
0.182968,0,0,0,0,0,0,0,0,0,0,466984,466867,0,0
0.184579,0,0,0,0,0,0,0,0,0,0,465631,465360,0,0
0.186195,0,0,0,0,0,0,0,0,0,0,468878,468707,0,0
0.187689,0,0,0,0,0,0,0,0,0,0,450867,450725,0,0
0.189132,0,0,0,0,0,0,0,0,0,0,437904,437659,0,0
0.190568,0,0,0,0,0,0,0,0,0,0,431857,431671,0,0
0.192000,0,0,0,0,0,0,0,0,0,0,425762,425585,0,0
0.193434,0,0,0,0,0,0,0,0,0,0,430063,429867,0,0
0.194866,0,0,0,0,0,0,0,0,0,0,426374,426200,0,0
0.196298,0,0,0,0,0,0,0,0,0,0,468552,468339,0,0
0.197780,0,0,0,0,0,0,0,0,0,0,444518,444341,0,0
0.199216,0,0,0,0,0,0,0,0,0,0,431471,431315,0,0
0.200654,0,0,0,0,0,0,0,0,0,0,458757,458555,0,0
0.202142,0,0,0,0,0,0,0,0,0,0,427115,426534,0,0
0.203546,0,0,0,0,0,0,0,0,0,0,427795,427610,0,0
0.204950,0,0,0,0,0,0,0,0,0,0,427738,427551,0,0
0.206354,0,0,0,0,0,0,0,0,0,0,430340,430169,0,0
0.207757,0,0,0,0,0,0,0,0,0,0,439364,439161,0,0
0.209167,0,0,0,0,0,0,0,0,0,0,428468,428283,0,0
0.210572,0,0,0,0,0,0,0,0,0,0,430680,430534,0,0
0.211975,0,0,0,0,0,0,0,0,0,0,428917,428730,0,0
0.213379,0,0,0,0,0,0,0,0,0,0,429040,428812,0,0
0.214781,0,0,0,0,0,0,0,0,0,0,428237,428067,0,0
0.216183,0,0,0,0,0,0,0,0,0,0,427965,427763,0,0
