elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.170257,0,1651,477632,137,0,0,0,0,0,0,86,0,0,0
0.171875,0,1658,476681,138,0,0,0,0,0,0,88,0,0,0
0.173479,0,1652,480189,137,0,0,0,0,0,0,90,0,0,0
0.175206,0,1654,492708,137,0,0,0,0,0,0,87,0,0,0
0.176815,0,1633,491462,137,0,0,0,0,0,0,85,0,0,0
0.178422,0,1649,479927,137,0,0,0,0,0,0,89,0,0,0
0.180032,0,1657,489698,137,0,0,0,0,0,0,90,0,0,0
0.181639,0,1651,479069,137,0,0,0,0,0,0,85,0,0,0
0.183258,0,1645,478655,137,0,0,0,0,0,0,89,0,0,0
0.184954,0,1656,547226,136,0,0,0,0,0,0,85,0,0,0
0.186560,0,1654,480467,137,0,0,0,0,0,0,89,0,0,0
0.188170,0,1657,482286,136,0,0,0,0,0,0,89,0,0,0
0.189779,0,1649,479856,137,0,0,0,0,0,0,87,0,0,0
0.191384,0,1756,486218,137,0,0,0,0,0,0,88,0,0,0
0.192994,0,1807,528822,137,0,0,0,0,0,0,85,0,0,0
0.194657,0,1657,479620,137,0,0,0,0,0,0,90,0,0,0
0.196267,0,1654,480171,137,0,0,0,0,0,0,89,0,0,0
0.197875,0,1708,481998,136,0,0,0,0,0,0,90,0,0,0
0.199385,0,1652,486741,138,0,0,0,0,0,0,86,0,0,0
0.200838,0,1648,481292,137,0,0,0,0,0,0,87,0,0,0
0.202236,0,1662,465466,137,0,0,0,0,0,0,90,0,0,0
0.203632,0,1662,472491,137,0,0,0,0,0,0,90,0,0,0
0.205042,0,1648,466738,137,0,0,0,0,0,0,87,0,0,0
0.206434,0,1656,466921,138,0,0,0,0,0,0,89,0,0,0
0.207873,0,1655,466348,137,0,0,0,0,0,0,88,0,0,0
0.209310,0,1645,452470,138,0,0,0,0,0,0,84,0,0,0
0.210710,0,1656,472992,137,0,0,0,0,0,0,85,0,0,0
0.212148,0,1648,444924,137,0,0,0,0,0,0,90,0,0,0
0.213534,0,1653,460131,137,0,0,0,0,0,0,89,0,0,0
0.214917,0,1656,461950,137,0,0,0,0,0,0,90,0,0,0
0.216362,0,1649,458331,138,0,0,0,0,0,0,86,0,0,0
0.217747,0,1656,469967,137,0,0,0,0,0,0,86,0,0,0
0.219132,0,1652,458218,137,0,0,0,0,0,0,90,0,0,0
0.220563,0,1655,461932,138,0,0,0,0,0,0,87,0,0,0
0.221952,0,1652,464517,137,0,0,0,0,0,0,89,0,0,0
0.223337,0,1705,528696,138,0,0,0,0,0,0,85,0,0,0
0.224793,0,1649,469414,136,0,0,0,0,0,0,89,0,0,0
0.226180,0,1840,448985,138,0,0,0,0,0,0,85,0,0,0
0.227549,0,1658,445429,137,0,0,0,0,0,0,87,0,0,0
0.228911,0,1656,440103,138,0,0,0,0,0,0,88,0,0,0
0.230270,0,1654,439383,138,0,0,0,0,0,0,86,0,0,0
0.231629,0,1658,444704,137,0,0,0,0,0,0,87,0,0,0
0.232997,0,1662,447839,138,0,0,0,0,0,0,89,0,0,0
0.234357,0,1754,441832,138,0,0,0,0,0,0,85,0,0,0
0.235719,0,1661,444757,137,0,0,0,0,0,0,88,0,0,0
0.237080,0,1799,441388,138,0,0,0,0,0,0,88,0,0,0
0.238447,0,1656,447360,136,0,0,0,0,0,0,90,0,0,0
0.239811,0,1657,440774,138,0,0,0,0,0,0,85,0,0,0
0.241207,0,1698,532768,137,0,0,0,0,0,0,86,0,0,0
0.242612,0,1656,518969,137,0,0,0,0,0,0,88,0,0,0
0.244011,0,1709,517750,141,0,0,0,0,0,0,88,0,0,0
0.245411,0,1768,518647,136,0,0,0,0,0,0,86,0,0,0
0.246810,0,1661,517743,137,0,0,0,0,0,0,89,0,0,0
0.248210,0,1648,518012,137,0,0,0,0,0,0,90,0,0,0
0.249613,0,1704,519728,139,0,0,0,0,0,0,89,0,0,0
0.251022,0,1644,524054,138,0,0,0,0,0,0,88,0,0,0
0.252427,0,1749,517577,137,0,0,0,0,0,0,89,0,0,0
0.253876,0,1653,519922,191,0,0,0,0,0,0,86,0,0,0
0.255337,0,1650,529992,136,0,0,0,0,0,0,85,0,0,0
0.256803,0,1643,538473,138,0,0,0,0,0,0,85,0,0,0
0.258270,0,1644,517877,138,0,0,0,0,0,0,86,0,0,0
0.259852,0,1665,469583,137,0,0,0,0,0,0,87,0,0,0
0.261291,0,1652,473976,137,0,0,0,0,0,0,89,0,0,0
0.262736,0,1645,481135,138,0,0,0,0,0,0,89,0,0,0
0.264137,0,1659,464095,137,0,0,0,0,0,0,87,0,0,0
0.265537,0,1694,476419,136,0,0,0,0,0,0,88,0,0,0
0.266951,0,12973,754297,139,140,0,0,0,0,111,145,0,0,0
0.268471,0,1769,475994,139,0,0,0,0,0,0,85,0,0,0
0.269984,0,1653,482069,143,0,0,0,0,0,0,86,0,0,0
0.271403,0,1744,474305,138,0,0,0,0,0,0,87,0,0,0
0.272808,0,1644,469263,138,0,0,0,0,0,0,90,0,0,0
0.274220,0,1648,474014,138,0,0,0,0,0,0,86,0,0,0
0.275738,0,1651,475201,138,0,0,0,0,0,0,90,0,0,0
0.277189,0,18918,621403,139,8,117,75,0,0,112,144,0,0,0
0.278584,0,2087,472595,368,0,0,0,0,0,0,87,0,0,0
0.280047,0,1734,472274,220,0,0,0,0,0,0,89,0,0,0
0.281492,0,1656,458000,137,0,0,0,0,0,0,88,0,0,0
0.282934,0,1648,454323,138,0,0,0,0,0,0,87,0,0,0
0.284375,0,1649,453513,139,0,0,0,0,0,0,88,0,0,0
0.285817,0,1656,453249,138,0,0,0,0,0,0,89,0,0,0
0.287256,0,1693,446291,138,0,0,0,0,0,0,84,0,0,0
0.288798,0,1720,467531,153,0,0,0,0,0,0,89,0,0,0
0.290290,0,1630,440675,132,0,0,0,0,0,0,87,0,0,0
0.292300,0,1668,513284,132,0,0,0,0,0,0,87,0,0,0
0.293812,0,1626,428264,132,0,0,0,0,0,0,84,0,0,0
0.295247,0,1632,423459,133,0,0,0,0,0,0,86,0,0,0
0.296682,0,1636,443833,133,0,0,0,0,0,0,85,0,0,0
0.298117,0,1592,421721,133,0,0,0,0,0,0,86,0,0,0
0.299550,0,1636,4517114,132,0,0,0,0,0,0,87,0,0,0
0.304887,0,1583,501995,133,0,0,0,0,0,0,83,0,0,0
0.306376,0,1630,433689,132,0,0,0,0,0,0,83,0,0,0
0.307850,0,1631,448933,133,0,0,0,0,0,0,83,0,0,0
0.309312,0,1675,472724,132,0,0,0,0,0,0,88,0,0,0
0.310728,0,1590,448552,132,0,0,0,0,0,0,84,0,0,0
0.312125,0,1636,448529,132,0,0,0,0,0,0,87,0,0,0
0.313521,0,1621,447875,131,0,0,0,0,0,0,86,0,0,0
0.314930,0,1589,449136,132,0,0,0,0,0,0,88,0,0,0
0.316324,0,1591,445622,131,0,0,0,0,0,0,85,0,0,0
0.317717,0,1629,448271,132,0,0,0,0,0,0,88,0,0,0
0.319112,0,1591,446409,131,0,0,0,0,0,0,83,0,0,0
0.320505,0,1591,447280,132,0,0,0,0,0,0,83,0,0,0
0.321915,0,1594,443347,132,0,0,0,0,0,0,87,0,0,0
0.323350,0,1594,514326,133,0,0,0,0,0,0,87,0,0,0
0.324883,0,1596,441762,208,0,0,0,0,0,0,86,0,0,0
0.326333,0,1592,444664,132,0,0,0,0,0,0,87,0,0,0
0.327776,0,1590,456968,132,0,0,0,0,0,0,86,0,0,0
0.329217,0,1582,433039,132,0,0,0,0,0,0,86,0,0,0
0.330656,0,1584,447657,132,0,0,0,0,0,0,85,0,0,0
0.332096,0,1633,428055,132,0,0,0,0,0,0,83,0,0,0
0.333535,0,1632,416054,132,0,0,0,0,0,0,84,0,0,0
0.335091,0,1631,458513,131,0,0,0,0,0,0,87,0,0,0
0.336587,0,1636,449155,133,0,0,0,0,0,0,84,0,0,0
0.338078,0,1744,446025,132,0,0,0,0,0,0,87,0,0,0
0.339522,0,1633,436044,133,0,0,0,0,0,0,86,0,0,0
0.340966,0,1630,434885,132,0,0,0,0,0,0,84,0,0,0
0.342407,0,1591,433445,132,0,0,0,0,0,0,85,0,0,0
0.343847,0,1665,492067,132,0,0,0,0,0,0,85,0,0,0
0.345471,0,1593,459413,132,0,0,0,0,0,0,88,0,0,0
0.347090,0,1585,469197,132,0,0,0,0,0,0,85,0,0,0
0.348696,0,1667,459819,132,0,0,0,0,0,0,84,0,0,0
0.350303,0,1719,459497,132,0,0,0,0,0,0,85,0,0,0
0.351912,0,1629,459612,132,0,0,0,0,0,0,84,0,0,0
0.353563,0,1624,459628,151,0,0,0,0,0,0,87,0,0,0
0.355170,0,1630,459513,131,0,0,0,0,0,0,85,0,0,0
0.356648,0,1634,446185,131,0,0,0,0,0,0,87,0,0,0
0.358235,0,1634,458680,132,0,0,0,0,0,0,86,0,0,0
0.359845,0,1594,459485,131,0,0,0,0,0,0,85,0,0,0
0.361454,0,1597,469853,131,0,0,0,0,0,0,84,0,0,0
0.363060,0,1628,459187,132,0,0,0,0,0,0,83,0,0,0
0.364667,0,1625,457837,132,0,0,0,0,0,0,88,0,0,0
0.366274,0,1707,460399,132,0,0,0,0,0,0,84,0,0,0
0.367883,0,1631,460118,132,0,0,0,0,0,0,86,0,0,0
0.369546,0,1588,459802,132,0,0,0,0,0,0,87,0,0,0
0.371152,0,1633,458611,131,0,0,0,0,0,0,84,0,0,0
0.372759,0,1590,459431,132,0,0,0,0,0,0,86,0,0,0
0.374367,0,1591,459986,132,0,0,0,0,0,0,83,0,0,0
0.375976,0,1591,459500,132,0,0,0,0,0,0,85,0,0,0
0.377584,0,1629,468738,132,0,0,0,0,0,0,84,0,0,0
0.379189,0,1588,457964,132,0,0,0,0,0,0,83,0,0,0
0.380679,0,1593,447200,133,0,0,0,0,0,0,86,0,0,0
0.382256,0,1590,459464,132,0,0,0,0,0,0,84,0,0,0
0.383866,0,1626,459710,132,0,0,0,0,0,0,84,0,0,0
0.385517,0,1582,461537,132,0,0,0,0,0,0,85,0,0,0
0.387124,0,1590,460528,132,0,0,0,0,0,0,87,0,0,0
0.388733,0,1630,460364,132,0,0,0,0,0,0,85,0,0,0
0.390224,0,1589,461668,132,0,0,0,0,0,0,88,0,0,0
0.391690,0,1753,446005,132,0,0,0,0,0,0,85,0,0,0
0.393132,0,1589,431644,132,0,0,0,0,0,0,84,0,0,0
