elapsed_s,HLSQ_BV_WAIT_FS_S2W,HLSQ_RESERVED_37,HLSQ_FS_WAIT_SAME_VS_S2W,HLSQ_FS_STARVING_SP,HLSQ_VS_DATA_WAIT_PROGRAMMING,HLSQ_BV_DATA_WAIT_PROGRAMMING
0.288201,0,0,0,0,0,0
0.289597,0,0,0,0,0,0
0.291011,0,0,0,0,0,0
0.292536,0,0,0,0,0,0
0.294006,0,0,444,0,2598,774
0.295429,0,0,0,0,0,0
0.296822,0,0,0,0,0,0
0.298176,0,0,0,0,0,0
0.299532,0,0,0,0,0,0
0.300880,0,0,0,0,0,0
0.302247,0,0,0,0,0,0
0.303648,0,0,1578,0,5256,882
0.305180,0,0,0,0,0,0
0.306576,0,0,0,0,0,0
0.307973,0,0,0,0,0,0
0.309371,0,0,0,0,0,0
0.310767,0,0,0,0,0,0
0.312195,0,0,0,0,0,0
0.313587,0,0,0,0,0,0
0.315001,0,0,0,0,0,0
0.316441,0,0,0,0,0,0
0.317835,0,0,0,0,0,0
0.319874,0,0,0,0,0,0
0.321429,0,0,0,0,0,0
0.322820,0,0,0,0,0,0
0.324191,0,0,0,0,0,0
0.325593,0,0,0,0,0,0
0.327101,0,0,0,0,0,0
0.328492,0,0,0,0,0,0
0.330243,0,0,0,0,0,0
0.331638,0,0,0,0,0,0
0.333029,0,0,0,0,0,0
0.334466,0,0,0,0,0,0
0.335868,0,0,0,0,0,0
0.337396,0,0,0,0,0,0
0.339014,0,0,0,0,0,0
0.340574,0,0,0,0,0,0
0.342147,0,0,0,0,0,0
0.343604,0,0,0,0,0,0
0.345162,0,0,0,0,0,0
0.346734,0,0,0,0,0,0
0.348300,0,0,0,0,0,0
0.349861,0,0,0,0,0,0
0.351424,0,0,0,0,0,0
0.352987,0,0,0,0,0,0
0.354547,0,0,0,0,0,0
0.356108,0,0,0,0,0,0
0.357559,0,0,0,0,0,0
0.359095,0,0,0,0,0,0
0.360657,0,0,0,0,0,0
0.362217,0,0,0,0,0,0
0.363781,0,0,0,0,0,0
0.365343,0,0,0,0,0,0
0.366904,0,0,0,0,0,0
0.368519,0,0,0,0,0,0
0.370079,0,0,0,0,0,0
0.371642,0,0,0,0,0,0
0.373203,0,0,0,0,0,0
0.374763,0,0,0,0,0,0
0.376329,0,0,0,0,0,0
0.377890,0,0,0,0,0,0
0.379466,0,0,0,0,0,0
0.381020,0,0,0,0,0,0
0.382614,0,0,0,0,0,0
0.384132,0,0,0,0,0,0
0.385742,0,0,0,0,0,0
0.387307,0,0,0,0,0,0
0.388869,0,0,0,0,0,0
0.390438,0,0,0,0,0,0
0.391998,0,0,0,0,0,0
0.393559,0,0,0,0,0,0
0.395122,0,0,0,0,0,0
0.396682,0,0,0,0,0,0
0.398283,0,0,0,0,0,0
0.399843,0,0,0,0,0,0
0.401417,0,0,0,0,0,0
0.402979,0,0,0,0,0,0
0.404540,0,0,0,0,0,0
0.406098,0,0,0,0,0,0
0.407660,0,0,0,0,0,0
0.409221,0,0,0,0,0,0
0.410779,0,0,0,0,0,0
0.412366,0,0,0,0,0,0
0.413967,0,0,0,0,0,0
0.415529,0,0,0,0,0,0
0.416992,0,0,0,0,0,0
0.418427,0,0,0,0,0,0
0.419788,0,0,0,0,0,0
0.421140,0,0,0,0,0,0
0.422508,0,0,0,0,0,0
0.423904,0,0,0,0,0,0
0.425250,0,0,0,0,0,0
0.426595,0,0,0,0,0,0
0.427940,0,0,0,0,0,0
0.429291,0,0,0,0,0,0
0.430692,0,0,0,0,0,0
0.432070,0,0,0,0,0,0
0.433397,0,0,0,0,0,0
0.434714,0,0,0,0,0,0
0.436082,0,0,0,0,0,0
0.437399,0,0,0,0,0,0
0.438718,0,0,0,0,0,0
0.440038,0,0,0,0,0,0
0.441356,0,0,0,0,0,0
0.442675,0,0,0,0,0,0
0.444092,0,0,0,0,0,0
0.445409,0,0,0,0,0,0
0.446761,0,0,0,0,0,0
0.448172,0,0,0,0,0,0
