elapsed_s,VPC_BE_CCHE_NUM_POS_REQ,VPC_BE_STALL_CYCLES_LM_ACK,VPC_BE_STALL_CYCLES_PRG_END_VPCPS,VPC_BE_POS_OVERFETCH_ATTR,VPC_BE_BOTTLENECK
0.844286,0,0,0,0,0
0.845885,0,0,0,0,0
0.847440,0,0,0,0,0
0.848991,0,0,0,0,0
0.850563,0,0,0,0,0
0.852114,0,0,0,0,0
0.853712,0,0,0,0,0
0.855266,0,0,0,0,0
0.856816,0,0,0,0,0
0.858372,0,0,0,0,0
0.859924,0,0,0,0,0
0.861370,0,0,0,0,0
0.862938,0,0,0,0,0
0.864490,0,0,0,0,0
0.866043,0,0,0,0,0
0.868016,0,0,0,0,0
0.869619,0,0,0,0,0
0.871173,0,0,0,0,0
0.872624,0,0,0,0,0
0.874150,0,0,0,0,0
0.875706,0,0,0,0,0
0.877263,0,0,0,0,0
0.878863,0,0,0,0,0
0.880417,0,0,0,0,0
0.881973,0,0,0,0,0
0.883544,0,0,0,0,0
0.885101,0,0,0,0,0
0.886658,0,0,0,0,0
0.888212,0,0,0,0,0
0.889769,0,0,0,0,0
0.891326,0,0,0,0,0
0.892880,0,0,0,0,0
0.894420,0,0,0,0,0
0.895947,0,0,0,0,0
0.897505,0,0,0,0,0
0.899061,0,0,0,0,0
0.900617,0,0,0,0,0
0.902217,0,0,0,0,0
0.903774,0,0,0,0,0
0.905346,0,0,0,0,0
0.906901,0,0,0,0,0
0.908456,0,0,0,0,0
0.910056,0,0,0,0,0
0.911613,0,0,0,0,0
0.913170,0,0,0,0,0
0.914726,0,0,0,0,0
0.916295,0,0,0,0,0
0.917896,0,0,0,0,0
0.919453,0,0,0,0,0
0.921006,0,0,0,0,0
0.922609,0,0,0,0,0
0.924163,0,0,0,0,0
0.925766,0,0,0,0,0
0.927214,0,0,0,0,0
0.928742,0,0,0,0,0
0.930391,0,0,0,0,0
0.931948,0,0,0,0,0
0.933554,0,0,0,0,0
0.935114,0,0,0,0,0
0.936671,0,0,0,0,0
0.938118,0,0,0,0,0
0.939648,0,0,0,0,0
0.941209,0,0,0,0,0
0.942812,0,0,0,0,0
0.944371,0,0,0,0,0
0.945930,0,0,0,0,0
0.947481,0,0,0,0,0
0.949132,0,0,0,0,0
0.950509,0,0,0,0,0
0.951909,0,0,0,0,0
0.953437,0,0,0,0,0
0.954996,0,0,0,0,0
0.956553,0,0,0,0,0
0.958156,0,0,0,0,0
0.959731,0,0,0,0,0
0.961293,0,0,0,0,0
0.962852,0,0,0,0,0
0.964410,0,0,0,0,0
0.966012,0,0,0,0,0
0.967573,0,0,0,0,0
0.969134,0,0,0,0,0
0.970708,0,0,0,0,0
0.972266,0,0,0,0,0
0.973871,0,0,0,0,0
0.975432,0,0,0,0,0
0.976989,0,0,0,0,0
0.978546,0,0,0,0,0
0.980096,0,0,0,0,0
0.981581,0,0,0,0,0
0.983110,0,0,0,0,0
0.984667,0,0,0,0,0
0.986226,0,0,0,0,0
0.987784,0,0,0,0,0
0.989343,0,0,0,0,0
0.990947,0,0,0,0,0
0.992556,0,0,0,0,0
0.994113,0,0,0,0,0
0.995672,0,0,0,0,0
0.997231,0,0,0,0,0
0.998834,0,0,0,0,0
1.000390,0,0,0,0,0
1.001949,0,0,0,0,0
1.003522,0,0,0,0,0
1.005082,0,0,0,0,0
1.006640,0,0,0,0,0
1.008197,0,0,0,0,0
1.009755,0,0,0,0,0
1.011255,0,0,0,0,0
1.012787,0,0,0,0,0
1.014298,0,0,0,0,0
1.015855,0,0,0,0,0
1.017416,0,0,0,0,0
1.018976,0,0,0,0,0
1.020534,0,0,0,0,0
1.022136,0,0,0,0,0
1.023695,0,0,0,0,0
1.025271,0,0,0,0,0
1.026829,0,0,0,0,0
1.028387,0,0,0,0,0
1.029990,0,0,0,0,0
1.031550,0,0,0,0,0
1.033111,0,0,0,0,0
1.034669,0,0,0,0,0
1.036241,0,0,0,0,0
