elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.093191,0,995753,846,0,0,0,0,0
0.094445,0,1027001,752,0,0,0,0,0
0.095709,0,1033916,781,0,0,0,0,0
0.096973,0,1001860,817,0,0,0,0,0
0.098274,0,1222266,940,0,0,0,0,0
0.099748,0,1038713,752,0,0,0,0,0
0.101012,0,1000060,783,0,0,0,0,0
0.102278,0,1033872,815,0,0,0,0,0
0.103543,0,1035701,781,0,0,0,0,0
0.104807,0,996537,817,0,0,0,0,0
0.106105,0,1073308,781,0,0,0,0,0
0.107370,0,996198,817,0,0,0,0,0
0.108634,0,1038631,752,0,0,0,0,0
0.109900,0,1009658,766,0,0,0,0,0
0.111233,0,729751,676,0,0,0,0,0
0.112797,0,0,0,0,0,0,0,0
0.114208,0,0,0,0,0,0,0,0
0.115753,0,0,0,0,0,0,0,0
0.117158,0,0,0,0,0,0,0,0
0.118699,0,0,0,0,0,0,0,0
0.120112,0,0,0,0,0,0,0,0
0.121523,0,0,0,0,0,0,0,0
0.123002,0,0,0,0,0,0,0,0
0.124409,0,0,0,0,0,0,0,0
0.125851,0,0,0,0,0,0,0,0
0.127353,0,0,0,0,0,0,0,0
0.128769,0,0,0,0,0,0,0,0
0.130219,0,0,0,0,0,0,0,0
0.131752,0,0,0,0,0,0,0,0
0.133213,0,0,0,0,0,0,0,0
0.137520,0,0,0,0,0,0,0,0
0.138925,0,0,0,0,0,0,0,0
0.140308,0,0,0,0,0,0,0,0
0.141676,0,0,0,0,0,0,0,0
0.143045,0,0,0,0,0,0,0,0
0.144423,0,0,0,0,0,0,0,0
0.145887,0,0,0,0,0,0,0,0
0.147326,0,0,0,0,0,0,0,0
0.148731,0,0,0,0,0,0,0,0
0.150182,0,0,0,0,0,0,0,0
0.151808,0,0,0,0,0,0,0,0
0.153209,0,0,0,0,0,0,0,0
0.154718,0,0,0,0,0,0,0,0
0.156121,0,0,0,0,0,0,0,0
0.157539,0,0,0,0,0,0,0,0
0.159167,0,0,0,0,0,0,0,0
0.160737,0,0,0,0,0,0,0,0
0.162352,0,0,0,0,0,0,0,0
0.163924,0,0,0,0,0,0,0,0
0.165384,0,0,0,0,0,0,0,0
0.167179,0,0,0,0,0,0,0,0
0.168752,0,0,0,0,0,0,0,0
0.170368,0,0,0,0,0,0,0,0
0.171940,0,0,0,0,0,0,0,0
0.173517,0,0,0,0,0,0,0,0
0.175090,0,0,0,0,0,0,0,0
0.176550,0,0,0,0,0,0,0,0
0.178140,0,0,0,0,0,0,0,0
0.179713,0,0,0,0,0,0,0,0
0.181283,0,0,0,0,0,0,0,0
0.182900,0,0,0,0,0,0,0,0
0.184471,0,0,0,0,0,0,0,0
0.186088,0,0,0,0,0,0,0,0
0.187675,0,0,0,0,0,0,0,0
0.189246,0,0,0,0,0,0,0,0
0.190821,0,0,0,0,0,0,0,0
0.192392,0,0,0,0,0,0,0,0
0.194010,0,0,0,0,0,0,0,0
0.195583,0,0,0,0,0,0,0,0
0.197153,0,0,0,0,0,0,0,0
0.198810,0,0,0,0,0,0,0,0
0.200380,0,0,0,0,0,0,0,0
0.201999,0,0,0,0,0,0,0,0
0.203572,0,0,0,0,0,0,0,0
0.205143,0,0,0,0,0,0,0,0
0.206684,0,0,0,0,0,0,0,0
0.208226,0,0,0,0,0,0,0,0
0.209813,0,0,0,0,0,0,0,0
0.211384,0,0,0,0,0,0,0,0
