elapsed_s,PC_US_STALL_CYCLES_UCHE0,PC_US_STALL_CYCLES_UCHE1,PC_US_UCHE_0_TRANS,PC_US_UCHE_1_TRANS,PC_US_BV_STALLED_BY_ATTR,PC_US_BV_STARVED_BY_RARB,PC_US_VPC_PRIM_COUNT_STALLS_BR,PC_US_VPC_PRIM_COUNT_STALLS_BV
0.782394,0,0,0,0,0,0,0,0
0.783981,0,0,0,0,0,0,0,0
0.785554,0,0,0,0,0,0,0,0
0.787125,0,0,0,0,0,0,0,0
0.788697,0,0,0,0,0,0,0,0
0.790271,0,0,0,0,0,0,0,0
0.791846,0,0,0,0,0,0,0,0
0.793463,0,0,0,0,0,0,0,0
0.795047,0,0,0,0,0,0,0,0
0.796620,0,0,0,0,0,0,0,0
0.798193,0,0,0,0,0,0,0,0
0.799767,0,0,0,0,0,0,0,0
0.801339,0,0,0,0,0,0,0,0
0.802910,0,0,0,0,0,0,0,0
0.804485,0,0,0,0,0,0,0,0
0.806062,0,0,0,0,0,0,0,0
0.807624,0,0,0,0,0,0,0,0
0.809142,0,0,0,0,0,0,0,0
0.810710,0,0,0,0,0,0,0,0
0.812283,0,0,0,0,0,0,0,0
0.813855,0,0,0,0,0,0,0,0
0.815425,0,0,0,0,0,0,0,0
0.817013,0,0,0,0,0,0,0,0
0.818584,0,0,0,0,0,0,0,0
0.820155,0,0,0,0,0,0,0,0
0.821724,0,0,0,0,0,0,0,0
0.823318,0,0,0,0,0,0,0,0
0.824964,0,0,0,0,0,0,0,0
0.826662,0,0,0,0,0,0,0,0
0.828306,0,0,0,0,0,0,0,0
0.829736,0,0,0,0,0,0,0,0
0.831148,0,0,0,0,0,0,0,0
0.832559,0,0,0,0,0,0,0,0
0.833969,0,0,0,0,0,0,0,0
0.835377,0,0,0,0,0,0,0,0
0.836849,0,0,0,0,0,0,0,0
0.838385,0,0,0,0,0,0,0,0
0.839878,0,0,0,0,0,0,0,0
0.841475,0,0,0,0,0,0,0,0
0.843076,0,0,0,0,0,0,0,0
0.844647,0,0,0,0,0,0,0,0
0.846217,0,0,0,0,0,0,0,0
0.847789,0,0,0,0,0,0,0,0
0.849373,0,0,0,0,0,0,0,0
0.850943,0,0,0,0,0,0,0,0
0.852515,0,0,0,0,0,0,0,0
0.854085,0,0,0,0,0,0,0,0
0.855654,0,0,0,0,0,0,0,0
0.857147,0,0,0,0,0,0,0,0
0.858684,0,0,0,0,0,0,0,0
0.860149,0,0,0,0,0,0,0,0
0.861672,0,0,0,0,0,0,0,0
0.863122,0,0,0,0,0,0,0,0
0.864646,0,0,0,0,0,0,0,0
0.866058,0,0,0,0,0,0,0,0
0.867466,0,0,0,0,0,0,0,0
0.868875,0,0,0,0,0,0,0,0
0.870378,0,0,0,0,0,0,0,0
0.871807,0,0,0,0,0,0,0,0
0.873268,0,0,0,0,0,0,0,0
0.874804,0,0,0,0,0,0,0,0
0.876255,0,0,0,0,0,0,0,0
0.877797,0,0,0,0,0,0,0,0
0.879369,0,0,0,0,0,0,0,0
