elapsed_s,TSE_FE_STARVE_CYCLES_PC,TSE_FE_INPUT_PRIM,TSE_FE_INPUT_NULL_PRIM,TSE_FE_TRIVAL_REJ_PRIM
0.913260,0,0,0,0
0.914646,0,0,0,0
0.916070,0,0,0,0
0.917588,0,0,0,0
0.919139,0,0,0,0
0.920692,0,0,0,0
0.922243,0,0,0,0
0.923808,0,0,0,0
0.925406,0,0,0,0
0.926957,0,0,0,0
0.928506,0,0,0,0
0.930057,0,0,0,0
0.931608,0,0,0,0
0.933161,0,0,0,0
0.934724,0,0,0,0
0.936273,0,0,0,0
0.937826,0,0,0,0
0.939377,0,0,0,0
0.940927,0,0,0,0
0.942482,0,0,0,0
0.944031,0,0,0,0
0.945596,0,0,0,0
0.947147,0,0,0,0
0.948739,0,0,0,0
0.950246,0,0,0,0
0.951767,0,0,0,0
0.953320,0,0,0,0
0.954871,0,0,0,0
0.956474,0,0,0,0
0.958025,0,0,0,0
0.959576,0,0,0,0
0.961006,0,0,0,0
0.962407,0,0,0,0
0.963789,0,0,0,0
0.965237,0,0,0,0
0.966666,0,0,0,0
0.968053,0,0,0,0
0.969442,0,0,0,0
0.970958,0,0,0,0
0.972550,0,0,0,0
0.974101,0,0,0,0
0.975643,0,0,0,0
0.977310,0,0,0,0
0.978860,0,0,0,0
0.980453,0,0,0,0
0.982003,0,0,0,0
0.983554,0,0,0,0
0.985107,0,0,0,0
0.986659,0,0,0,0
0.988263,0,0,0,0
0.989817,0,0,0,0
0.991369,0,0,0,0
0.992919,0,0,0,0
0.994475,0,0,0,0
0.996068,0,0,0,0
0.997622,0,0,0,0
0.999186,0,0,0,0
1.000736,0,0,0,0
1.002233,0,0,0,0
1.003756,0,0,0,0
1.005351,0,0,0,0
1.006902,0,0,0,0
1.008453,0,0,0,0
1.010016,0,0,0,0
1.011567,0,0,0,0
1.013121,0,0,0,0
1.014672,0,0,0,0
1.016222,0,0,0,0
1.017775,0,0,0,0
1.019327,0,0,0,0
1.020890,0,0,0,0
1.022444,0,0,0,0
1.023995,0,0,0,0
1.025550,0,0,0,0
1.027101,0,0,0,0
1.028694,0,0,0,0
1.030117,0,0,0,0
1.031649,0,0,0,0
1.033202,0,0,0,0
1.034753,0,0,0,0
