elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
1.351276,0,91521,1627,1626,0,0,0,0,0,0,0,0,0,0
1.352878,0,91580,1617,1616,0,0,0,0,0,0,0,0,0,0
1.354541,0,91751,1615,1614,0,0,0,0,0,0,0,0,0,0
1.356218,0,100971,1644,1643,0,0,0,0,0,0,0,0,0,0
1.357820,0,93682,1577,1576,0,0,0,0,0,0,0,0,0,0
1.359519,0,95840,1628,1627,0,0,0,0,0,0,0,0,0,0
1.361121,0,91567,1616,1615,0,0,0,0,0,0,0,0,0,0
1.362738,0,102601,1631,1630,0,0,0,0,0,0,0,0,0,0
1.364460,0,99096,1626,1625,0,0,0,0,0,0,0,0,0,0
1.366058,0,92140,1617,1616,0,0,0,0,0,0,0,0,0,0
1.367700,0,95218,1629,1628,0,0,0,0,0,0,0,0,0,0
1.369423,0,92138,1612,1611,0,0,0,0,0,0,0,0,0,0
1.371082,0,91237,1611,1610,0,0,0,0,0,0,0,0,0,0
1.372733,0,91402,1563,1562,0,0,0,0,0,0,0,0,0,0
1.374403,0,107140,1628,1627,0,0,0,0,0,0,0,0,0,0
1.376330,0,91427,1637,1636,0,0,0,0,0,0,0,0,0,0
1.377982,0,91196,1619,1618,0,0,0,0,0,0,0,0,0,0
1.379635,0,91444,1630,1629,0,0,0,0,0,0,0,0,0,0
1.381282,0,91732,1628,1627,0,0,0,0,0,0,0,0,0,0
1.382953,0,93227,1627,1626,0,0,0,0,0,0,0,0,0,0
1.384689,0,91346,1629,1628,0,0,0,0,0,0,0,0,0,0
1.386340,0,91598,1625,1624,0,0,0,0,0,0,0,0,0,0
1.387993,0,91518,1514,1513,0,0,0,0,0,0,0,0,0,0
1.389644,0,91756,1561,1560,0,0,0,0,0,0,0,0,0,0
1.391292,0,100447,1619,1618,0,0,0,0,0,0,0,0,0,0
1.392997,0,91448,1573,1572,0,0,0,0,0,0,0,0,0,0
1.394668,0,91660,1617,1616,0,0,0,0,0,0,0,0,0,0
1.396435,0,109441,1606,1605,0,0,0,0,0,0,0,0,0,0
1.398085,0,91414,1624,1623,0,0,0,0,0,0,0,0,0,0
1.399737,0,91316,1629,1628,0,0,0,0,0,0,0,0,0,0
1.401387,0,91457,1569,1568,0,0,0,0,0,0,0,0,0,0
1.403037,0,95508,1584,1583,0,0,0,0,0,0,0,0,0,0
1.404952,0,103835,1434,1433,0,0,0,0,0,0,0,0,0,0
1.406778,0,122636,1571,1570,0,0,0,0,0,0,0,0,0,0
1.408550,0,95417,1634,1633,0,0,0,0,0,0,0,0,0,0
1.410269,0,105968,1604,1603,0,0,0,0,0,0,0,0,0,0
1.411875,0,91410,1579,1578,0,0,0,0,0,0,0,0,0,0
1.413479,0,91580,1620,1619,0,0,0,0,0,0,0,0,0,0
1.415095,0,113178,1629,1628,0,0,0,0,0,0,0,0,0,0
1.417060,0,95809,1619,1618,0,0,0,0,0,0,0,0,0,0
1.418741,0,125768,1611,1610,0,0,0,0,0,0,0,0,0,0
1.420635,0,99080,1573,1572,0,0,0,0,0,0,0,0,0,0
1.422308,0,95217,1629,1628,0,0,0,0,0,0,0,0,0,0
1.424010,0,90966,1608,1607,0,0,0,0,0,0,0,0,0,0
1.425670,0,90590,1635,1634,0,0,0,0,0,0,0,0,0,0
1.427314,0,91021,1620,1619,0,0,0,0,0,0,0,0,0,0
1.428961,0,91451,1569,1568,0,0,0,0,0,0,0,0,0,0
1.430608,0,96742,1552,1551,0,0,0,0,0,0,0,0,0,0
1.432446,0,104914,1624,1623,0,0,0,0,0,0,0,0,0,0
1.434070,0,92194,1566,1565,0,0,0,0,0,0,0,0,0,0
1.435700,0,91715,1625,1624,0,0,0,0,0,0,0,0,0,0
1.437306,0,91553,1626,1625,0,0,0,0,0,0,0,0,0,0
1.438909,0,93714,1554,1553,0,0,0,0,0,0,0,0,0,0
1.440653,0,99274,1563,1562,0,0,0,0,0,0,0,0,0,0
1.442328,0,93624,1606,1605,0,0,0,0,0,0,0,0,0,0
1.443979,0,91164,1627,1626,0,0,0,0,0,0,0,0,0,0
1.445627,0,91382,1614,1613,0,0,0,0,0,0,0,0,0,0
1.447290,0,100096,1620,1619,0,0,0,0,0,0,0,0,0,0
1.448995,0,91282,1606,1605,0,0,0,0,0,0,0,0,0,0
1.450644,0,91179,1616,1615,0,0,0,0,0,0,0,0,0,0
1.452409,0,109589,1610,1609,0,0,0,0,0,0,0,0,0,0
1.454058,0,91477,1658,1657,0,0,0,0,0,0,0,0,0,0
1.455761,0,91469,1621,1620,0,0,0,0,0,0,0,0,0,0
1.457421,0,91440,1624,1623,0,0,0,0,0,0,0,0,0,0
1.459071,0,91434,1580,1579,0,0,0,0,0,0,0,0,0,0
1.460721,0,91602,1558,1557,0,0,0,0,0,0,0,0,0,0
1.462369,0,91578,1603,1602,0,0,0,0,0,0,0,0,0,0
1.464073,0,91295,1609,1608,0,0,0,0,0,0,0,0,0,0
1.465721,0,91004,1625,1624,0,0,0,0,0,0,0,0,0,0
1.467522,0,92992,1621,1620,0,0,0,0,0,0,0,0,0,0
1.469229,0,91612,1577,1576,0,0,0,0,0,0,0,0,0,0
1.471034,0,132320,1636,1635,0,0,0,0,0,0,0,0,0,0
1.473114,0,94489,1609,1608,0,0,0,0,0,0,0,0,0,0
1.474825,0,92102,1567,1566,0,0,0,0,0,0,0,0,0,0
1.476481,0,91407,1631,1630,0,0,0,0,0,0,0,0,0,0
1.478130,0,91409,1620,1619,0,0,0,0,0,0,0,0,0,0
