elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.191452,0,0,0,0,0,0,0,0,0,0,473291,473110,0,0
0.193055,0,0,0,0,0,0,0,0,0,0,462041,461836,0,0
0.194715,0,0,0,0,0,0,0,0,0,0,527002,526826,0,0
0.196379,0,0,0,0,0,0,0,0,0,0,463641,463459,0,0
0.197984,0,0,0,0,0,0,0,0,0,0,464279,464091,0,0
0.199588,0,0,0,0,0,0,0,0,0,0,465618,465416,0,0
0.201191,0,0,0,0,0,0,0,0,0,0,463536,463357,0,0
0.202839,0,0,0,0,0,0,0,0,0,0,464966,464768,0,0
0.204443,0,0,0,0,0,0,0,0,0,0,463714,463542,0,0
0.206062,0,0,0,0,0,0,0,0,0,0,464041,463836,0,0
0.207666,0,0,0,0,0,0,0,0,0,0,462770,462594,0,0
0.209716,0,0,0,0,0,0,0,0,0,0,472271,472070,0,0
0.211328,0,0,0,0,0,0,0,0,0,0,464222,464021,0,0
0.212932,0,0,0,0,0,0,0,0,0,0,464046,463875,0,0
0.214539,0,0,0,0,0,0,0,0,0,0,466179,465990,0,0
0.216158,0,0,0,0,0,0,0,0,0,0,465293,465105,0,0
0.217763,0,0,0,0,0,0,0,0,0,0,468709,468538,0,0
0.219374,0,0,0,0,0,0,0,0,0,0,466423,466248,0,0
0.220979,0,0,0,0,0,0,0,0,0,0,465033,464830,0,0
0.222586,0,0,0,0,0,0,0,0,0,0,464822,464645,0,0
0.224192,0,0,0,0,0,0,0,0,0,0,465030,464732,0,0
0.225796,0,0,0,0,0,0,0,0,0,0,466511,466337,0,0
0.227419,0,0,0,0,0,0,0,0,0,0,465132,464955,0,0
0.229023,0,0,0,0,0,0,0,0,0,0,464491,464308,0,0
0.230629,0,0,0,0,0,0,0,0,0,0,469088,468901,0,0
0.232235,0,0,0,0,0,0,0,0,0,0,464438,464234,0,0
0.233840,0,0,0,0,0,0,0,0,0,0,583546,583358,0,0
0.235519,0,0,0,0,0,0,0,0,0,0,455604,455431,0,0
0.236965,0,0,0,0,0,0,0,0,0,0,440624,440436,0,0
0.238547,0,0,0,0,0,0,0,0,0,0,464222,464030,0,0
0.240152,0,0,0,0,0,0,0,0,0,0,465023,464823,0,0
0.241756,0,0,0,0,0,0,0,0,0,0,469966,469776,0,0
0.243368,0,0,0,0,0,0,0,0,0,0,462301,462117,0,0
0.244972,0,0,0,0,0,0,0,0,0,0,471575,471835,0,0
0.246455,0,0,0,0,0,0,0,0,0,0,491801,491278,0,0
0.247940,0,0,0,0,0,0,0,0,0,0,453736,453447,0,0
0.249398,0,0,0,0,0,0,0,0,0,0,463960,463675,0,0
0.250887,0,0,0,0,0,0,0,0,0,0,451810,451653,0,0
0.252329,0,0,0,0,0,0,0,0,0,0,438860,438656,0,0
0.253769,0,0,0,0,0,0,0,0,0,0,435062,517938,0,0
0.255380,0,0,0,0,0,0,0,0,0,0,1016774,933565,0,0
0.258016,0,0,0,0,0,0,0,0,0,0,912937,912760,0,0
0.259913,0,0,0,0,0,0,0,0,0,0,460458,460275,0,0
0.261326,0,0,0,0,0,0,0,0,0,0,455105,454914,0,0
0.262725,0,0,0,0,0,0,0,0,0,0,454756,454573,0,0
0.264121,0,0,0,0,0,0,0,0,0,0,454408,454221,0,0
0.265515,0,0,0,0,0,0,0,0,0,0,456239,456052,0,0
0.266985,0,0,0,0,0,0,0,0,0,0,517870,517638,0,0
0.268434,0,0,0,0,0,0,0,0,0,0,438740,438553,0,0
0.269979,0,0,0,0,0,0,0,0,0,0,458138,457934,0,0
0.271463,0,0,0,0,0,0,0,0,0,0,447045,446890,0,0
0.272897,0,0,0,0,0,0,0,0,0,0,458163,457957,0,0
0.274370,0,0,0,0,0,0,0,0,0,0,449055,448867,0,0
0.275806,0,0,0,0,0,0,0,0,0,0,427775,427588,0,0
0.277239,0,0,0,0,0,0,0,0,0,0,427043,426854,0,0
0.278672,0,0,0,0,0,0,0,0,0,0,450767,450577,0,0
0.280233,0,0,0,0,0,0,0,0,0,0,458907,458789,0,0
0.281841,0,0,0,0,0,0,0,0,0,0,469776,469504,0,0
0.283534,0,0,0,0,0,0,0,0,0,0,453925,453735,0,0
0.284980,0,0,0,0,0,0,0,0,0,0,440920,440747,0,0
0.286425,0,0,0,0,0,0,0,0,0,0,444940,444749,0,0
0.287866,0,0,0,0,0,0,0,0,0,0,443020,442833,0,0
0.289307,0,0,0,0,0,0,0,0,0,0,439309,439107,0,0
0.290747,0,0,0,0,0,0,0,0,0,0,440557,440368,0,0
0.292327,0,0,0,0,0,0,0,0,0,0,441494,441294,0,0
0.293934,0,0,0,0,0,0,0,0,0,0,464829,464653,0,0
0.295539,0,0,0,0,0,0,0,0,0,0,465460,465272,0,0
0.297143,0,0,0,0,0,0,0,0,0,0,463568,463464,0,0
