elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.173778,0,0,0,0,0,0,0,0
0.175362,0,0,0,0,0,0,0,0
0.176937,0,0,0,0,0,0,0,0
0.178553,0,0,0,0,0,0,0,0
0.180123,0,0,0,0,0,0,0,0
0.181698,0,0,0,0,0,0,0,0
0.183271,0,0,0,0,0,0,0,0
0.184846,0,0,0,0,0,0,0,0
0.186434,0,0,0,0,0,0,0,0
0.188004,0,0,0,0,0,0,0,0
0.189576,0,0,0,0,0,0,0,0
0.191149,0,0,0,0,0,0,0,0
0.192722,0,0,0,0,0,0,0,0
0.194378,0,0,0,0,0,0,0,0
0.195796,0,0,0,0,0,0,0,0
0.197306,0,0,0,0,0,0,0,0
0.198800,0,0,0,0,0,0,0,0
0.200209,0,0,0,0,0,0,0,0
0.201619,0,0,0,0,0,0,0,0
0.204803,0,0,0,0,0,0,0,0
0.206242,0,0,0,0,0,0,0,0
0.207657,0,0,0,0,0,0,0,0
0.209065,0,0,0,0,0,0,0,0
0.210499,0,0,0,0,0,0,0,0
0.211863,0,0,0,0,0,0,0,0
0.213270,0,0,0,0,0,0,0,0
0.214623,0,0,0,0,0,0,0,0
0.215975,0,0,0,0,0,0,0,0
0.217377,0,0,0,0,0,0,0,0
0.218743,0,0,0,0,0,0,0,0
0.220094,0,0,0,0,0,0,0,0
0.221495,0,0,0,0,0,0,0,0
0.222849,0,0,0,0,0,0,0,0
0.224200,0,0,0,0,0,0,0,0
0.225599,0,0,0,0,0,0,0,0
0.226999,0,0,0,0,0,0,0,0
0.228326,0,0,0,0,0,0,0,0
0.229710,0,0,0,0,0,0,0,0
0.231040,0,0,0,0,0,0,0,0
0.232370,0,0,0,0,0,0,0,0
0.233737,0,0,0,0,0,0,0,0
0.235067,0,0,0,0,0,0,0,0
0.236397,0,0,0,0,0,0,0,0
0.237805,0,0,0,0,0,0,0,0
0.239143,0,0,0,0,0,0,0,0
0.240489,0,0,0,0,0,0,0,0
0.241823,0,0,0,0,0,0,0,0
0.243216,0,0,0,0,0,0,0,0
0.244527,0,0,0,0,0,0,0,0
0.245851,0,0,0,0,0,0,0,0
0.247164,0,0,0,0,0,0,0,0
0.248476,0,0,0,0,0,0,0,0
0.249794,0,0,0,0,0,0,0,0
0.251115,0,0,0,0,0,0,0,0
0.252428,0,0,0,0,0,0,0,0
0.253819,0,0,0,0,0,0,0,0
0.255129,0,0,0,0,0,0,0,0
0.256438,0,0,0,0,0,0,0,0
0.257760,0,0,0,0,0,0,0,0
0.259096,0,0,0,0,0,0,0,0
0.260472,0,0,0,0,0,0,0,0
0.261820,0,0,0,0,0,0,0,0
0.263197,0,0,0,0,0,0,0,0
0.264574,0,0,0,0,0,0,0,0
0.265948,0,0,0,0,0,0,0,0
0.267324,0,0,0,0,0,0,0,0
0.268728,0,0,0,0,0,0,0,0
0.270158,0,0,0,0,0,0,0,0
0.271535,0,0,0,0,0,0,0,0
0.272969,0,0,0,0,0,0,0,0
0.274361,0,0,0,0,0,0,0,0
0.275737,0,0,0,0,0,0,0,0
0.277114,0,0,0,0,0,0,0,0
0.278490,0,0,0,0,0,0,0,0
0.279866,0,0,0,0,0,0,0,0
0.281297,0,0,0,0,0,504,1104,240
0.282462,0,0,0,0,0,0,0,0
0.283843,0,0,0,0,0,0,0,0
0.285113,0,0,0,0,0,0,0,0
0.286488,0,0,0,0,0,0,0,0
0.287865,0,0,0,0,0,0,0,0
0.289291,0,0,0,0,0,0,0,0
0.290681,0,0,0,0,0,0,0,0
0.292057,0,0,0,0,0,0,0,0
0.293454,0,0,0,0,0,0,0,0
0.294829,0,0,0,0,0,0,0,0
0.296236,0,0,0,0,0,3504,292164,1836
