elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.942202,0,0,0,0,0,0,0,0
0.943741,0,0,0,0,0,0,0,0
0.945283,0,0,0,0,0,0,0,0
0.946857,0,0,0,0,0,0,0,0
0.948429,0,0,0,0,0,0,0,0
0.950000,0,0,0,0,0,0,0,0
0.951574,0,0,0,0,0,0,0,0
0.953148,0,0,0,0,0,0,0,0
0.954737,0,0,0,0,0,0,0,0
0.956308,0,0,0,0,0,0,0,0
0.957887,0,0,0,0,0,0,0,0
0.959339,0,0,0,0,0,0,0,0
0.960755,0,0,0,0,0,0,0,0
0.962291,0,0,0,0,0,0,0,0
