elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.245184,0,0,0,0
0.246526,0,0,0,0
0.247865,0,0,0,0
0.249207,0,0,0,0
0.250547,0,0,0,0
0.251886,0,0,0,0
0.253224,0,0,0,0
0.254563,0,0,0,0
0.255908,0,0,0,0
0.257248,0,0,0,0
0.258588,0,0,0,0
0.259956,0,0,0,0
0.261368,0,0,0,0
0.262778,0,0,0,0
0.264189,0,0,0,0
0.265599,0,0,0,0
0.267017,0,0,0,0
0.268428,0,0,0,0
0.269841,0,0,0,0
0.271253,0,0,0,0
0.272556,0,0,0,0
0.273975,0,0,0,0
0.275340,0,0,0,0
0.276702,0,0,0,0
0.278098,0,0,0,0
0.279483,0,0,0,0
0.280902,0,0,0,0
0.282426,0,0,0,84
0.283955,0,0,0,0
0.285341,0,0,0,0
0.286726,0,0,0,0
0.288119,0,0,0,0
0.290006,0,0,0,0
0.291389,0,0,0,0
0.292891,0,0,0,720
0.294152,0,0,0,0
0.295538,0,0,0,0
0.296925,0,0,0,0
0.298481,0,0,0,0
0.299868,0,0,0,0
0.301253,0,0,0,0
0.302637,0,0,0,0
0.304019,0,0,0,0
0.308878,0,0,0,0
0.310280,0,0,0,0
0.311660,0,0,0,0
0.313039,0,0,0,0
0.314416,0,0,0,0
0.315794,0,0,0,0
0.317171,0,0,0,0
0.318548,0,0,0,0
0.319926,0,0,0,0
0.321314,0,0,0,0
0.322692,0,0,0,0
0.324119,0,0,0,0
0.325501,0,0,0,0
0.327015,0,0,0,0
0.328562,0,0,0,0
0.330113,0,0,0,0
0.331670,0,0,0,0
0.333093,0,0,0,0
0.334621,0,0,0,0
0.336171,0,0,0,0
0.337722,0,0,0,0
0.339272,0,0,0,0
0.340825,0,0,0,0
0.342389,0,0,0,0
0.343937,0,0,0,0
0.345490,0,0,0,0
0.347041,0,0,0,0
0.348591,0,0,0,0
0.350147,0,0,0,0
0.351695,0,0,0,0
0.353261,0,0,0,0
0.354811,0,0,0,0
0.356402,0,0,0,0
0.357953,0,0,0,0
0.359503,0,0,0,0
0.361101,0,0,0,0
0.362651,0,0,0,0
0.364213,0,0,0,0
0.365764,0,0,0,0
0.367315,0,0,0,0
0.368868,0,0,0,0
0.370411,0,0,0,0
0.371993,0,0,0,0
0.373413,0,0,0,0
0.374884,0,0,0,0
0.376273,0,0,0,0
0.377662,0,0,0,0
0.379049,0,0,0,0
0.380435,0,0,0,0
0.381823,0,0,0,0
0.383339,0,0,0,0
0.384892,0,0,0,0
0.386455,0,0,0,0
0.388047,0,0,0,0
0.389601,0,0,0,0
0.391152,0,0,0,0
0.392701,0,0,0,0
0.394257,0,0,0,0
0.395806,0,0,0,0
0.397372,0,0,0,0
0.398924,0,0,0,0
0.400473,0,0,0,0
0.402088,0,0,0,0
0.403638,0,0,0,0
0.405235,0,0,0,0
0.406688,0,0,0,0
0.408266,0,0,0,0
0.409629,0,0,0,0
0.410973,0,0,0,0
0.412309,0,0,0,0
0.413692,0,0,0,0
0.415024,0,0,0,0
0.416354,0,0,0,0
0.417733,0,0,0,0
0.419078,0,0,0,0
0.420462,0,0,0,0
0.421816,0,0,0,0
0.423122,0,0,0,0
0.424427,0,0,0,0
0.425780,0,0,0,0
0.427084,0,0,0,0
0.428389,0,0,0,0
0.429751,0,0,0,0
0.431061,0,0,0,0
0.432366,0,0,0,0
0.433720,0,0,0,0
0.435026,0,0,0,0
0.436364,0,0,0,0
0.437705,0,0,0,0
0.439000,0,0,0,0
0.440297,0,0,0,0
0.441636,0,0,0,0
0.442928,0,0,0,0
0.444218,0,0,0,0
0.445557,0,0,0,0
0.446848,0,0,0,0
0.448139,0,0,0,0
0.449478,0,0,0,0
0.450776,0,0,0,0
0.452094,0,0,0,0
0.453505,0,0,0,0
0.454864,0,0,0,0
0.456224,0,0,0,0
0.457633,0,0,0,0
0.458889,0,0,0,0
0.460248,0,0,0,0
0.461661,0,0,0,0
0.462977,0,0,0,0
0.464249,0,0,0,0
0.465664,0,0,0,0
0.467027,0,0,0,0
0.468404,0,0,0,0
0.469806,0,0,0,0
0.471229,0,0,0,0
0.472636,0,0,0,0
0.474297,0,0,0,0
0.475916,0,0,0,231
0.477305,0,0,0,0
0.478684,0,0,0,0
0.480065,0,0,0,0
0.481452,0,0,0,0
0.482847,0,0,0,0
0.484280,0,0,0,0
0.485740,0,0,0,720
0.487128,0,0,0,0
0.488513,0,0,0,0
0.489982,0,0,0,0
0.491366,0,0,0,0
0.492750,0,0,0,0
0.494996,0,0,0,0
0.496530,0,0,0,0
0.498040,0,0,0,0
0.499926,0,0,0,0
0.504851,0,0,0,0
0.506253,0,0,0,0
0.507637,0,0,0,0
0.509034,0,0,0,0
0.510792,0,0,0,0
0.512173,0,0,0,0
0.514206,0,0,0,0
0.515613,0,0,0,0
0.517075,0,0,0,0
0.518461,0,0,0,0
0.519845,0,0,0,0
0.521369,0,0,0,0
0.522761,0,0,0,0
0.524107,0,0,0,0
0.525446,0,0,0,0
0.526786,0,0,0,0
0.528139,0,0,0,0
0.529480,0,0,0,0
0.530818,0,0,0,0
0.532287,0,0,0,0
0.533752,0,0,0,0
0.535154,0,0,0,0
0.536541,0,0,0,0
0.537930,0,0,0,0
0.539330,0,0,0,0
0.540716,0,0,0,0
0.542103,0,0,0,0
0.543616,0,0,0,0
0.545166,0,0,0,0
0.547032,0,0,0,0
0.548473,0,0,0,0
0.549937,0,0,0,0
0.551323,0,0,0,0
0.552707,0,0,0,0
0.554066,0,0,0,0
0.555579,0,0,0,0
0.557132,0,0,0,0
0.558682,0,0,0,0
0.560117,0,0,0,0
0.561641,0,0,0,0
0.563192,0,0,0,0
0.564741,0,0,0,0
0.566292,0,0,0,0
0.567840,0,0,0,0
0.569391,0,0,0,0
0.570956,0,0,0,0
0.572503,0,0,0,0
0.574015,0,0,0,0
0.575533,0,0,0,0
0.577084,0,0,0,0
0.578635,0,0,0,0
0.580236,0,0,0,0
0.581796,0,0,0,0
0.583347,0,0,0,0
0.584898,0,0,0,0
0.586449,0,0,0,0
0.587998,0,0,0,0
0.589550,0,0,0,0
0.591101,0,0,0,0
0.592536,0,0,0,0
0.594060,0,0,0,0
0.595604,0,0,0,0
0.597533,0,0,0,0
0.598938,0,0,0,0
0.600325,0,0,0,0
0.601710,0,0,0,0
0.603100,0,0,0,0
0.604479,0,0,0,0
0.605857,0,0,0,0
0.607235,0,0,0,0
0.608612,0,0,0,0
0.609987,0,0,0,0
0.611367,0,0,0,0
0.612844,0,0,0,0
0.614318,0,0,0,0
0.615672,0,0,0,0
0.617026,0,0,0,0
0.618380,0,0,0,0
0.619734,0,0,0,0
0.621087,0,0,0,0
0.622442,0,0,0,0
0.623794,0,0,0,0
0.625154,0,0,0,0
0.626508,0,0,0,0
0.627897,0,0,0,0
0.629236,0,0,0,0
0.630575,0,0,0,0
0.631913,0,0,0,0
0.633252,0,0,0,0
0.634593,0,0,0,0
0.635939,0,0,0,0
0.637280,0,0,0,0
0.638621,0,0,0,0
0.639961,0,0,0,0
0.641300,0,0,0,0
0.642639,0,0,0,0
0.644007,0,0,0,0
0.645418,0,0,0,0
0.646831,0,0,0,0
0.648243,0,0,0,0
0.649654,0,0,0,0
0.651063,0,0,0,0
0.652472,0,0,0,0
0.653899,0,0,0,0
0.655208,0,0,0,0
0.656528,0,0,0,0
0.657896,0,0,0,0
0.659262,0,0,0,0
0.660630,0,0,0,0
0.662063,0,0,0,0
0.663444,0,0,0,0
0.664851,0,0,0,0
0.666247,0,0,0,0
0.667781,0,0,0,84
0.669093,0,0,0,0
0.670757,0,0,0,0
0.672140,0,0,0,0
0.673522,0,0,0,0
