elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
1.097521,0,0,0,0,0,0,0,0,0,0,411557,411348,0,0
1.098996,0,0,0,0,0,0,0,0,0,0,404157,403938,0,0
1.100444,0,0,0,0,0,0,0,0,0,0,407155,406952,0,0
1.102024,0,0,0,0,0,0,0,0,0,0,413381,413172,0,0
1.103636,0,0,0,0,0,0,0,0,0,0,418783,418573,0,0
1.105265,0,0,0,0,0,0,0,0,0,0,414544,414333,0,0
1.107297,0,0,0,0,0,0,0,0,0,0,418874,418663,0,0
1.108790,0,0,0,0,0,0,0,0,0,0,406556,406348,0,0
1.110242,0,0,0,0,0,0,0,0,0,0,406379,406169,0,0
1.111688,0,0,0,0,0,0,0,0,0,0,408645,408435,0,0
1.113136,0,0,0,0,0,0,0,0,0,0,406658,406433,0,0
1.114581,0,0,0,0,0,0,0,0,0,0,405883,405686,0,0
1.116083,0,0,0,0,0,0,0,0,0,0,405051,404842,0,0
1.117661,0,0,0,0,0,0,0,0,0,0,414732,414521,0,0
1.119273,0,0,0,0,0,0,0,0,0,0,415614,415406,0,0
1.120887,0,0,0,0,0,0,0,0,0,0,414126,415219,0,0
1.122504,0,0,0,0,0,0,0,0,0,0,419642,418128,0,0
1.124123,0,0,0,0,0,0,0,0,0,0,416528,416294,0,0
1.125736,0,0,0,0,0,0,0,0,0,0,414668,414481,0,0
1.127361,0,0,0,0,0,0,0,0,0,0,414654,414465,0,0
1.128975,0,0,0,0,0,0,0,0,0,0,414866,414632,0,0
1.130589,0,0,0,0,0,0,0,0,0,0,415759,415549,0,0
1.132248,0,0,0,0,0,0,0,0,0,0,413883,413658,0,0
1.133860,0,0,0,0,0,0,0,0,0,0,426327,426132,0,0
1.135484,0,0,0,0,0,0,0,0,0,0,488412,488191,0,0
1.137063,0,0,0,0,0,0,0,0,0,0,417471,417269,0,0
1.138652,0,0,0,0,0,0,0,0,0,0,415654,415443,0,0
1.140263,0,0,0,0,0,0,0,0,0,0,415371,415161,0,0
1.141875,0,0,0,0,0,0,0,0,0,0,413166,412955,0,0
1.143486,0,0,0,0,0,0,0,0,0,0,476904,476693,0,0
1.145167,0,0,0,0,0,0,0,0,0,0,418302,418079,0,0
1.146779,0,0,0,0,0,0,0,0,0,0,416095,415899,0,0
1.148438,0,0,0,0,0,0,0,0,0,0,415851,415640,0,0
1.150065,0,0,0,0,0,0,0,0,0,0,417064,416851,0,0
1.151688,0,0,0,0,0,0,0,0,0,0,419935,419796,0,0
1.153304,0,0,0,0,0,0,0,0,0,0,414175,413893,0,0
1.154914,0,0,0,0,0,0,0,0,0,0,423174,422955,0,0
1.156416,0,0,0,0,0,0,0,0,0,0,412175,411975,0,0
1.158006,0,0,0,0,0,0,0,0,0,0,415644,415433,0,0
1.159619,0,0,0,0,0,0,0,0,0,0,418807,418598,0,0
1.161257,0,0,0,0,0,0,0,0,0,0,416614,416380,0,0
1.162870,0,0,0,0,0,0,0,0,0,0,416941,416741,0,0
1.164530,0,0,0,0,0,0,0,0,0,0,417502,417291,0,0
1.166144,0,0,0,0,0,0,0,0,0,0,414329,414133,0,0
1.167757,0,0,0,0,0,0,0,0,0,0,420004,419791,0,0
1.169371,0,0,0,0,0,0,0,0,0,0,412987,412777,0,0
1.170976,0,0,0,0,0,0,0,0,0,0,412919,412710,0,0
1.172468,0,0,0,0,0,0,0,0,0,0,406113,405902,0,0
1.174052,0,0,0,0,0,0,0,0,0,0,416678,416444,0,0
1.175663,0,0,0,0,0,0,0,0,0,0,493312,493125,0,0
1.177363,0,0,0,0,0,0,0,0,0,0,418061,417852,0,0
1.178977,0,0,0,0,0,0,0,0,0,0,415877,415651,0,0
1.180638,0,0,0,0,0,0,0,0,0,0,418352,418156,0,0
1.182253,0,0,0,0,0,0,0,0,0,0,417317,417097,0,0
1.183883,0,0,0,0,0,0,0,0,0,0,416276,416073,0,0
1.185497,0,0,0,0,0,0,0,0,0,0,415118,414909,0,0
1.187110,0,0,0,0,0,0,0,0,0,0,417489,417265,0,0
1.188726,0,0,0,0,0,0,0,0,0,0,417255,417058,0,0
1.190341,0,0,0,0,0,0,0,0,0,0,416240,416031,0,0
1.191956,0,0,0,0,0,0,0,0,0,0,414919,414708,0,0
1.193570,0,0,0,0,0,0,0,0,0,0,414988,414777,0,0
1.195066,0,0,0,0,0,0,0,0,0,0,384704,384038,0,0
1.196690,0,0,0,0,0,0,0,0,0,0,382766,382590,0,0
1.198297,0,0,0,0,0,0,0,0,0,0,383432,383266,0,0
1.199906,0,0,0,0,0,0,0,0,0,0,383317,383136,0,0
1.201514,0,0,0,0,0,0,0,0,0,0,378420,382385,0,0
1.203120,0,0,0,0,0,0,0,0,0,0,378188,378021,0,0
1.204728,0,0,0,0,0,0,0,0,0,0,383962,383754,0,0
1.206255,0,0,0,0,0,0,0,0,0,0,384061,383910,0,0
1.207865,0,0,0,0,0,0,0,0,0,0,383314,383181,0,0
1.209472,0,0,0,0,0,0,0,0,0,0,384035,383844,0,0
1.211078,0,0,0,0,0,0,0,0,0,0,382503,382316,0,0
1.212687,0,0,0,0,0,0,0,0,0,0,381956,381801,0,0
1.214294,0,0,0,0,0,0,0,0,0,0,383328,383150,0,0
1.215905,0,0,0,0,0,0,0,0,0,0,383188,383101,0,0
1.217400,0,0,0,0,0,0,0,0,0,0,375832,375628,0,0
1.218978,0,0,0,0,0,0,0,0,0,0,385304,385106,0,0
1.220589,0,0,0,0,0,0,0,0,0,0,383797,383639,0,0
1.222197,0,0,0,0,0,0,0,0,0,0,383016,382817,0,0
1.223805,0,0,0,0,0,0,0,0,0,0,437933,437768,0,0
1.225450,0,0,0,0,0,0,0,0,0,0,377638,377446,0,0
1.226898,0,0,0,0,0,0,0,0,0,0,373199,373020,0,0
1.228527,0,0,0,0,0,0,0,0,0,0,384333,384163,0,0
1.230136,0,0,0,0,0,0,0,0,0,0,382923,382756,0,0
