elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.382362,0,1625,451449,131,0,0,0,0,0,0,87,0,0,0
0.383933,0,1634,458182,132,0,0,0,0,0,0,86,0,0,0
0.385578,0,1587,457582,131,0,0,0,0,0,0,87,0,0,0
0.387185,0,1627,458633,132,0,0,0,0,0,0,86,0,0,0
0.388675,0,1586,443661,123,0,0,0,0,0,0,84,0,0,0
0.390264,0,1591,441009,131,0,0,0,0,0,0,84,0,0,0
0.391872,0,1546,437249,123,0,0,0,0,0,0,82,0,0,0
0.393479,0,1590,438280,123,0,0,0,0,0,0,84,0,0,0
0.395085,0,1589,437954,122,0,0,0,0,0,0,82,0,0,0
0.396690,0,1591,437759,123,0,0,0,0,0,0,81,0,0,0
0.398296,0,1589,438352,122,0,0,0,0,0,0,83,0,0,0
0.399923,0,1553,439478,123,0,0,0,0,0,0,81,0,0,0
0.401532,0,1591,438497,123,0,0,0,0,0,0,82,0,0,0
0.403139,0,1593,437769,124,0,0,0,0,0,0,82,0,0,0
0.404671,0,1588,440608,122,0,0,0,0,0,0,80,0,0,0
0.406276,0,1659,436776,123,0,0,0,0,0,0,84,0,0,0
0.407881,0,1591,446406,124,0,0,0,0,0,0,81,0,0,0
0.409523,0,1597,439299,123,0,0,0,0,0,0,82,0,0,0
0.411145,0,1591,437316,123,0,0,0,0,0,0,83,0,0,0
0.412749,0,1690,437336,124,0,0,0,0,0,0,84,0,0,0
0.414453,0,1672,504913,123,0,0,0,0,0,0,83,0,0,0
0.416058,0,1551,438381,123,0,0,0,0,0,0,80,0,0,0
0.417667,0,1552,437802,124,0,0,0,0,0,0,80,0,0,0
0.419273,0,1676,438146,123,0,0,0,0,0,0,84,0,0,0
0.420878,0,1593,485812,123,0,0,0,0,0,0,81,0,0,0
0.422548,0,1590,438244,123,0,0,0,0,0,0,81,0,0,0
0.424153,0,1591,438845,123,0,0,0,0,0,0,84,0,0,0
0.425763,0,1595,438161,123,0,0,0,0,0,0,82,0,0,0
0.427370,0,1591,436611,123,0,0,0,0,0,0,82,0,0,0
0.428976,0,1576,442603,123,0,0,0,0,0,0,81,0,0,0
0.430587,0,1635,439156,124,0,0,0,0,0,0,84,0,0,0
0.432191,0,1593,439131,122,0,0,0,0,0,0,81,0,0,0
0.433812,0,1593,439424,123,0,0,0,0,0,0,82,0,0,0
0.435419,0,1592,437772,123,0,0,0,0,0,0,83,0,0,0
0.437025,0,1720,486617,123,0,0,0,0,0,0,82,0,0,0
0.438681,0,1548,437481,122,0,0,0,0,0,0,80,0,0,0
0.440287,0,1592,439225,123,0,0,0,0,0,0,85,0,0,0
0.441896,0,1591,438420,123,0,0,0,0,0,0,81,0,0,0
0.443504,0,1702,437818,124,0,0,0,0,0,0,81,0,0,0
0.445205,0,1593,531140,123,0,0,0,0,0,0,80,0,0,0
0.446777,0,1596,429926,124,0,0,0,0,0,0,81,0,0,0
0.448354,0,1553,440080,123,0,0,0,0,0,0,84,0,0,0
0.450370,0,1548,432400,123,0,0,0,0,0,0,80,0,0,0
0.451967,0,1592,442449,123,0,0,0,0,0,0,82,0,0,0
0.453433,0,1588,1031270,131,0,0,0,0,0,0,81,0,0,0
0.455559,0,1591,916954,123,0,0,0,0,0,0,83,0,0,0
0.457549,0,1554,557505,124,0,0,0,0,0,0,83,0,0,0
0.459384,0,1594,468177,123,0,0,0,0,0,0,84,0,0,0
0.461368,0,1553,1608274,139,0,0,0,0,0,0,85,0,0,0
0.464050,0,1649,429378,123,0,0,0,0,0,0,81,0,0,0
0.465493,0,1593,423257,123,0,0,0,0,0,0,82,0,0,0
0.466945,0,1591,424788,122,0,0,0,0,0,0,83,0,0,0
0.468381,0,1635,424314,123,0,0,0,0,0,0,85,0,0,0
0.469817,0,1550,610275,124,0,0,0,0,0,0,80,0,0,0
0.471445,0,1591,436874,124,0,0,0,0,0,0,84,0,0,0
0.472867,0,1791,439275,123,0,0,0,0,0,0,85,0,0,0
0.474277,0,1546,431184,123,0,0,0,0,0,0,82,0,0,0
0.475674,0,1586,429205,123,0,0,0,0,0,0,81,0,0,0
0.477084,0,1696,431809,123,0,0,0,0,0,0,81,0,0,0
0.478482,0,1555,430797,122,0,0,0,0,0,0,82,0,0,0
0.479877,0,1591,431152,123,0,0,0,0,0,0,82,0,0,0
0.481275,0,1591,429347,123,0,0,0,0,0,0,84,0,0,0
0.482669,0,1591,428183,124,0,0,0,0,0,0,82,0,0,0
0.484064,0,1594,429643,123,0,0,0,0,0,0,82,0,0,0
0.485593,0,1596,452050,123,0,0,0,0,0,0,81,0,0,0
0.487567,0,1548,509410,123,0,0,0,0,0,0,82,0,0,0
0.489906,0,16948,376277,245,111,0,0,0,0,693,7817,0,0,0
0.491359,1,32590,463119,124,22,1006,351,0,0,463,1277,0,53,0
0.492991,0,1618,541283,128,0,0,0,0,0,0,81,0,0,0
0.494557,0,1690,452747,123,0,0,0,0,0,0,83,0,0,0
0.496028,0,1554,426480,124,0,0,0,0,0,0,81,0,0,0
0.497468,0,1590,424917,123,0,0,0,0,0,0,81,0,0,0
0.498906,0,1592,424621,123,0,0,0,0,0,0,82,0,0,0
0.500358,0,1658,425126,123,0,0,0,0,0,0,81,0,0,0
0.501797,0,1603,425765,123,0,0,0,0,0,0,83,0,0,0
0.503412,0,1554,452053,123,0,0,0,0,0,0,81,0,0,0
0.504860,0,1699,436333,123,0,0,0,0,0,0,81,0,0,0
0.506330,0,1588,437248,124,0,0,0,0,0,0,80,0,0,0
0.507734,0,21338,373507,181,22,930,245,0,0,341,1584,0,52,0
0.509042,0,9247,398269,124,1,134,0,0,0,124,117,0,0,0
0.510517,0,1563,442053,123,0,0,0,0,0,0,80,0,0,0
0.511961,1,38766,615241,125,117,1198,0,0,0,815,7563,0,0,0
0.513405,0,1600,458159,123,0,0,0,0,0,0,81,0,0,0
0.514812,0,1591,434063,123,0,0,0,0,0,0,82,0,0,0
0.516204,0,1725,426588,122,0,0,0,0,0,0,84,0,0,0
0.517610,0,1592,431648,123,0,0,0,0,0,0,84,0,0,0
0.519069,0,1597,425449,132,0,0,0,0,0,0,84,0,0,0
0.520571,0,1591,428399,124,0,0,0,0,0,0,81,0,0,0
0.522164,0,1675,420848,123,0,0,0,0,0,0,81,0,0,0
0.523649,0,1774,447366,123,0,0,0,0,0,0,84,0,0,0
0.525373,1,48167,764558,247,134,1509,361,0,0,1157,8847,0,53,0
0.526787,0,1707,433110,123,0,0,0,0,0,0,82,0,0,0
0.528235,0,1548,434635,123,0,0,0,0,0,0,83,0,0,0
0.529675,0,1590,424049,123,0,0,0,0,0,0,81,0,0,0
