elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.196973,0,0,0,0,0,0,0,0
0.198542,0,0,0,0,0,0,0,0
0.200110,0,0,0,0,0,0,0,0
0.201690,0,0,0,0,0,0,0,0
0.203300,0,0,0,0,0,0,0,0
0.204871,0,0,0,0,0,0,0,0
0.206438,0,0,0,0,0,0,0,0
0.208009,0,0,0,0,0,0,0,0
0.209578,0,0,0,0,0,0,0,0
0.211192,0,0,0,0,0,0,0,0
0.212777,0,0,0,0,0,0,0,0
0.214344,0,0,0,0,0,0,0,0
0.215913,0,0,0,0,0,0,0,0
0.217483,0,0,0,0,0,0,0,0
0.219097,0,0,0,0,0,0,0,0
0.220668,0,0,0,0,0,0,0,0
0.222236,0,0,0,0,0,0,0,0
0.223821,0,0,0,0,0,0,0,0
0.225392,0,0,0,0,0,0,0,0
0.227067,0,0,0,0,0,0,0,0
0.228592,0,0,0,0,0,0,0,0
0.230161,0,0,0,0,0,0,0,0
0.231732,0,0,0,0,0,0,0,0
0.233303,0,0,0,0,0,0,0,0
0.234926,0,0,0,0,0,0,0,0
0.236500,0,0,0,0,0,0,0,0
0.238069,0,0,0,0,0,0,0,0
0.239640,0,0,0,0,0,0,0,0
0.241209,0,0,0,0,0,0,0,0
0.242820,0,0,0,0,0,0,0,0
0.244394,0,0,0,0,0,0,0,0
0.246017,0,0,0,0,0,0,0,0
0.247589,0,0,0,0,0,0,0,0
0.249160,0,0,0,0,0,0,0,0
0.250728,0,0,0,0,0,0,0,0
0.252302,0,0,0,0,0,0,0,0
0.253871,0,0,0,0,0,0,0,0
0.255443,0,0,0,0,0,0,0,0
0.257027,0,0,0,0,0,0,0,0
0.258596,0,0,0,0,0,0,0,0
0.260161,0,0,0,0,0,0,0,0
0.261701,0,0,0,0,0,0,0,0
0.263272,0,0,0,0,0,0,0,0
0.264842,0,0,0,0,0,0,0,0
0.266411,0,0,0,0,0,0,0,0
0.268035,0,0,0,0,0,0,0,0
0.269605,0,0,0,0,0,0,0,0
0.271162,0,0,0,0,0,0,0,0
0.272735,0,0,0,0,0,0,0,0
0.274306,0,0,0,0,0,0,0,0
0.275880,0,0,0,0,0,0,0,0
0.277452,0,0,0,0,0,0,0,0
0.279039,0,0,0,0,0,0,0,0
0.280611,0,0,0,0,0,0,0,0
0.282182,0,0,0,0,0,0,0,0
0.283756,0,0,0,0,0,0,0,0
0.285230,0,0,0,0,0,0,0,0
0.286676,0,0,0,0,0,0,0,0
0.288184,0,0,0,0,0,0,0,0
0.289558,0,0,0,0,0,0,0,0
0.290959,0,0,0,0,0,0,0,0
0.292395,0,0,0,0,0,0,0,0
0.293776,0,0,0,0,0,0,0,0
0.295142,0,0,0,0,0,0,0,0
0.296498,0,0,0,0,0,0,0,0
0.297849,0,0,0,0,0,0,0,0
0.299245,0,0,0,0,0,0,0,0
0.300587,0,0,0,0,0,0,0,0
0.301917,0,0,0,0,0,0,0,0
0.303294,0,0,0,0,0,0,0,0
0.304623,0,0,0,0,0,0,0,0
0.305952,0,0,0,0,0,0,0,0
0.307279,0,0,0,0,0,0,0,0
0.308589,0,0,0,0,0,0,0,0
0.309897,0,0,0,0,0,0,0,0
0.311263,0,0,0,0,0,0,0,0
0.312576,0,0,0,0,0,0,0,0
0.313888,0,0,0,0,0,0,0,0
0.315190,0,0,0,0,0,0,0,0
0.316565,0,0,0,0,0,0,0,0
0.317940,0,0,0,0,0,0,0,0
0.319365,0,0,0,0,0,0,0,0
0.320741,0,0,0,0,0,0,0,0
0.322013,0,0,0,0,0,0,0,0
0.323413,0,0,0,0,0,0,0,0
0.324766,0,0,0,0,0,0,0,0
0.326125,0,0,0,0,0,0,0,0
0.327486,0,0,0,0,0,0,0,0
0.328851,0,0,0,0,0,0,0,0
0.330212,0,0,0,0,0,0,0,0
0.331616,0,0,0,0,0,0,0,0
0.333247,0,0,0,0,0,0,0,0
0.334726,0,0,0,0,0,0,0,0
0.336329,0,0,0,0,0,0,0,0
0.337736,0,0,0,0,0,0,0,0
0.339145,0,0,0,0,0,0,0,0
0.340553,0,0,0,0,0,0,0,0
0.341983,0,1560,0,0,0,0,0,480
0.343429,0,0,0,0,0,0,0,0
0.344837,0,0,0,0,0,0,0,0
0.346241,0,0,0,0,0,0,0,0
0.347648,0,0,0,0,0,0,0,0
0.349051,0,0,0,0,0,0,0,0
0.350454,0,0,0,0,0,0,0,0
0.351856,0,37710,0,0,0,0,0,1674
0.353411,0,1795982,0,0,0,0,0,7038
0.354860,0,0,0,0,0,0,0,0
0.356264,0,0,0,0,0,0,0,0
0.357674,0,0,0,0,0,0,0,0
0.359141,0,0,0,0,0,0,0,0
0.360549,0,0,0,0,0,0,0,0
0.361956,0,0,0,0,0,0,0,0
0.363362,0,0,0,0,0,0,0,0
