elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.676906,0,0,0,0,0,0,0,0
0.678479,0,0,0,0,0,0,0,0
0.680051,0,0,0,0,0,0,0,0
0.681620,0,0,0,0,0,0,0,0
0.683236,0,0,0,0,0,0,0,0
0.684808,0,0,0,0,0,0,0,0
0.686383,0,0,0,0,0,0,0,0
0.687844,0,0,0,0,0,0,0,0
0.689385,0,0,0,0,0,0,0,0
0.691003,0,0,0,0,0,0,0,0
0.692576,0,0,0,0,0,0,0,0
0.694145,0,0,0,0,0,0,0,0
0.695736,0,0,0,0,0,0,0,0
0.697306,0,0,0,0,0,0,0,0
0.698936,0,0,0,0,0,0,0,0
0.700508,0,0,0,0,0,0,0,0
0.702079,0,0,0,0,0,0,0,0
0.703655,0,0,0,0,0,0,0,0
0.705226,0,0,0,0,0,0,0,0
0.706843,0,0,0,0,0,0,0,0
0.708416,0,0,0,0,0,0,0,0
0.709999,0,0,0,0,0,0,0,0
0.711407,0,0,0,0,0,0,0,0
0.712819,0,0,0,0,0,0,0,0
0.714358,0,0,0,0,0,0,0,0
0.715847,0,0,0,0,0,0,0,0
0.717232,0,0,0,0,0,0,0,0
0.718619,0,0,0,0,0,0,0,0
0.720153,0,0,0,0,0,0,0,0
0.721560,0,0,0,0,0,0,0,0
0.723006,0,0,0,0,0,0,0,0
0.724414,0,0,0,0,0,0,0,0
0.725821,0,0,0,0,0,0,0,0
0.727226,0,0,0,0,0,0,0,0
0.728763,0,0,0,0,0,0,0,0
0.730349,0,0,0,0,0,0,0,0
0.731863,0,0,0,0,0,0,0,0
0.733429,0,0,0,0,0,0,0,0
0.735002,0,0,0,0,0,0,0,0
0.736573,0,0,0,0,0,0,0,0
0.738246,0,0,0,0,0,0,0,0
0.739802,0,0,0,0,0,0,0,0
0.741359,0,0,0,0,0,0,0,0
0.742813,0,0,0,0,0,0,0,0
0.744377,0,0,0,0,0,0,0,0
0.745948,0,0,0,0,0,0,0,0
0.747526,0,0,0,0,0,0,0,0
0.749098,0,0,0,0,0,0,0,0
0.750673,0,0,0,0,0,0,0,0
0.752260,0,0,0,0,0,0,0,0
0.753832,0,0,0,0,0,0,0,0
0.755355,0,0,0,0,0,0,0,0
0.756896,0,0,0,0,0,0,0,0
0.758620,0,0,0,0,0,0,0,0
0.760090,0,0,0,0,0,0,0,0
0.761503,0,0,0,0,0,0,0,0
0.763400,0,0,0,0,0,0,0,0
0.764815,0,0,0,0,0,0,0,0
0.766226,0,0,0,0,0,0,0,0
0.767677,0,0,0,0,0,0,0,0
0.769085,0,0,0,0,0,0,0,0
0.770496,0,0,0,0,0,0,0,0
0.772068,0,0,0,0,0,0,0,0
0.773660,0,0,0,0,0,0,0,0
0.775233,0,0,0,0,0,0,0,0
0.776807,0,0,0,0,0,0,0,0
0.778382,0,0,0,0,0,0,0,0
0.779956,0,0,0,0,0,0,0,0
0.781528,0,0,0,0,0,0,0,0
0.783101,0,0,0,0,0,0,0,0
0.784687,0,0,0,0,0,0,0,0
0.786261,0,0,0,0,0,0,0,0
0.787878,0,0,0,0,0,0,0,0
0.789450,0,0,0,0,0,0,0,0
0.791022,0,0,0,0,0,0,0,0
0.792594,0,0,0,0,0,0,0,0
0.794249,0,0,0,0,0,0,0,0
0.795793,0,0,0,0,0,0,0,0
0.797207,0,0,0,0,0,0,0,0
0.798748,0,0,0,0,0,0,0,0
0.800321,0,0,0,0,0,0,0,0
0.801892,0,0,0,0,0,0,0,0
0.803468,0,0,0,0,0,0,0,0
0.805038,0,0,0,0,0,0,0,0
0.806623,0,0,0,0,0,0,0,0
0.808194,0,0,0,0,0,0,0,0
0.809764,0,0,0,0,0,0,0,0
0.811379,0,0,0,0,0,0,0,0
0.812951,0,0,0,0,0,0,0,0
0.814523,0,0,0,0,0,0,0,0
0.816096,0,0,0,0,0,0,0,0
0.817678,0,0,0,0,0,0,0,0
0.819293,0,0,0,0,0,0,0,0
0.820866,0,0,0,0,0,0,0,0
0.822438,0,0,0,0,0,0,0,0
0.824010,0,0,0,0,0,0,0,0
0.825579,0,0,0,0,0,0,0,0
0.827193,0,0,0,0,0,0,0,0
0.828779,0,0,0,0,0,0,0,0
0.830352,0,0,0,0,0,0,0,0
0.831923,0,0,0,0,0,0,0,0
0.833493,0,0,0,0,0,0,0,0
0.835106,0,0,0,0,0,0,0,0
0.836678,0,0,0,0,0,0,0,0
0.838252,0,0,0,0,0,0,0,0
0.839838,0,0,0,0,0,0,0,0
0.841406,0,0,0,0,0,0,0,0
0.843023,0,0,0,0,0,0,0,0
0.844595,0,0,0,0,0,0,0,0
0.846247,0,0,0,0,0,0,0,0
0.847754,0,0,0,0,0,0,0,0
0.849167,0,0,0,0,0,0,0,0
0.850760,0,0,0,0,0,0,0,0
0.852331,0,0,0,0,0,0,0,0
0.853901,0,0,0,0,0,0,0,0
0.855477,0,0,0,0,0,0,0,0
0.857046,0,0,0,0,0,0,0,0
0.858661,0,0,0,0,0,0,0,0
0.860232,0,0,0,0,0,0,0,0
0.861816,0,0,0,0,0,0,0,0
0.863449,0,0,0,0,0,0,0,0
0.865018,0,0,0,0,0,0,0,0
0.866635,0,0,0,0,0,0,0,0
0.868206,0,0,0,0,0,0,0,0
0.869777,0,0,0,0,0,0,0,0
0.871347,0,0,0,0,0,0,0,0
0.872933,0,0,0,0,0,0,0,0
0.874506,0,0,0,0,0,0,0,0
0.876122,0,0,0,0,0,0,0,0
0.877692,0,0,0,0,0,0,0,0
0.879263,0,0,0,0,0,0,0,0
0.881262,0,0,0,0,0,0,0,0
0.882880,0,0,0,0,0,0,0,0
0.884466,0,0,0,0,0,0,0,0
0.886036,0,0,0,0,0,0,0,0
0.887612,0,0,0,0,0,0,0,0
0.889181,0,0,0,0,0,0,0,0
