elapsed_s,VPC_NEVER_COUNT,VPC_FE_BUSY_CYCLES,VPC_FE_WORKING_CYCLES,VPC_FE_STALL_CYCLES_VFD_WACK,VPC_FE_STARVE_CYCLES_SP,VPC_FE_PC_PRIMITIVES
0.379351,0,0,0,0,0,0
0.380783,0,0,0,0,0,0
0.382223,0,0,0,0,0,0
0.383625,0,0,0,0,0,0
0.385050,0,0,0,0,0,0
0.386444,0,0,0,0,0,0
0.387834,0,0,0,0,0,0
0.389237,0,0,0,0,0,0
0.390632,0,0,0,0,0,0
0.392026,0,0,0,0,0,0
0.393423,0,0,0,0,0,0
0.394818,0,0,0,0,0,0
0.396259,0,0,0,0,0,0
0.397658,0,0,0,0,0,0
0.399053,0,0,0,0,0,0
0.400457,0,0,0,0,0,0
0.402032,0,0,0,0,0,0
0.404286,0,0,0,0,0,0
0.405690,0,0,0,0,0,0
0.407086,0,0,0,0,0,0
0.408543,0,0,0,0,0,0
0.410067,0,0,0,0,0,0
0.411468,0,0,0,0,0,0
0.412862,0,0,0,0,0,0
0.414254,0,0,0,0,0,0
0.415648,0,0,0,0,0,0
0.417041,0,0,0,0,0,0
0.418437,0,0,0,0,0,0
0.419831,0,0,0,0,0,0
0.421226,0,0,0,0,0,0
0.422630,0,0,0,0,0,0
0.424025,0,0,0,0,0,0
0.425550,0,0,0,0,0,0
0.426986,0,0,0,0,0,0
0.428568,0,0,0,0,0,0
0.430131,0,0,0,0,0,0
0.431690,0,0,0,0,0,0
0.433142,0,0,0,0,0,0
0.434677,0,0,0,0,0,0
0.436235,0,0,0,0,0,0
0.437672,0,0,0,0,0,0
0.439275,0,0,0,0,0,0
0.440916,0,0,0,0,0,0
0.442407,0,0,0,0,0,0
0.443972,0,0,0,0,0,0
0.445582,0,0,0,0,0,0
0.447144,0,0,0,0,0,0
0.448707,0,0,0,0,0,0
0.450259,0,0,0,0,0,0
0.451809,0,0,0,0,0,0
0.453238,0,0,0,0,0,0
0.454778,0,0,0,0,0,0
0.456211,0,0,0,0,0,0
0.457797,0,0,0,0,0,0
0.459357,0,0,0,0,0,0
0.460961,0,0,0,0,0,0
0.462524,0,0,0,0,0,0
0.464084,0,0,0,0,0,0
0.465657,0,0,0,0,0,0
0.467218,0,0,0,0,0,0
0.468782,0,0,0,0,0,0
0.470344,0,0,0,0,0,0
0.471904,0,0,0,0,0,0
0.473464,0,0,0,0,0,0
0.475026,0,0,0,0,0,0
0.476643,0,0,0,0,0,0
0.478205,0,0,0,0,0,0
0.479765,0,0,0,0,0,0
0.481327,0,0,0,0,0,0
0.482888,0,0,0,0,0,0
0.484448,0,0,0,0,0,0
0.486054,0,0,0,0,0,0
0.487502,0,0,0,0,0,0
0.489037,0,0,0,0,0,0
0.490599,0,0,0,0,0,0
0.492156,0,0,0,0,0,0
0.493769,0,0,0,0,0,0
0.495327,0,0,0,0,0,0
0.496890,0,0,0,0,0,0
0.498457,0,0,0,0,0,0
0.500006,0,0,0,0,0,0
0.501437,0,0,0,0,0,0
0.503031,0,0,0,0,0,0
0.504594,0,0,0,0,0,0
0.506155,0,0,0,0,0,0
0.507715,0,0,0,0,0,0
0.509290,0,0,0,0,0,0
0.510851,0,0,0,0,0,0
0.512410,0,0,0,0,0,0
0.513976,0,0,0,0,0,0
0.515535,0,0,0,0,0,0
0.517098,0,0,0,0,0,0
0.518660,0,0,0,0,0,0
0.520231,0,0,0,0,0,0
0.521793,0,0,0,0,0,0
0.523342,0,0,0,0,0,0
0.524773,0,0,0,0,0,0
0.526304,0,0,0,0,0,0
0.527863,0,0,0,0,0,0
0.529424,0,0,0,0,0,0
0.530997,0,0,0,0,0,0
0.532560,0,0,0,0,0,0
0.534121,0,0,0,0,0,0
0.535681,0,0,0,0,0,0
0.537244,0,0,0,0,0,0
0.538806,0,0,0,0,0,0
0.540408,0,0,0,0,0,0
0.541986,0,0,0,0,0,0
0.543545,0,0,0,0,0,0
0.545109,0,0,0,0,0,0
0.546671,0,0,0,0,0,0
0.548229,0,0,0,0,0,0
0.549794,0,0,0,0,0,0
0.551352,0,0,0,0,0,0
0.552926,0,0,0,0,0,0
0.554487,0,0,0,0,0,0
0.556046,0,0,0,0,0,0
0.557608,0,0,0,0,0,0
0.559168,0,0,0,0,0,0
0.560728,0,0,0,0,0,0
0.562288,0,0,0,0,0,0
0.563859,0,0,0,0,0,0
0.565420,0,0,0,0,0,0
0.566981,0,0,0,0,0,0
0.568545,0,0,0,0,0,0
0.570009,0,0,0,0,0,0
0.571401,0,0,0,0,0,0
0.572834,0,0,0,0,0,0
0.574244,0,0,0,0,0,0
0.575599,0,0,0,0,0,0
0.576949,0,0,0,0,0,0
0.578300,0,0,0,0,0,0
0.579649,0,0,0,0,0,0
0.580997,0,0,0,0,0,0
0.582346,0,0,0,0,0,0
0.583693,0,0,0,0,0,0
0.585051,0,0,0,0,0,0
0.586400,0,0,0,0,0,0
0.587746,0,0,0,0,0,0
0.589130,0,0,0,0,0,0
0.590451,0,0,0,0,0,0
0.591772,0,0,0,0,0,0
0.593140,0,0,0,0,0,0
0.594461,0,0,0,0,0,0
0.595790,0,0,0,0,0,0
0.597111,0,0,0,0,0,0
0.598431,0,0,0,0,0,0
0.599749,0,0,0,0,0,0
0.601116,0,0,0,0,0,0
0.602435,0,0,0,0,0,0
0.603754,0,0,0,0,0,0
0.605070,0,0,0,0,0,0
0.606381,0,0,0,0,0,0
0.607684,0,0,0,0,0,0
0.609041,0,0,0,0,0,0
0.610345,0,0,0,0,0,0
0.611649,0,0,0,0,0,0
0.612954,0,0,0,0,0,0
0.614258,0,0,0,0,0,0
0.615560,0,0,0,0,0,0
0.616918,0,0,0,0,0,0
0.618221,0,0,0,0,0,0
0.619524,0,0,0,0,0,0
0.620816,0,0,0,0,0,0
0.622185,0,0,0,0,0,0
0.623446,0,0,0,0,0,0
0.624864,0,0,0,0,0,0
0.626232,0,0,0,0,0,0
0.627545,0,0,0,0,0,0
0.628965,0,0,0,0,0,0
0.630338,0,0,0,0,0,0
0.631774,0,0,0,0,0,0
0.633151,0,0,0,0,0,0
0.634518,0,0,0,0,0,0
0.635885,0,0,0,0,0,0
0.637219,0,0,0,0,0,0
0.638586,0,0,0,0,0,0
0.639936,0,0,0,0,0,0
0.641287,0,0,0,0,0,0
0.642638,0,0,0,0,0,0
0.644005,0,2007,507,0,0,0
0.645360,0,0,0,0,0,0
0.646712,0,0,0,0,0,0
0.648060,0,0,0,0,0,0
0.649421,0,0,0,0,0,0
0.650773,0,0,0,0,0,0
0.652124,0,0,0,0,0,0
0.653665,0,9027,5771,0,0,0
0.654929,0,2616,1950,0,0,0
0.656331,0,0,0,0,0,0
0.657758,0,0,0,0,0,0
0.659159,0,0,0,0,0,0
0.660569,0,0,0,0,0,0
0.661967,0,0,0,0,0,0
0.663363,0,0,0,0,0,0
0.664758,0,0,0,0,0,0
0.666263,0,0,0,0,0,0
0.667687,0,0,0,0,0,0
0.671050,0,0,0,0,0,0
0.672451,0,0,0,0,0,0
0.673839,0,0,0,0,0,0
0.675225,0,0,0,0,0,0
0.676613,0,0,0,0,0,0
0.678004,0,0,0,0,0,0
0.679393,0,0,0,0,0,0
0.682637,0,0,0,0,0,0
0.684037,0,0,0,0,0,0
0.685477,0,0,0,0,0,0
0.686876,0,0,0,0,0,0
0.688273,0,0,0,0,0,0
0.689670,0,0,0,0,0,0
0.691061,0,0,0,0,0,0
0.692451,0,0,0,0,0,0
0.693927,0,0,0,0,0,0
0.695340,0,0,0,0,0,0
0.696732,0,0,0,0,0,0
0.698123,0,0,0,0,0,0
0.699512,0,0,0,0,0,0
0.700919,0,0,0,0,0,0
0.702377,0,0,0,0,0,0
0.704525,0,0,0,0,0,0
