elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.266549,0,0,0,0,0,0,0,0,0,0,0
0.267990,0,0,0,0,0,0,0,0,0,0,0
0.269164,0,0,0,0,0,0,0,0,0,0,0
0.270630,0,0,0,0,0,0,0,0,0,0,0
0.272022,0,0,0,0,0,0,0,0,0,0,0
0.273410,0,0,0,0,0,0,0,0,0,0,0
0.274799,0,0,0,0,0,0,0,0,0,0,0
0.276186,0,0,0,0,0,0,0,0,0,0,0
0.277612,0,0,0,0,0,0,0,0,0,0,0
0.278985,0,0,0,0,0,0,0,0,0,0,0
0.280377,0,0,0,0,0,0,0,0,0,0,0
0.281751,0,0,0,0,0,0,0,0,0,0,0
0.282986,0,0,0,0,0,0,0,0,0,0,0
0.284367,0,0,0,0,0,0,0,0,0,0,0
0.285937,0,0,0,0,0,0,0,0,0,0,0
0.287391,0,0,0,0,0,0,0,0,0,0,0
0.288786,0,0,0,0,0,0,0,0,0,0,0
0.290178,0,0,0,0,0,0,0,0,0,0,0
0.291567,0,0,0,0,0,0,0,0,0,0,0
0.292989,0,0,0,0,0,0,0,0,0,0,0
0.294446,0,0,0,0,0,0,0,0,0,0,0
0.295877,0,0,0,0,0,0,0,0,0,0,0
0.297298,0,0,0,0,0,0,0,0,0,0,0
0.298753,0,0,0,0,0,0,0,0,0,0,0
0.300170,0,0,0,0,0,0,0,0,0,0,0
0.301615,0,0,0,0,0,0,0,0,0,0,0
0.303041,0,0,0,0,0,0,0,0,0,0,0
0.304456,0,0,0,0,0,0,0,0,0,0,0
0.305880,0,0,0,0,0,0,0,0,0,0,0
