elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.595771,0,0,0,0,0,0,0,0
0.597340,0,0,0,0,0,0,0,0
0.598910,0,0,0,0,0,0,0,0
0.600496,0,0,0,0,0,0,0,0
0.602067,0,0,0,0,0,0,0,0
0.603638,0,0,0,0,0,0,0,0
0.605205,0,0,0,0,0,0,0,0
0.606821,0,0,0,0,0,0,0,0
0.608393,0,0,0,0,0,0,0,0
0.609961,0,0,0,0,0,0,0,0
0.611588,0,0,0,0,0,0,0,0
0.613158,0,0,0,0,0,0,0,0
0.614730,0,0,0,0,0,0,0,0
0.616300,0,0,0,0,0,0,0,0
0.617868,0,0,0,0,0,0,0,0
0.619443,0,0,0,0,0,0,0,0
0.621012,0,0,0,0,0,0,0,0
0.622640,0,0,0,0,0,0,0,0
0.624212,0,0,0,0,0,0,0,0
0.625780,0,0,0,0,0,0,0,0
0.627354,0,0,0,0,0,0,0,0
0.628922,0,0,0,0,0,0,0,0
0.630448,0,0,0,0,0,0,0,0
0.631850,0,0,0,0,0,0,0,0
0.633270,0,0,0,0,0,0,0,0
0.634810,0,0,0,0,0,0,0,0
0.636379,0,0,0,0,0,0,0,0
0.637947,0,0,0,0,0,0,0,0
0.639518,0,0,0,0,0,0,0,0
0.641086,0,0,0,0,0,0,0,0
0.642658,0,0,0,0,0,0,0,0
0.644242,0,0,0,0,0,0,0,0
0.645811,0,0,0,0,0,0,0,0
0.647384,0,0,0,0,0,0,0,0
0.648950,0,0,0,0,0,0,0,0
0.650522,0,0,0,0,0,0,0,0
0.651971,0,0,0,0,0,0,0,0
0.653512,0,0,0,0,0,0,0,0
0.654973,0,0,0,0,0,0,0,0
0.656513,0,0,0,0,0,0,0,0
0.658083,0,0,0,0,0,0,0,0
0.659653,0,0,0,0,0,0,0,0
0.661219,0,0,0,0,0,0,0,0
0.662666,0,0,0,0,0,0,0,0
0.664212,0,0,0,0,0,0,0,0
0.665794,0,0,0,0,0,0,0,0
0.667368,0,0,0,0,0,0,0,0
0.668936,0,0,0,0,0,0,0,0
0.670552,0,0,0,0,0,0,0,0
0.672122,0,0,0,0,0,0,0,0
0.673690,0,0,0,0,0,0,0,0
0.675204,0,0,0,0,0,0,0,0
0.676753,0,0,0,0,0,0,0,0
0.678324,0,0,0,0,0,0,0,0
0.679894,0,0,0,0,0,0,0,0
0.681462,0,0,0,0,0,0,0,0
0.683031,0,0,0,0,0,0,0,0
0.684600,0,0,0,0,0,0,0,0
0.686171,0,0,0,0,0,0,0,0
0.687673,0,0,0,0,0,0,0,0
0.689212,0,0,0,0,0,0,0,0
0.690657,0,0,0,0,0,0,0,0
0.692190,0,0,0,0,0,0,0,0
0.693751,0,0,0,0,0,0,0,0
0.695379,0,0,0,0,0,0,0,0
0.696949,0,0,0,0,0,0,0,0
0.698536,0,0,0,0,0,0,0,0
0.700109,0,0,0,0,0,0,0,0
0.701679,0,0,0,0,0,0,0,0
0.703307,0,0,0,0,0,0,0,0
0.704878,0,0,0,0,0,0,0,0
0.706452,0,0,0,0,0,0,0,0
0.708025,0,0,0,0,0,0,0,0
0.709610,0,0,0,0,0,0,0,0
0.711182,0,0,0,0,0,0,0,0
0.712755,0,0,0,0,0,0,0,0
0.714328,0,0,0,0,0,0,0,0
0.715901,0,0,0,0,0,0,0,0
0.717472,0,0,0,0,0,0,0,0
0.719087,0,0,0,0,0,0,0,0
0.720675,0,0,0,0,0,0,0,0
0.722248,0,0,0,0,0,0,0,0
0.723811,0,0,0,0,0,0,0,0
0.725373,0,0,0,0,0,0,0,0
0.726817,0,0,0,0,0,0,0,0
0.728391,0,0,0,0,0,0,0,0
0.729963,0,0,0,0,0,0,0,0
0.731363,0,0,0,0,0,0,0,0
0.732775,0,0,0,0,0,0,0,0
0.734316,0,0,0,0,0,0,0,0
0.735932,0,0,0,0,0,0,0,0
0.737503,0,0,0,0,0,0,0,0
0.739075,0,0,0,0,0,0,0,0
0.740648,0,0,0,0,0,0,0,0
0.742237,0,0,0,0,0,0,0,0
0.743810,0,0,0,0,0,0,0,0
0.745380,0,0,0,0,0,0,0,0
0.746993,0,0,0,0,0,0,0,0
0.748566,0,0,0,0,0,0,0,0
0.750140,0,0,0,0,0,0,0,0
0.751758,0,0,0,0,0,0,0,0
0.753342,0,0,0,0,0,0,0,0
0.754914,0,0,0,0,0,0,0,0
0.756487,0,0,0,0,0,0,0,0
0.758061,0,0,0,0,0,0,0,0
0.759634,0,0,0,0,0,0,0,0
0.761204,0,0,0,0,0,0,0,0
0.762779,0,0,0,0,0,0,0,0
0.764365,0,0,0,0,0,0,0,0
0.765935,0,0,0,0,0,0,0,0
0.767512,0,0,0,0,0,0,0,0
0.769084,0,0,0,0,0,0,0,0
0.770657,0,0,0,0,0,0,0,0
0.772230,0,0,0,0,0,0,0,0
0.773800,0,0,0,0,0,0,0,0
0.775392,0,0,0,0,0,0,0,0
0.776963,0,0,0,0,0,0,0,0
0.778537,0,0,0,0,0,0,0,0
0.780110,0,0,0,0,0,0,0,0
0.781680,0,0,0,0,0,0,0,0
0.783340,0,0,0,0,0,0,0,0
0.784912,0,0,0,0,0,0,0,0
0.786500,0,0,0,0,0,0,0,0
0.788072,0,0,0,0,0,0,0,0
0.789642,0,0,0,0,0,0,0,0
0.791264,0,0,0,0,0,0,0,0
0.792834,0,0,0,0,0,0,0,0
0.794406,0,0,0,0,0,0,0,0
0.795977,0,0,0,0,0,0,0,0
0.797561,0,0,0,0,0,0,0,0
0.799177,0,0,0,0,0,0,0,0
0.800748,0,0,0,0,0,0,0,0
0.802321,0,0,0,0,0,0,0,0
0.803892,0,0,0,0,0,0,0,0
0.805462,0,0,0,0,0,0,0,0
0.807033,0,0,0,0,0,0,0,0
0.808620,0,0,0,0,0,0,0,0
0.810193,0,0,0,0,0,0,0,0
0.811764,0,0,0,0,0,0,0,0
0.813333,0,0,0,0,0,0,0,0
0.814947,0,0,0,0,0,0,0,0
0.816517,0,0,0,0,0,0,0,0
0.818089,0,0,0,0,0,0,0,0
0.819674,0,0,0,0,0,0,0,0
0.821243,0,0,0,0,0,0,0,0
0.822818,0,0,0,0,0,0,0,0
0.824390,0,0,0,0,0,0,0,0
0.825959,0,0,0,0,0,0,0,0
0.827356,0,0,0,0,0,0,0,0
0.828768,0,0,0,0,0,0,0,0
0.830316,0,0,0,0,0,0,0,0
