elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.476454,0,0,0,0,0,0,0,0
0.478026,0,0,0,0,0,0,0,0
0.479596,0,0,0,0,0,0,0,0
0.481169,0,0,0,0,0,0,0,0
0.482741,0,0,0,0,0,0,0,0
0.484312,0,0,0,0,0,0,0,0
0.485799,0,0,0,0,0,0,0,0
0.487225,0,0,0,0,0,0,0,0
0.488812,0,0,0,0,0,0,0,0
0.490386,0,0,0,0,0,0,0,0
0.491957,0,0,0,0,0,0,0,0
0.493530,0,0,0,0,0,0,0,0
0.495102,0,0,0,0,0,0,0,0
0.496676,0,0,0,0,0,0,0,0
0.498263,0,0,0,0,0,0,0,0
0.499835,0,0,0,0,0,0,0,0
0.501407,0,0,0,0,0,0,0,0
0.502979,0,0,0,0,0,0,0,0
0.504554,0,0,0,0,0,0,0,0
0.506169,0,0,0,0,0,0,0,0
0.507740,0,0,0,0,0,0,0,0
0.509325,0,0,0,0,0,0,0,0
0.510898,0,0,0,0,0,0,0,0
0.512471,0,0,0,0,0,0,0,0
0.514044,0,0,0,0,0,0,0,0
0.515615,0,0,0,0,0,0,0,0
0.517190,0,0,0,0,0,0,0,0
0.518763,0,0,0,0,0,0,0,0
0.520414,0,0,0,0,0,0,0,0
0.522095,0,0,0,0,0,0,0,0
0.523666,0,0,0,0,0,0,0,0
0.525239,0,0,0,0,0,0,0,0
0.526812,0,0,0,0,0,0,0,0
0.528387,0,0,0,0,0,0,0,0
0.529960,0,0,0,0,0,0,0,0
0.531544,0,0,0,0,0,0,0,0
0.533118,0,0,0,0,0,0,0,0
0.534691,0,0,0,0,0,0,0,0
0.536262,0,0,0,0,0,0,0,0
0.537992,0,0,0,0,0,0,0,0
0.539407,0,0,0,0,0,0,0,0
0.540947,0,0,0,0,0,0,0,0
0.542535,0,0,0,0,0,0,0,0
0.544106,0,0,0,0,0,0,0,0
0.545683,0,0,0,0,0,0,0,0
0.547254,0,0,0,0,0,0,0,0
0.548828,0,0,0,0,0,0,0,0
0.550391,0,0,0,0,0,0,0,0
0.551953,0,0,0,0,0,0,0,0
0.553453,0,0,0,0,0,0,0,0
0.554995,0,0,0,0,0,0,0,0
0.556567,0,0,0,0,0,0,0,0
0.558138,0,0,0,0,0,0,0,0
0.559707,0,0,0,0,0,0,0,0
0.561277,0,0,0,0,0,0,0,0
0.562846,0,0,0,0,0,0,0,0
0.564432,0,0,0,0,0,0,0,0
0.566003,0,0,0,0,0,0,0,0
0.567571,0,0,0,0,0,0,0,0
0.569187,0,0,0,0,0,0,0,0
0.570759,0,0,0,0,0,0,0,0
0.572328,0,0,0,0,0,0,0,0
0.573921,0,0,0,0,0,0,0,0
0.575503,0,0,0,0,0,0,0,0
0.577075,0,0,0,0,0,0,0,0
0.578646,0,0,0,0,0,0,0,0
0.580215,0,0,0,0,0,0,0,0
0.581790,0,0,0,0,0,0,0,0
0.583358,0,0,0,0,0,0,0,0
0.584974,0,0,0,0,0,0,0,0
0.586558,0,0,0,0,0,0,0,0
0.588127,0,0,0,0,0,0,0,0
0.589701,0,0,0,0,0,0,0,0
0.591269,0,0,0,0,0,0,0,0
0.592842,0,0,0,0,0,0,0,0
0.594412,0,0,0,0,0,0,0,0
0.595982,0,0,0,0,0,0,0,0
