elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.165985,0,0,0,0
0.167404,0,0,0,0
0.168924,0,0,0,0
0.170473,0,0,0,0
0.172039,0,0,0,0
0.173587,0,0,0,0
0.175184,0,0,0,0
0.176749,0,0,0,0
0.178299,0,0,0,0
0.179853,0,0,0,0
0.181401,0,0,0,0
0.182953,0,0,0,0
0.184503,0,0,0,0
0.186051,0,0,0,0
0.187615,0,0,0,0
0.189165,0,0,0,0
0.190716,0,0,0,0
0.192269,0,0,0,0
0.193818,0,0,0,0
0.195369,0,0,0,0
0.196909,0,0,0,0
0.198464,0,0,0,0
0.199857,0,0,0,0
0.201290,0,0,0,0
0.202683,0,0,0,0
0.204072,0,0,0,0
0.205458,0,0,0,0
0.206847,0,0,0,0
0.208275,0,0,0,0
0.209799,0,0,0,0
0.211351,0,0,0,0
0.212902,0,0,0,0
0.214451,0,0,0,0
0.216043,0,0,0,0
0.217592,0,0,0,0
0.219144,0,0,0,0
0.220708,0,0,0,0
0.222256,0,0,0,0
0.223812,0,0,0,0
0.225361,0,0,0,0
0.226913,0,0,0,0
0.228463,0,0,0,0
0.230012,0,0,0,0
0.231575,0,0,0,0
0.233126,0,0,0,0
0.234678,0,0,0,0
0.236229,0,0,0,0
0.237778,0,0,0,0
0.239373,0,0,0,0
0.240924,0,0,0,0
0.242486,0,0,0,0
0.244105,0,0,0,0
0.245497,0,0,0,0
0.247015,0,0,0,0
0.248566,0,0,0,0
0.250115,0,0,0,0
0.251665,0,0,0,0
0.253228,0,0,0,0
0.254780,0,0,0,0
0.256376,0,0,0,0
0.257925,0,0,0,0
0.259475,0,0,0,0
0.261025,0,0,0,0
0.262577,0,0,0,0
0.264142,0,0,0,0
0.265690,0,0,0,0
0.267241,0,0,0,0
0.268792,0,0,0,0
0.270340,0,0,0,0
0.271933,0,0,0,0
0.273481,0,0,0,0
0.275046,0,0,0,0
0.276596,0,0,0,0
0.278144,0,0,0,0
0.279692,0,0,0,0
0.281242,0,0,0,0
0.282793,0,0,0,0
0.284343,0,0,0,0
0.285904,0,0,0,0
0.287497,0,0,0,0
0.289048,0,0,0,0
0.290599,0,0,0,0
0.292139,0,0,0,0
0.293676,0,0,0,0
0.295097,0,0,0,0
0.296629,0,0,0,0
0.298176,0,0,0,0
0.299778,0,0,0,0
0.301323,0,0,0,0
0.302874,0,0,0,0
0.304423,0,0,0,0
0.305971,0,0,0,0
0.307532,0,0,0,0
0.309081,0,0,0,0
0.310632,0,0,0,0
0.312180,0,0,0,0
0.313727,0,0,0,0
0.315276,0,0,0,0
0.316825,0,0,0,0
0.318385,0,0,0,0
0.319940,0,0,0,0
0.321488,0,0,0,0
0.322916,0,0,0,0
0.324438,0,0,0,0
0.325986,0,0,0,0
0.327537,0,0,0,0
0.329100,0,0,0,0
0.330652,0,0,0,0
0.332201,0,0,0,0
0.333749,0,0,0,0
0.335344,0,0,0,0
0.336895,0,0,0,0
0.338444,0,0,0,0
0.340009,0,0,0,0
0.341558,0,0,0,0
0.343109,0,0,0,0
0.344660,0,0,0,0
0.346209,0,0,0,0
0.347846,0,0,0,0
0.349394,0,0,0,0
0.351002,0,0,0,0
0.352552,0,0,0,0
0.354101,0,0,0,0
0.355650,0,0,0,0
0.357191,0,0,0,0
0.358707,0,0,0,0
0.360136,0,0,0,0
0.361673,0,0,0,0
0.363271,0,0,0,0
0.364821,0,0,0,0
0.366369,0,0,0,0
0.367926,0,0,0,0
0.369475,0,0,0,0
0.371027,0,0,0,0
0.372590,0,0,0,0
0.374138,0,0,0,0
0.375560,0,0,0,0
0.377079,0,0,0,0
0.378631,0,0,0,0
0.380182,0,0,0,0
0.381731,0,0,0,0
0.383337,0,0,0,0
0.384888,0,0,0,0
0.386435,0,0,0,0
0.387990,0,0,0,0
0.389539,0,0,0,0
0.391090,0,0,0,0
0.392640,0,0,0,0
0.394201,0,0,0,0
0.395849,0,0,0,0
0.397398,0,0,0,0
0.398992,0,0,0,0
0.400542,0,0,0,0
0.402090,0,0,0,0
0.403640,0,0,0,0
0.405205,0,0,0,0
0.406756,0,0,0,0
0.408306,0,0,0,0
0.409854,0,0,0,0
0.411404,0,0,0,0
0.412953,0,0,0,0
0.414568,0,0,0,0
0.416117,0,0,0,0
0.417636,0,0,0,0
0.419188,0,0,0,0
0.420738,0,0,0,0
0.422286,0,0,0,0
0.423840,0,0,0,0
0.425388,0,0,0,0
0.426953,0,0,0,0
0.428502,0,0,0,0
0.430051,0,0,0,0
0.431645,0,0,0,0
0.433196,0,0,0,0
0.434748,0,0,0,0
0.436297,0,0,0,0
0.437859,0,0,0,0
0.439408,0,0,0,0
0.440958,0,0,0,0
0.442588,0,0,0,0
0.443984,0,0,0,0
0.445374,0,0,0,0
0.446891,0,0,0,0
0.448455,0,0,0,0
0.450004,0,0,0,0
0.451554,0,0,0,0
0.453104,0,0,0,0
0.454655,0,0,0,0
0.456205,0,0,0,0
0.457753,0,0,0,0
0.459319,0,0,0,0
0.460870,0,0,0,0
0.462417,0,0,0,0
0.463972,0,0,0,0
0.465520,0,0,0,0
0.467072,0,0,0,0
0.468622,0,0,0,0
0.470186,0,0,0,0
0.471803,0,0,0,0
0.473351,0,0,0,0
0.474903,0,0,0,0
0.476452,0,0,0,0
0.478000,0,0,0,0
0.479592,0,0,0,0
0.481158,0,0,0,0
0.482709,0,0,0,0
0.484259,0,0,0,0
0.485805,0,0,0,0
0.487356,0,0,0,0
0.488903,0,0,0,0
0.490449,0,0,0,0
0.491862,0,0,0,0
0.493253,0,0,0,0
0.494769,0,0,0,0
0.496362,0,0,0,0
0.497908,0,0,0,0
0.499456,0,0,0,0
0.501005,0,0,0,0
0.502568,0,0,0,0
0.504116,0,0,0,0
0.505662,0,0,0,0
0.507212,0,0,0,0
0.508760,0,0,0,0
0.510306,0,0,0,0
0.511859,0,0,0,0
0.513418,0,0,0,0
0.514968,0,0,0,0
0.516516,0,0,0,0
0.518062,0,0,0,0
0.519610,0,0,0,0
0.521158,0,0,0,0
0.522707,0,0,0,0
0.524268,0,0,0,0
0.525815,0,0,0,0
0.527404,0,0,0,0
0.528953,0,0,0,0
0.530581,0,0,0,0
0.531976,0,0,0,0
0.533365,0,0,0,0
0.534890,0,0,0,0
0.536437,0,0,0,0
0.537984,0,0,0,0
0.539532,0,0,0,0
0.541080,0,0,0,0
0.542629,0,0,0,0
0.544245,0,0,0,0
0.545808,0,0,0,0
0.547358,0,0,0,0
0.548907,0,0,0,0
0.550452,0,0,0,0
0.552043,0,0,0,0
0.553590,0,0,0,0
0.555140,0,0,0,0
0.556702,0,0,0,0
0.558249,0,0,0,0
0.559810,0,0,0,0
0.561293,0,0,0,0
0.562708,0,0,0,0
0.564857,0,0,0,0
0.566277,0,0,0,0
0.567897,0,0,0,0
0.569443,0,0,0,0
0.570992,0,0,0,0
0.572540,0,0,0,0
0.574086,0,0,0,0
0.575680,0,0,0,0
0.577228,0,0,0,0
0.578791,0,0,0,0
0.580681,0,0,0,0
0.582115,0,0,0,0
0.583504,0,0,0,0
0.585020,0,0,0,0
0.586570,0,0,0,0
0.588117,0,0,0,0
0.589677,0,0,0,0
0.591270,0,0,0,0
0.592819,0,0,0,0
0.594366,0,0,0,0
0.595919,0,0,0,0
0.597465,0,0,0,0
0.599015,0,0,0,0
0.600577,0,0,0,0
0.602122,0,0,0,0
0.603669,0,0,0,0
0.605218,0,0,0,0
0.606767,0,0,0,0
0.608362,0,0,0,0
0.609909,0,0,0,0
0.611471,0,0,0,0
0.613020,0,0,0,0
0.614570,0,0,0,0
0.616119,0,0,0,0
0.618052,0,0,0,0
0.619473,0,0,0,0
0.620991,0,0,0,0
0.622553,0,0,0,0
0.624100,0,0,0,0
0.625646,0,0,0,0
0.627195,0,0,0,0
0.628656,0,0,0,0
0.630205,0,0,0,0
0.631718,0,0,0,0
0.633245,0,0,0,0
0.634798,0,0,0,0
0.636349,0,0,0,0
0.637897,0,0,0,0
0.639489,0,0,0,0
0.641040,0,0,0,0
0.642592,0,0,0,0
0.644156,0,0,0,0
0.645706,0,0,0,0
0.647258,0,0,0,0
0.648809,0,0,0,0
0.650357,0,0,0,0
0.651912,0,0,0,0
0.653461,0,0,0,0
0.655068,0,0,0,0
0.656619,0,0,0,0
0.658166,0,0,0,0
0.659776,0,0,0,0
0.661327,0,0,0,0
0.662878,0,0,0,0
0.664429,0,0,0,0
0.665989,0,0,0,0
0.667540,0,0,0,0
0.669092,0,0,0,0
0.670643,0,0,0,0
0.672238,0,0,0,0
0.673787,0,0,0,0
0.675339,0,0,0,0
0.676894,0,0,0,0
0.678432,0,0,0,0
0.679878,0,0,0,0
0.681269,0,0,0,0
0.682787,0,0,0,0
0.684338,0,0,0,0
