elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.128147,0,0,0,0
0.129526,0,0,0,0
0.131012,0,0,0,0
0.132396,0,0,0,0
0.133819,0,0,0,0
0.135202,0,0,0,0
0.136585,0,0,0,0
0.138015,0,0,0,0
0.139407,0,0,0,0
0.140919,0,0,0,0
0.142470,0,0,0,0
0.144020,0,0,0,0
0.145566,0,0,0,0
0.147119,0,0,0,0
0.148666,0,0,0,0
0.150230,0,0,0,0
0.151779,0,0,0,0
0.153325,0,0,0,0
0.154919,0,0,0,0
0.156467,0,0,0,0
0.158017,0,0,0,0
0.159565,0,0,0,0
0.161002,0,0,0,0
0.162534,0,0,0,0
0.164075,0,0,0,0
0.165615,0,0,0,0
0.167075,0,0,0,0
0.168586,0,0,0,0
0.170008,0,0,0,0
0.171415,0,0,0,0
0.172804,0,0,0,0
0.174193,0,0,0,0
0.175580,0,0,0,0
0.176967,0,0,0,0
0.178356,0,0,0,0
0.179926,0,0,0,0
0.181475,0,0,0,0
0.183117,0,0,0,0
0.184666,0,0,0,0
0.186261,0,0,0,0
0.187812,0,0,0,0
0.189361,0,0,0,0
0.190911,0,0,0,0
0.192462,0,0,0,0
0.194026,0,0,0,0
0.195577,0,0,0,0
0.197126,0,0,0,0
0.198677,0,0,0,0
0.200228,0,0,0,0
0.201823,0,0,0,0
0.203375,0,0,0,0
0.204937,0,0,0,0
0.206490,0,0,0,0
0.208040,0,0,0,0
0.209589,0,0,0,0
0.211145,0,0,0,0
0.212693,0,0,0,0
0.214245,0,0,0,0
0.215808,0,0,0,0
0.217358,0,0,0,0
0.218956,0,0,0,0
0.220508,0,0,0,0
0.222060,0,0,0,0
0.223602,0,0,0,0
0.225141,0,0,0,0
0.226572,0,0,0,0
0.227969,0,0,0,0
0.230151,0,0,0,0
0.231707,0,0,0,0
0.233255,0,0,0,0
0.234848,0,0,0,0
0.236397,0,0,0,0
0.237961,0,0,0,0
0.239510,0,0,0,0
0.241059,0,0,0,0
0.242607,0,0,0,0
0.244158,0,0,0,0
0.245705,0,0,0,0
0.247269,0,0,0,0
0.248726,0,0,0,0
0.250166,0,0,0,0
0.251684,0,0,0,0
0.253233,0,0,0,0
0.254782,0,0,0,0
0.256332,0,0,0,0
0.257883,0,0,0,0
0.259448,0,0,0,0
0.260998,0,0,0,0
0.262549,0,0,0,0
0.264100,0,0,0,0
0.265692,0,0,0,0
0.267248,0,0,0,0
0.268797,0,0,0,0
0.270362,0,0,0,0
0.271912,0,0,0,0
0.273461,0,0,0,0
0.274960,0,0,0,0
0.276481,0,0,0,0
0.278032,0,0,0,0
0.279582,0,0,0,0
0.281144,0,0,0,0
0.282695,0,0,0,0
0.284245,0,0,0,0
0.285847,0,0,0,0
0.287393,0,0,0,0
0.288939,0,0,0,0
0.290490,0,0,0,0
0.291929,0,0,0,0
0.293448,0,0,0,0
0.295054,0,0,0,0
0.296602,0,0,0,0
0.298194,0,0,0,0
0.299743,0,0,0,0
0.301290,0,0,0,0
0.302851,0,0,0,0
0.304400,0,0,0,0
0.305950,0,0,0,0
0.307499,0,0,0,0
0.309050,0,0,0,0
0.310469,0,0,0,0
0.311860,0,0,0,0
0.313252,0,0,0,0
0.314675,0,0,0,0
0.316055,0,0,0,0
0.317432,0,0,0,0
0.318809,0,0,0,0
0.320188,0,0,0,0
0.321566,0,0,0,0
0.322977,0,0,0,0
0.324362,0,0,0,0
0.325739,0,0,0,0
0.327198,0,0,0,0
0.328573,0,0,0,0
0.329947,0,0,0,0
0.331301,0,0,0,0
0.332654,0,0,0,0
0.334008,0,0,0,0
0.335368,0,0,0,0
0.336721,0,0,0,0
0.338075,0,0,0,0
0.339428,0,0,0,0
0.340780,0,0,0,0
0.342134,0,0,0,0
0.343488,0,0,0,0
0.344841,0,0,0,0
0.346198,0,0,0,0
0.347538,0,0,0,0
0.348878,0,0,0,0
0.350218,0,0,0,0
0.351557,0,0,0,0
0.352898,0,0,0,0
0.354266,0,0,0,0
0.355605,0,0,0,0
0.356949,0,0,0,0
0.358288,0,0,0,0
0.359627,0,0,0,0
0.360968,0,0,0,0
0.362300,0,0,0,0
0.363709,0,0,0,0
0.365119,0,0,0,0
0.366529,0,0,0,0
0.367948,0,0,0,0
0.369358,0,0,0,0
0.370774,0,0,0,0
0.372195,0,0,0,0
0.373628,0,0,0,0
0.375042,0,0,0,0
0.376343,0,0,0,0
0.377767,0,0,0,0
0.379161,0,0,0,0
0.380555,0,0,0,0
0.382158,0,0,0,0
0.384548,0,0,177,177
0.386990,0,0,0,0
0.388379,0,0,0,0
0.389775,0,0,0,0
0.391279,0,0,0,0
0.392660,0,0,0,0
0.394068,0,0,0,0
0.395550,0,0,2970,2970
0.396811,0,0,0,0
0.398196,0,0,0,0
0.399582,0,0,0,0
0.400979,0,0,0,0
0.402502,0,0,0,0
0.403948,0,0,0,0
0.405331,0,0,0,0
0.406708,0,0,0,0
0.408087,0,0,0,0
0.409466,0,0,0,0
0.411312,0,0,0,0
0.412689,0,0,0,0
0.417845,0,0,0,0
0.419230,0,0,0,0
0.420615,0,0,0,0
0.422069,0,0,0,0
0.423460,0,0,0,0
0.424840,0,0,0,0
0.426221,0,0,0,0
0.427602,0,0,0,0
0.428981,0,0,0,0
0.430364,0,0,0,0
0.431750,0,0,0,0
0.433155,0,0,0,0
0.434543,0,0,0,0
0.435927,0,0,0,0
0.437312,0,0,0,0
0.438699,0,0,0,0
0.440085,0,0,0,0
0.441470,0,0,0,0
0.442941,0,0,0,0
0.444336,0,0,0,0
0.445721,0,0,0,0
0.447109,0,0,0,0
0.448495,0,0,0,0
0.449882,0,0,0,0
0.451389,0,0,0,0
0.452938,0,0,0,0
0.454503,0,0,0,0
0.456054,0,0,0,0
0.457644,0,0,0,0
0.459200,0,0,0,0
0.460750,0,0,0,0
0.462302,0,0,0,0
0.463852,0,0,0,0
0.465411,0,0,0,0
0.466959,0,0,0,0
0.468509,0,0,0,0
0.470062,0,0,0,0
0.471612,0,0,0,0
0.473160,0,0,0,0
0.474709,0,0,0,0
0.476273,0,0,0,0
0.477825,0,0,0,0
0.479377,0,0,0,0
0.480925,0,0,0,0
0.482475,0,0,0,0
0.484024,0,0,0,0
0.485571,0,0,0,0
0.487013,0,0,0,0
0.488536,0,0,0,0
0.490131,0,0,0,0
0.491683,0,0,0,0
0.493232,0,0,0,0
0.494781,0,0,0,0
0.496334,0,0,0,0
0.497900,0,0,0,0
0.499451,0,0,0,0
0.501000,0,0,0,0
0.502552,0,0,0,0
0.504103,0,0,0,0
0.505693,0,0,0,0
0.507249,0,0,0,0
0.508812,0,0,0,0
0.510364,0,0,0,0
0.511906,0,0,0,0
0.513445,0,0,0,0
0.514964,0,0,0,0
0.516421,0,0,0,0
0.517814,0,0,0,0
0.519212,0,0,0,0
0.520600,0,0,0,0
0.522031,0,0,0,0
0.523548,0,0,0,0
0.525097,0,0,0,0
0.526646,0,0,0,0
0.528197,0,0,0,0
0.529760,0,0,0,0
0.531332,0,0,0,0
0.532881,0,0,0,0
0.534432,0,0,0,0
0.535984,0,0,0,0
0.537574,0,0,0,0
0.539129,0,0,0,0
0.540691,0,0,0,0
0.542243,0,0,0,0
0.543785,0,0,0,0
0.545325,0,0,0,0
0.546741,0,0,0,0
0.548260,0,0,0,0
0.549810,0,0,0,0
0.551372,0,0,0,0
0.552920,0,0,0,0
0.554472,0,0,0,0
0.556021,0,0,0,0
0.557568,0,0,0,0
0.559121,0,0,0,0
0.560668,0,0,0,0
0.562084,0,0,0,0
0.563612,0,0,0,0
0.565159,0,0,0,0
0.566707,0,0,0,0
0.568256,0,0,0,0
0.569849,0,0,0,0
0.571398,0,0,0,0
0.572959,0,0,0,0
0.574508,0,0,0,0
0.576057,0,0,0,0
0.577604,0,0,0,0
0.579155,0,0,0,0
0.580700,0,0,0,0
0.582251,0,0,0,0
0.584230,0,0,0,0
0.585828,0,0,0,0
0.587380,0,0,0,0
0.588928,0,0,0,0
0.590480,0,0,0,0
0.592032,0,0,0,0
0.593579,0,0,0,0
0.595024,0,0,0,0
0.596544,0,0,0,0
