elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.690280,0,0,0,0
0.691672,0,0,0,0
0.693063,0,0,0,0
0.694447,0,0,0,0
0.695831,0,0,0,0
0.697216,0,0,0,0
0.698595,0,0,0,0
0.700083,0,0,0,0
0.701478,0,0,0,0
0.702857,0,0,0,0
0.704307,0,0,0,0
0.705688,0,0,0,0
0.707121,0,0,0,0
0.708498,0,0,0,0
0.709874,0,0,0,0
0.711250,0,0,0,0
0.712637,0,0,0,0
0.714016,0,0,0,0
0.715450,0,0,0,0
0.716828,0,0,0,0
0.718207,0,0,0,0
0.719586,0,0,0,0
0.720965,0,0,0,0
0.722344,0,0,0,0
0.723734,0,0,0,0
0.725120,0,0,0,0
0.726636,0,0,0,0
0.728186,0,0,0,0
0.729724,0,0,0,0
0.731141,0,0,0,0
0.732654,0,0,0,0
0.734206,0,0,0,0
0.735623,0,0,0,0
0.737142,0,0,0,0
0.738687,0,0,0,0
0.740239,0,0,0,0
0.741786,0,0,0,0
0.743334,0,0,0,0
0.744894,0,0,0,0
0.746440,0,0,0,0
0.747989,0,0,0,0
0.749537,0,0,0,0
0.751085,0,0,0,0
0.752632,0,0,0,0
0.754178,0,0,0,0
0.755617,0,0,0,0
0.757145,0,0,0,0
0.758668,0,0,0,0
0.760221,0,0,0,0
0.761770,0,0,0,0
0.763364,0,0,0,0
0.764914,0,0,0,0
0.766476,0,0,0,0
0.768025,0,0,0,0
0.769575,0,0,0,0
0.771125,0,0,0,0
0.772676,0,0,0,0
0.774225,0,0,0,0
0.775773,0,0,0,0
0.777336,0,0,0,0
0.778929,0,0,0,0
0.780479,0,0,0,0
0.782028,0,0,0,0
0.783476,0,0,0,0
0.785009,0,0,0,0
0.786548,0,0,0,0
0.788172,0,0,0,0
0.789719,0,0,0,0
0.791269,0,0,0,0
0.792817,0,0,0,0
0.794364,0,0,0,0
0.795957,0,0,0,0
0.797506,0,0,0,0
0.799068,0,0,0,0
0.800616,0,0,0,0
0.802162,0,0,0,0
0.803712,0,0,0,0
0.805261,0,0,0,0
0.806808,0,0,0,0
0.808361,0,0,0,0
0.809921,0,0,0,0
0.811472,0,0,0,0
0.813021,0,0,0,0
0.814568,0,0,0,0
0.816177,0,0,0,0
0.817723,0,0,0,0
0.819272,0,0,0,0
0.821180,0,0,0,0
0.822730,0,0,0,0
0.824284,0,0,0,0
0.825832,0,0,0,0
0.827425,0,0,0,0
0.828975,0,0,0,0
0.830522,0,0,0,0
0.832022,0,0,0,0
0.833544,0,0,0,0
0.835095,0,0,0,0
0.836643,0,0,0,0
0.838190,0,0,0,0
0.839739,0,0,0,0
0.841289,0,0,0,0
0.842952,0,0,0,0
0.844499,0,0,0,0
0.846047,0,0,0,0
0.847597,0,0,0,0
0.849146,0,0,0,0
0.850693,0,0,0,0
0.852247,0,0,0,0
0.853809,0,0,0,0
0.855359,0,0,0,0
0.856909,0,0,0,0
0.858457,0,0,0,0
0.860049,0,0,0,0
0.861598,0,0,0,0
0.863149,0,0,0,0
0.864713,0,0,0,0
0.866261,0,0,0,0
0.867811,0,0,0,0
0.869360,0,0,0,0
0.870911,0,0,0,0
0.872461,0,0,0,0
0.874007,0,0,0,0
0.875572,0,0,0,0
0.877121,0,0,0,0
0.878668,0,0,0,0
0.880219,0,0,0,0
0.881765,0,0,0,0
0.883314,0,0,0,0
0.884862,0,0,0,0
0.886422,0,0,0,0
0.887969,0,0,0,0
0.889516,0,0,0,0
0.891107,0,0,0,0
0.892652,0,0,0,0
0.894195,0,0,0,0
0.895741,0,0,0,0
0.897300,0,0,0,0
0.898845,0,0,0,0
0.900269,0,0,0,0
0.901660,0,0,0,0
0.903177,0,0,0,0
0.904725,0,0,0,0
0.906271,0,0,0,0
0.907871,0,0,0,0
0.909419,0,0,0,0
0.910967,0,0,0,0
0.912516,0,0,0,0
0.914061,0,0,0,0
0.915610,0,0,0,0
0.917157,0,0,0,0
0.918715,0,0,0,0
0.920286,0,0,0,0
0.921833,0,0,0,0
0.923425,0,0,0,0
0.924974,0,0,0,0
0.926519,0,0,0,0
0.928066,0,0,0,0
0.929627,0,0,0,0
0.931177,0,0,0,0
0.932724,0,0,0,0
0.934270,0,0,0,0
0.935817,0,0,0,0
0.937364,0,0,0,0
0.938956,0,0,0,0
0.940391,0,0,0,0
0.941910,0,0,0,0
0.943459,0,0,0,0
0.945007,0,0,0,0
0.946553,0,0,0,0
0.948048,0,0,0,0
0.949567,0,0,0,0
0.951128,0,0,0,0
0.952676,0,0,0,0
0.954221,0,0,0,0
0.955770,0,0,0,0
0.957194,0,0,0,0
0.958718,0,0,0,0
0.960267,0,0,0,0
0.961827,0,0,0,0
0.963376,0,0,0,0
0.964924,0,0,0,0
0.966470,0,0,0,0
0.968018,0,0,0,0
0.969566,0,0,0,0
0.971158,0,0,0,0
0.972720,0,0,0,0
0.974266,0,0,0,0
0.975814,0,0,0,0
0.977362,0,0,0,0
0.978911,0,0,0,0
0.980488,0,0,0,0
0.982035,0,0,0,0
0.983597,0,0,0,0
0.985145,0,0,0,0
0.986732,0,0,0,0
0.988285,0,0,0,0
0.989831,0,0,0,0
0.991381,0,0,0,0
0.992929,0,0,0,0
0.994488,0,0,0,0
0.996036,0,0,0,0
0.997585,0,0,0,0
0.999134,0,0,0,0
1.000682,0,0,0,0
1.002228,0,0,0,0
1.003777,0,0,0,0
1.005339,0,0,0,0
1.006975,0,0,0,0
1.008406,0,0,0,0
1.009937,0,0,0,0
1.011356,0,0,0,0
1.012911,0,0,0,0
1.014456,0,0,0,0
1.016015,0,0,0,0
1.017563,0,0,0,0
1.019154,0,0,0,0
1.020701,0,0,0,0
1.022246,0,0,0,0
1.023794,0,0,0,0
1.025341,0,0,0,0
1.026903,0,0,0,0
1.028451,0,0,0,0
1.029997,0,0,0,0
1.031546,0,0,0,0
1.033093,0,0,0,0
1.034681,0,0,0,0
1.036232,0,0,0,0
1.037791,0,0,0,0
1.039340,0,0,0,0
1.040887,0,0,0,0
1.042431,0,0,0,0
1.043978,0,0,0,0
