elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.257174,0,0,0,0
0.258740,0,0,0,0
0.260286,0,0,0,0
0.261834,0,0,0,0
0.263382,0,0,0,0
0.264927,0,0,0,0
0.266492,0,0,0,0
0.268039,0,0,0,0
0.269587,0,0,0,0
0.271136,0,0,0,0
0.272681,0,0,0,0
0.274273,0,0,0,0
0.275823,0,0,0,0
0.277386,0,0,0,0
0.278933,0,0,0,0
0.280478,0,0,0,0
0.282025,0,0,0,0
0.283571,0,0,0,0
0.285118,0,0,0,0
0.286634,0,0,0,0
0.288045,0,0,0,0
0.289513,0,0,0,0
0.291031,0,0,0,0
0.292578,0,0,0,0
0.294126,0,0,0,0
0.295675,0,0,0,0
0.297224,0,0,0,0
0.298787,0,0,0,0
0.300333,0,0,0,0
0.301898,0,0,0,0
0.303336,0,0,0,0
0.304683,0,0,0,0
0.306111,0,0,0,0
0.307442,0,0,0,0
0.308794,0,0,0,0
0.310175,0,0,0,0
0.311513,0,0,0,0
0.312849,0,0,0,0
0.314227,0,0,0,0
0.315565,0,0,0,0
0.316901,0,0,0,0
0.318296,0,0,0,0
0.319642,0,0,0,0
0.321025,0,0,0,0
0.322344,0,0,0,0
0.323654,0,0,0,0
0.324963,0,0,0,0
0.326328,0,0,0,0
0.327638,0,0,0,0
0.328948,0,0,0,0
0.330268,0,0,0,0
0.331577,0,0,0,0
0.332886,0,0,0,0
0.334284,0,0,0,0
0.335594,0,0,0,0
0.336940,0,0,0,0
0.338308,0,0,0,0
0.339668,0,0,0,0
0.341032,0,0,0,0
0.342394,0,0,0,0
0.343755,0,0,0,0
0.345116,0,0,0,0
0.346490,0,0,0,0
0.347855,0,0,0,0
0.349230,0,0,0,0
0.350591,0,0,0,0
0.352012,0,0,0,0
0.354431,0,0,0,0
0.355856,0,0,0,0
0.357297,0,0,0,0
0.359026,0,0,0,0
0.360424,0,0,0,0
0.362702,0,0,0,0
0.364574,0,0,0,0
0.365965,0,0,0,0
0.367348,0,0,0,0
0.368727,0,0,0,0
0.370315,0,0,0,0
0.371697,0,0,0,0
0.373079,0,0,0,0
0.374508,0,0,0,0
0.375826,0,0,0,0
0.377230,0,0,0,0
0.378665,0,0,0,0
0.380056,0,0,0,0
0.381442,0,0,0,0
0.382827,0,0,0,0
0.384209,0,0,0,0
0.386680,0,0,0,0
0.388096,0,0,0,0
0.389487,0,0,0,0
0.391023,0,0,0,0
0.392403,0,0,0,0
0.397217,0,0,0,0
0.399435,0,0,0,0
0.400822,0,0,0,0
0.402304,0,0,0,0
0.403950,0,0,0,0
0.405306,0,0,0,0
0.406648,0,0,0,0
0.407985,0,0,0,0
0.409343,0,0,0,0
0.410677,0,0,0,0
0.412014,0,0,0,0
0.413354,0,0,0,0
0.414691,0,0,0,0
0.416028,0,0,0,0
0.417376,0,0,0,0
0.418765,0,0,0,0
0.420153,0,0,0,0
0.421656,0,0,0,0
0.423209,0,0,0,0
0.424748,0,0,0,0
0.426167,0,0,0,0
0.427686,0,0,0,0
0.429236,0,0,0,0
0.430672,0,0,0,0
0.432191,0,0,0,0
0.433742,0,0,0,0
0.435290,0,0,0,0
0.436836,0,0,0,0
0.438447,0,0,0,0
0.439993,0,0,0,0
0.441555,0,0,0,0
0.443104,0,0,0,0
0.444649,0,0,0,0
0.446196,0,0,0,0
0.447745,0,0,0,0
0.449345,0,0,0,0
0.450933,0,0,0,0
0.452368,0,0,0,0
0.453890,0,0,0,0
0.455437,0,0,0,0
0.456984,0,0,0,0
0.458572,0,0,0,0
0.460129,0,0,0,0
0.461574,0,0,0,0
0.462979,0,0,0,0
0.464494,0,0,0,0
0.466043,0,0,0,0
0.467591,0,0,0,0
0.469204,0,0,0,0
0.470601,0,0,0,0
0.471990,0,0,0,0
0.473516,0,0,0,0
0.475064,0,0,0,0
0.476610,0,0,0,0
0.478159,0,0,0,0
0.479708,0,0,0,0
0.481300,0,0,0,0
0.482848,0,0,0,0
0.484284,0,0,0,0
0.485806,0,0,0,0
