elapsed_s,TSE_BE_INPUT_NULL_PRIM,TSE_BE_TRIVAL_REJ_PRIM,TSE_BE_CLIPPED_PRIM,TSE_BE_ZERO_AREA_PRIM
0.698371,0,0,0,0
0.699664,0,0,0,0
0.701081,0,0,0,0
0.702447,0,0,0,0
0.703808,0,0,0,0
0.705128,0,0,0,0
0.706488,0,0,0,0
0.707859,0,0,0,0
0.709245,0,0,0,0
0.710606,0,0,0,0
0.712049,0,0,0,0
0.713323,0,0,0,0
0.714767,0,0,0,0
0.716137,0,0,0,0
0.717500,0,0,0,0
0.718943,0,0,0,0
0.720364,0,0,0,0
0.721742,0,0,0,0
0.723120,0,0,0,0
0.724498,0,0,0,0
0.725779,0,0,0,0
0.727168,0,0,0,0
0.728649,0,0,0,0
0.730027,0,0,0,0
0.731405,0,0,0,0
0.732783,0,0,0,0
0.734162,0,0,0,0
0.735539,0,0,0,0
0.737125,0,0,0,0
0.738695,0,0,0,0
0.740322,0,0,0,0
0.741785,0,0,0,0
0.743180,0,0,0,0
0.744568,0,0,0,0
0.745956,0,0,0,0
0.747343,0,0,0,0
0.748743,0,0,0,0
0.750130,0,0,0,0
0.751516,0,0,0,0
0.752904,0,0,0,0
0.754418,0,0,0,0
0.755967,0,0,0,0
0.757518,0,0,0,0
0.758949,0,0,0,0
0.760476,0,0,0,0
0.762026,0,0,0,0
0.763574,0,0,0,0
0.765124,0,0,0,0
0.766675,0,0,0,0
0.768270,0,0,0,0
0.769835,0,0,0,0
0.771383,0,0,0,0
0.772935,0,0,0,0
0.774485,0,0,0,0
0.776034,0,0,0,0
0.777588,0,0,0,0
0.779137,0,0,0,0
0.780701,0,0,0,0
0.782251,0,0,0,0
0.783800,0,0,0,0
0.785345,0,0,0,0
0.786866,0,0,0,0
0.788417,0,0,0,0
0.789968,0,0,0,0
0.791529,0,0,0,0
0.793077,0,0,0,0
0.794627,0,0,0,0
0.796231,0,0,0,0
0.797780,0,0,0,0
0.799328,0,0,0,0
0.800881,0,0,0,0
0.802444,0,0,0,0
0.803993,0,0,0,0
0.805546,0,0,0,0
0.807094,0,0,0,0
0.808645,0,0,0,0
0.810195,0,0,0,0
0.811743,0,0,0,0
0.813306,0,0,0,0
0.814855,0,0,0,0
0.816450,0,0,0,0
0.818001,0,0,0,0
0.819549,0,0,0,0
0.821101,0,0,0,0
0.822651,0,0,0,0
0.824216,0,0,0,0
0.825767,0,0,0,0
0.827316,0,0,0,0
0.828867,0,0,0,0
0.830417,0,0,0,0
0.832007,0,0,0,0
