elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.082295,0,0,0,0,0,0,0
0.083550,0,0,0,0,0,0,0
0.084805,0,0,0,0,0,0,0
0.086061,0,0,0,0,0,0,0
0.087453,0,0,0,0,0,0,0
0.088752,0,0,0,0,0,0,0
0.090009,0,0,0,0,0,0,0
0.091407,0,0,0,0,0,0,0
0.092822,0,0,0,0,0,0,0
0.094224,0,0,0,0,0,0,0
0.095671,0,0,0,0,0,0,0
0.097072,0,0,0,0,0,0,0
0.098472,0,0,0,0,0,0,0
0.100005,0,0,0,0,0,0,0
0.101424,0,0,0,0,0,0,0
0.102835,0,0,0,0,0,0,0
0.104320,0,0,0,0,0,0,0
0.105722,0,0,0,0,0,0,0
0.107768,0,0,0,0,0,0,0
0.109541,0,0,0,0,0,0,0
0.113501,0,0,0,0,0,0,0
0.114904,0,0,0,0,0,0,0
0.116300,0,0,0,0,0,0,0
0.117699,0,0,0,0,0,0,0
0.119094,0,0,0,0,0,0,0
0.120534,0,0,0,0,0,0,0
0.121930,0,0,0,0,0,0,0
0.123328,0,0,0,0,0,0,0
0.124731,0,0,0,0,0,0,0
0.126149,0,0,0,0,0,0,0
0.127586,0,0,0,0,0,0,0
0.128984,0,0,0,0,0,0,0
0.130380,0,0,0,0,0,0,0
0.131775,0,0,0,0,0,0,0
0.133172,0,0,0,0,0,0,0
0.134567,0,0,0,0,0,0,0
0.136073,0,0,0,0,0,0,0
0.137483,0,0,0,0,0,0,0
0.138886,0,0,0,0,0,0,0
0.140377,0,0,0,0,0,0,0
0.141778,0,0,0,0,0,0,0
0.143178,0,0,0,0,0,0,0
0.144615,0,0,0,0,0,0,0
0.146016,0,0,0,0,0,0,0
0.147419,0,0,0,0,0,0,0
0.148830,0,0,0,0,0,0,0
0.150230,0,0,0,0,0,0,0
0.151667,0,0,0,0,0,0,0
0.153069,0,0,0,0,0,0,0
0.154469,0,0,0,0,0,0,0
0.155923,0,0,0,0,0,0,0
0.157453,0,0,0,0,0,0,0
0.159033,0,0,0,0,0,0,0
0.160643,0,0,0,0,0,0,0
0.162207,0,0,0,0,0,0,0
0.163773,0,0,0,0,0,0,0
0.165337,0,0,0,0,0,0,0
0.166905,0,0,0,0,0,0,0
0.168470,0,0,0,0,0,0,0
0.170048,0,0,0,0,0,0,0
0.171615,0,0,0,0,0,0,0
0.173181,0,0,0,0,0,0,0
0.174745,0,0,0,0,0,0,0
0.176212,0,0,0,0,0,0,0
0.177620,0,0,0,0,0,0,0
0.179155,0,0,0,0,0,0,0
0.180609,0,0,0,0,0,0,0
0.182144,0,0,0,0,0,0,0
0.183584,0,0,0,0,0,0,0
0.184998,0,0,0,0,0,0,0
0.186561,0,0,0,0,0,0,0
0.188041,0,0,0,0,0,0,0
0.189446,0,0,0,0,0,0,0
0.190902,0,0,0,0,0,0,0
0.192433,0,0,0,0,0,0,0
0.193841,0,0,0,0,0,0,0
0.195263,0,0,0,0,0,0,0
0.196662,0,0,0,0,0,0,0
0.198058,0,0,0,0,0,0,0
0.199493,0,0,0,0,0,0,0
0.200905,0,0,0,0,0,0,0
0.202305,0,0,0,0,0,0,0
0.203687,0,0,0,0,0,0,0
0.205155,0,0,0,0,0,0,0
0.206615,0,0,0,0,0,0,0
0.208639,0,0,0,0,0,0,0
0.210078,0,0,0,0,0,0,0
0.211484,0,0,0,0,0,0,0
0.212882,0,0,0,0,0,0,0
0.214277,0,0,0,0,0,0,0
0.215763,0,0,0,0,0,0,0
0.218692,0,0,0,0,0,0,0
0.220133,0,0,0,0,0,0,0
0.221537,0,0,0,0,0,0,0
0.222944,0,0,0,0,0,0,0
0.224398,0,0,0,0,0,0,0
0.225946,0,0,0,0,0,0,0
0.227429,0,0,0,0,0,0,0
0.228923,0,0,0,0,0,0,0
0.230457,0,0,0,0,0,0,0
0.232075,0,0,0,0,0,0,0
0.233545,0,0,0,0,0,0,0
0.235084,0,0,0,0,0,0,0
0.236661,0,0,0,0,0,0,0
0.238225,0,0,0,0,0,0,0
0.239687,0,0,0,0,0,0,0
0.241095,0,0,0,0,0,0,0
0.242530,0,0,0,0,0,0,0
0.244013,0,0,0,0,0,0,0
0.245435,0,0,0,0,0,0,0
0.246883,0,0,0,0,0,0,0
0.248398,0,0,0,0,0,0,0
0.249852,0,0,0,0,0,0,0
0.251272,0,0,0,0,0,0,0
0.252721,0,0,0,0,0,0,0
0.273026,0,0,0,0,0,0,0
