elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_7_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_8_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_9_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_10_WORKING_CC_L2
0.414993,0,0,0,0
0.416546,0,0,0,0
0.418096,0,0,0,0
0.419645,0,0,0,0
0.421238,0,0,0,0
0.422790,0,0,0,0
0.424355,0,0,0,0
0.425905,0,0,0,0
0.427454,0,0,0,0
0.429005,0,0,0,0
0.430555,0,0,0,0
0.432103,0,0,0,0
0.433653,0,0,0,0
0.435205,0,0,0,0
0.436676,0,0,0,0
0.438196,0,0,0,0
0.439742,0,0,0,0
0.441291,0,0,0,0
0.442839,0,0,0,0
0.444388,0,0,0,0
0.445950,0,0,0,0
0.447496,0,0,0,0
0.449047,0,0,0,0
0.450594,0,0,0,0
0.452141,0,0,0,0
0.453713,0,0,0,0
0.455261,0,0,0,0
0.456824,0,0,0,0
0.458372,0,0,0,0
0.459918,0,0,0,0
0.461465,0,0,0,0
0.463012,0,0,0,0
0.464562,0,0,0,0
0.466110,0,0,0,0
0.467669,0,0,0,0
0.469260,0,0,0,0
0.470809,0,0,0,0
0.472358,0,0,0,0
0.473906,0,0,0,0
0.475452,0,0,0,0
0.477003,0,0,0,0
0.478565,0,0,0,0
0.480112,0,0,0,0
0.481662,0,0,0,0
0.483087,0,0,0,0
0.484613,0,0,0,0
0.486209,0,0,0,0
0.487757,0,0,0,0
0.489320,0,0,0,0
0.490871,0,0,0,0
0.492424,0,0,0,0
0.493974,0,0,0,0
0.495523,0,0,0,0
0.497074,0,0,0,0
0.498625,0,0,0,0
0.500186,0,0,0,0
0.501743,0,0,0,0
0.503292,0,0,0,0
0.504843,0,0,0,0
0.506394,0,0,0,0
0.507942,0,0,0,0
0.509365,0,0,0,0
0.510893,0,0,0,0
0.512445,0,0,0,0
0.513987,0,0,0,0
0.515526,0,0,0,0
0.516990,0,0,0,0
0.518551,0,0,0,0
0.520100,0,0,0,0
0.521668,0,0,0,0
0.523217,0,0,0,0
0.524769,0,0,0,0
0.526319,0,0,0,0
0.527868,0,0,0,0
0.529418,0,0,0,0
0.530969,0,0,0,0
0.532533,0,0,0,0
0.534129,0,0,0,0
0.535678,0,0,0,0
0.537228,0,0,0,0
0.538769,0,0,0,0
0.540463,0,0,0,0
0.542009,0,0,0,0
0.543569,0,0,0,0
0.545120,0,0,0,0
0.547034,0,0,0,0
0.549188,0,0,0,0
0.550582,0,0,0,0
0.551969,0,0,0,0
