elapsed_s,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,HLSQ_STPROC_DPS_RUN_COUNT,HLSQ_STPROC_DPS_RUN_CYCLE,HLSQ_VSDP_BR_QUERY_REQ,HLSQ_VSDP_BV_QUERY_REQ,HLSQ_VSDP_BR_QUERY_REQ_WHEN_BV_PENDING
0.515263,0,0,0,0,0,0
0.516796,0,0,0,0,0,0
0.518410,0,0,0,0,0,0
0.519973,0,0,0,0,0,0
0.521540,0,0,0,0,0,0
0.523105,0,0,0,0,0,0
0.524680,0,0,0,0,0,0
0.526312,0,0,0,0,0,0
0.527872,0,0,0,0,0,0
0.529438,0,0,0,0,0,0
0.531001,0,0,0,0,0,0
0.532563,0,0,0,0,0,0
0.534126,0,0,0,0,0,0
0.535702,0,0,0,0,0,0
0.537267,0,0,0,0,0,0
0.538831,0,0,0,0,0,0
0.540390,0,0,0,0,0,0
0.541953,0,0,0,0,0,0
0.543516,0,0,0,0,0,0
0.545081,0,0,0,0,0,0
0.546654,0,0,0,0,0,0
0.548215,0,0,0,0,0,0
0.549823,0,0,0,0,0,0
0.551387,0,0,0,0,0,0
0.552949,0,0,0,0,0,0
0.554516,0,0,0,0,0,0
0.556077,0,0,0,0,0,0
0.557654,0,0,0,0,0,0
0.559217,0,0,0,0,0,0
0.560778,0,0,0,0,0,0
0.562346,0,0,0,0,0,0
0.563907,0,0,0,0,0,0
0.565517,0,0,0,0,0,0
0.567081,0,0,0,0,0,0
0.568655,0,0,0,0,0,0
0.570173,0,0,0,0,0,0
0.571705,0,0,0,0,0,0
0.573270,0,0,0,0,0,0
0.574834,0,0,0,0,0,0
0.576395,0,0,0,0,0,0
0.577958,0,0,0,0,0,0
0.579533,0,0,0,0,0,0
0.581141,0,0,0,0,0,0
0.582706,0,0,0,0,0,0
0.584266,0,0,0,0,0,0
0.585833,0,0,0,0,0,0
0.587395,0,0,0,0,0,0
0.588956,0,0,0,0,0,0
0.590533,0,0,0,0,0,0
0.592140,0,0,0,0,0,0
0.593705,0,0,0,0,0,0
0.595293,0,0,0,0,0,0
0.596708,0,0,0,0,0,0
0.598300,0,0,0,0,0,0
0.599715,0,0,0,0,0,0
0.601353,0,0,0,0,0,0
0.602855,0,0,0,0,0,0
0.605098,0,0,0,0,0,0
0.606611,0,0,0,0,0,0
0.608660,0,0,0,0,0,0
0.610482,0,0,0,0,0,0
0.611909,0,0,0,0,0,0
0.613425,0,0,0,0,0,0
0.614823,0,0,0,0,0,0
0.616180,0,0,0,0,0,0
0.617533,0,0,0,0,0,0
0.618885,0,0,0,0,0,0
0.620236,0,0,0,0,0,0
0.621587,0,0,0,0,0,0
0.622951,0,0,0,0,0,0
0.624301,0,0,0,0,0,0
0.625653,0,0,0,0,0,0
0.627003,0,0,0,0,0,0
0.628352,0,0,0,0,0,0
0.629839,0,0,0,0,0,0
0.631417,0,0,0,0,0,0
0.632980,0,0,0,0,0,0
0.634601,0,0,0,0,0,0
0.636164,0,0,0,0,0,0
0.637728,0,0,0,0,0,0
0.639292,0,0,0,0,0,0
0.640855,0,0,0,0,0,0
0.642477,0,0,0,0,0,0
0.644039,0,0,0,0,0,0
0.645660,0,0,0,0,0,0
0.647225,0,0,0,0,0,0
0.648788,0,0,0,0,0,0
0.650356,0,0,0,0,0,0
0.651919,0,0,0,0,0,0
0.653484,0,0,0,0,0,0
0.655050,0,0,0,0,0,0
0.656626,0,0,0,0,0,0
0.658189,0,0,0,0,0,0
0.659755,0,0,0,0,0,0
0.661364,0,0,0,0,0,0
0.662929,0,0,0,0,0,0
0.664491,0,0,0,0,0,0
0.666055,0,0,0,0,0,0
0.667506,0,0,0,0,0,0
0.669044,0,0,0,0,0,0
0.670609,0,0,0,0,0,0
0.672172,0,0,0,0,0,0
0.673739,0,0,0,0,0,0
0.675304,0,0,0,0,0,0
0.676868,0,0,0,0,0,0
0.678497,0,0,0,0,0,0
0.680060,0,0,0,0,0,0
0.681627,0,0,0,0,0,0
0.683192,0,0,0,0,0,0
0.684754,0,0,0,0,0,0
0.686323,0,0,0,0,0,0
0.687886,0,0,0,0,0,0
0.689362,0,0,0,0,0,0
0.690763,0,0,0,0,0,0
0.692167,0,0,0,0,0,0
0.693740,0,0,0,0,0,0
0.695306,0,0,0,0,0,0
0.696869,0,0,0,0,0,0
0.698431,0,0,0,0,0,0
0.699998,0,0,0,0,0,0
0.701426,0,0,0,0,0,0
0.702834,0,0,0,0,0,0
0.704368,0,0,0,0,0,0
0.705933,0,0,0,0,0,0
0.707499,0,0,0,0,0,0
0.709109,0,0,0,0,0,0
0.710687,0,0,0,0,0,0
0.712251,0,0,0,0,0,0
0.713817,0,0,0,0,0,0
0.715373,0,0,0,0,0,0
0.716926,0,0,0,0,0,0
0.718557,0,0,0,0,0,0
0.720117,0,0,0,0,0,0
0.721694,0,0,0,0,0,0
0.723259,0,0,0,0,0,0
0.724820,0,0,0,0,0,0
0.726433,0,0,0,0,0,0
0.727995,0,0,0,0,0,0
0.729559,0,0,0,0,0,0
0.731123,0,0,0,0,0,0
0.732698,0,0,0,0,0,0
0.734262,0,0,0,0,0,0
0.735840,0,0,0,0,0,0
0.737405,0,0,0,0,0,0
0.738968,0,0,0,0,0,0
0.740529,0,0,0,0,0,0
0.742094,0,0,0,0,0,0
0.743669,0,0,0,0,0,0
0.745232,0,0,0,0,0,0
0.746796,0,0,0,0,0,0
0.748356,0,0,0,0,0,0
0.749919,0,0,0,0,0,0
0.751482,0,0,0,0,0,0
0.753046,0,0,0,0,0,0
0.754621,0,0,0,0,0,0
0.756182,0,0,0,0,0,0
0.757789,0,0,0,0,0,0
0.759353,0,0,0,0,0,0
0.760914,0,0,0,0,0,0
0.762482,0,0,0,0,0,0
0.764042,0,0,0,0,0,0
0.765620,0,0,0,0,0,0
0.767183,0,0,0,0,0,0
0.768743,0,0,0,0,0,0
0.770310,0,0,0,0,0,0
0.771871,0,0,0,0,0,0
0.773478,0,0,0,0,0,0
0.775041,0,0,0,0,0,0
0.776616,0,0,0,0,0,0
0.778179,0,0,0,0,0,0
0.779743,0,0,0,0,0,0
0.781306,0,0,0,0,0,0
0.782870,0,0,0,0,0,0
0.784431,0,0,0,0,0,0
0.785993,0,0,0,0,0,0
0.787568,0,0,0,0,0,0
0.789175,0,0,0,0,0,0
0.790738,0,0,0,0,0,0
0.792298,0,0,0,0,0,0
0.793862,0,0,0,0,0,0
0.795424,0,0,0,0,0,0
0.796985,0,0,0,0,0,0
0.798504,0,0,0,0,0,0
0.799907,0,0,0,0,0,0
0.801437,0,0,0,0,0,0
0.803000,0,0,0,0,0,0
0.804561,0,0,0,0,0,0
0.806125,0,0,0,0,0,0
0.807687,0,0,0,0,0,0
0.809266,0,0,0,0,0,0
0.810827,0,0,0,0,0,0
0.812389,0,0,0,0,0,0
0.813828,0,0,0,0,0,0
0.815368,0,0,0,0,0,0
0.816930,0,0,0,0,0,0
0.818493,0,0,0,0,0,0
0.820057,0,0,0,0,0,0
0.821490,0,0,0,0,0,0
0.823024,0,0,0,0,0,0
0.824588,0,0,0,0,0,0
0.826151,0,0,0,0,0,0
0.827716,0,0,0,0,0,0
0.829282,0,0,0,0,0,0
0.830860,0,0,0,0,0,0
0.832422,0,0,0,0,0,0
0.833988,0,0,0,0,0,0
0.835553,0,0,0,0,0,0
0.837162,0,0,0,0,0,0
0.838728,0,0,0,0,0,0
0.840290,0,0,0,0,0,0
0.841868,0,0,0,0,0,0
0.843434,0,0,0,0,0,0
0.844997,0,0,0,0,0,0
0.846522,0,0,0,0,0,0
0.847924,0,0,0,0,0,0
0.849456,0,0,0,0,0,0
0.851021,0,0,0,0,0,0
0.852597,0,0,0,0,0,0
0.854163,0,0,0,0,0,0
0.855727,0,0,0,0,0,0
0.857293,0,0,0,0,0,0
0.858860,0,0,0,0,0,0
0.860431,0,0,0,0,0,0
0.861995,0,0,0,0,0,0
0.863574,0,0,0,0,0,0
0.865140,0,0,0,0,0,0
0.866704,0,0,0,0,0,0
0.868268,0,0,0,0,0,0
0.869880,0,0,0,0,0,0
0.871443,0,0,0,0,0,0
0.873073,0,0,0,0,0,0
0.874456,0,0,0,0,0,0
0.875859,0,0,0,0,0,0
0.877391,0,0,0,0,0,0
0.878954,0,0,0,0,0,0
0.880518,0,0,0,0,0,0
0.882084,0,0,0,0,0,0
0.883649,0,0,0,0,0,0
0.885270,0,0,0,0,0,0
0.886836,0,0,0,0,0,0
0.888398,0,0,0,0,0,0
