elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.587159,0,0,0,0,0,0
0.588725,0,0,0,0,0,0
0.590300,0,0,0,0,0,0
0.591862,0,0,0,0,0,0
0.593425,0,0,0,0,0,0
0.594987,0,0,0,0,0,0
0.596553,0,0,0,0,0,0
0.598116,0,0,0,0,0,0
0.599677,0,0,0,0,0,0
0.601252,0,0,0,0,0,0
0.602815,0,0,0,0,0,0
0.604377,0,0,0,0,0,0
0.605985,0,0,0,0,0,0
0.607546,0,0,0,0,0,0
0.609111,0,0,0,0,0,0
0.610674,0,0,0,0,0,0
0.612247,0,0,0,0,0,0
0.613691,0,0,0,0,0,0
0.615223,0,0,0,0,0,0
0.616829,0,0,0,0,0,0
0.618392,0,0,0,0,0,0
0.620609,0,0,0,0,0,0
0.622050,0,0,0,0,0,0
0.623468,0,0,0,0,0,0
0.624862,0,0,0,0,0,0
0.626383,0,0,0,0,0,0
0.627936,0,0,0,0,0,0
0.629367,0,0,0,0,0,0
0.630899,0,0,0,0,0,0
0.632508,0,0,0,0,0,0
0.634085,0,0,0,0,0,0
0.635647,0,0,0,0,0,0
0.637212,0,0,0,0,0,0
0.638775,0,0,0,0,0,0
0.640336,0,0,0,0,0,0
0.641904,0,0,0,0,0,0
0.643466,0,0,0,0,0,0
0.645042,0,0,0,0,0,0
0.646606,0,0,0,0,0,0
0.648167,0,0,0,0,0,0
0.649780,0,0,0,0,0,0
0.651341,0,0,0,0,0,0
0.652905,0,0,0,0,0,0
0.654467,0,0,0,0,0,0
0.656041,0,0,0,0,0,0
0.657604,0,0,0,0,0,0
0.659168,0,0,0,0,0,0
0.660731,0,0,0,0,0,0
0.662170,0,0,0,0,0,0
0.663709,0,0,0,0,0,0
0.665277,0,0,0,0,0,0
0.666865,0,0,0,0,0,0
0.668510,0,0,0,0,0,0
0.670008,0,0,0,0,0,0
0.671412,0,0,0,0,0,0
0.672942,0,0,0,0,0,0
0.674507,0,0,0,0,0,0
0.676070,0,0,0,0,0,0
