elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.204888,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.206327,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.208311,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.209750,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.211187,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.212626,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.214065,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.215551,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.216995,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.218450,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.219892,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.221332,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.222770,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.224342,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.225944,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.227549,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.229167,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.230768,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.232376,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.233978,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.235582,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.237185,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.238787,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.240409,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.242011,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.243614,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.245218,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.246820,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.248310,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.249882,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.251499,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.253103,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.254719,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.256378,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.257831,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.259404,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.261009,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.262625,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.264291,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.265894,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.267499,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.269102,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.270704,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.272395,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.274010,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.275615,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.277219,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.278822,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.280432,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.282034,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.283639,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.285257,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.286859,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.288469,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.290071,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.291676,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.293280,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.294881,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.296505,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.298107,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.299714,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.301318,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.302921,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.304404,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.305936,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.307392,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.308964,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.310567,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.312215,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.313818,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.315459,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.317062,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.318677,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.320369,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.321971,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.323576,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.325180,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.326782,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.328390,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.330004,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.331610,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.333213,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.334815,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.336423,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.338024,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.339629,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.341246,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.342875,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.344364,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.345812,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.347257,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.348700,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.350141,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.351637,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.353207,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.354810,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.356418,0,0,36,1,251,0,0,0,0,0,0,0,0,0
