run,group,chunk,counter,width,region_index,region_start_s,region_end_s,samples,total,max,mean,active_mean,active_samples,csv_path
sweep_20260625_152944,CP,1,CP_DEAD_DRAWS_IN_BIN_RENDER,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREDICATED_DRAWS_KILLED,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_MODE_SWITCH,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_ZPASS_DONE,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CONTEXT_DONE,512,3,0.441789,0.500608,41,26.0,22.0,0.6341463414634146,13.0,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CACHE_FLUSH,512,3,0.441789,0.500608,41,9.0,7.0,0.21951219512195122,4.5,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_NEVER_COUNT,1024,4,0.634295,0.693474,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_ALWAYS_COUNT,1024,4,0.634295,0.693474,38,24279464.0,1537127.0,638933.2631578947,638933.2631578947,38,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_BUSY_GFX_CORE_IDLE,1024,4,0.634295,0.693474,38,1360986.0,340158.0,35815.42105263158,35815.42105263158,38,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_BUSY_CYCLES,1024,4,0.634295,0.693474,38,3998244.0,940854.0,105216.94736842105,105216.94736842105,38,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_NUM_PREEMPTIONS,1024,4,0.634295,0.693474,38,10.0,3.0,0.2631578947368421,1.25,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_REACTION_DELAY,1024,4,0.634295,0.693474,38,99808.0,90788.0,2626.5263157894738,12476.0,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
