elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.350148,0,0,0,0,0,0,0,0
0.351574,0,0,0,0,0,0,0,0
0.353000,0,0,0,0,0,0,0,0
0.354425,0,0,0,0,0,0,0,0
0.355742,0,0,0,0,0,0,0,0
0.357059,0,0,0,0,0,0,0,0
0.358489,0,0,0,0,0,0,0,0
0.359922,0,0,0,0,0,0,0,0
0.361263,0,0,0,0,0,0,0,0
0.362693,0,0,0,0,0,0,0,0
0.364129,0,0,0,0,0,0,0,0
0.365555,0,0,0,0,0,0,0,0
0.366908,0,0,0,0,0,0,0,0
0.368313,0,0,0,0,0,0,0,0
0.369880,0,0,0,0,0,0,0,0
0.371421,0,0,0,0,0,0,0,0
0.372842,0,0,0,0,324,399,0,0
0.374215,0,0,0,0,0,0,0,0
0.375584,0,0,0,0,0,0,0,0
0.376947,0,0,0,0,0,0,0,0
0.378308,0,0,0,0,0,0,0,0
0.379672,0,0,0,0,0,0,0,0
0.381058,0,0,0,0,0,0,0,0
0.382470,0,0,0,0,2217,2787,66,0
0.383743,0,0,0,0,1185,1452,30,0
0.385155,0,0,0,0,0,0,0,0
0.386564,0,0,0,0,0,0,0,0
0.387974,0,0,0,0,0,0,0,0
0.389381,0,0,0,0,0,0,0,0
0.391055,0,0,0,0,0,0,0,0
0.392476,0,0,0,0,0,0,0,0
0.393882,0,0,0,0,0,0,0,0
0.395265,0,0,0,0,0,0,0,0
0.396667,0,0,0,0,0,0,0,0
0.398942,0,0,0,0,0,0,0,0
0.400345,0,0,0,0,0,0,0,0
0.401747,0,0,0,0,0,0,0,0
0.403168,0,0,0,0,0,0,0,0
0.404571,0,0,0,0,0,0,0,0
0.405978,0,0,0,0,0,0,0,0
0.407379,0,0,0,0,0,0,0,0
0.408782,0,0,0,0,0,0,0,0
0.410184,0,0,0,0,0,0,0,0
0.411601,0,0,0,0,0,0,0,0
0.413010,0,0,0,0,0,0,0,0
0.414476,0,0,0,0,0,0,0,0
0.415878,0,0,0,0,0,0,0,0
0.417279,0,0,0,0,0,0,0,0
0.418681,0,0,0,0,0,0,0,0
0.420211,0,0,0,0,0,0,0,0
0.421771,0,0,0,0,0,0,0,0
0.423201,0,0,0,0,0,0,0,0
0.424629,0,0,0,0,0,0,0,0
0.426175,0,0,0,0,0,0,0,0
0.427748,0,0,0,0,0,0,0,0
0.429319,0,0,0,0,0,0,0,0
0.430892,0,0,0,0,0,0,0,0
0.432465,0,0,0,0,0,0,0,0
0.434039,0,0,0,0,0,0,0,0
0.435501,0,0,0,0,0,0,0,0
0.437045,0,0,0,0,0,0,0,0
0.438619,0,0,0,0,0,0,0,0
0.440192,0,0,0,0,0,0,0,0
0.441762,0,0,0,0,0,0,0,0
0.443333,0,0,0,0,0,0,0,0
0.444895,0,0,0,0,0,0,0,0
0.448253,0,0,0,0,0,0,0,0
0.449710,0,0,0,0,0,0,0,0
0.451116,0,0,0,0,0,0,0,0
0.452519,0,0,0,0,0,0,0,0
0.454007,0,0,0,0,0,0,0,0
0.455418,0,0,0,0,0,0,0,0
0.456834,0,0,0,0,0,0,0,0
0.458373,0,0,0,0,0,0,0,0
0.459936,0,0,0,0,0,0,0,0
0.461499,0,0,0,0,0,0,0,0
0.463278,0,0,0,0,0,0,0,0
0.464715,0,0,0,0,0,0,0,0
0.466133,0,0,0,0,0,0,0,0
0.467553,0,0,0,0,0,0,0,0
0.468962,0,0,0,0,0,0,0,0
0.470372,0,0,0,0,0,0,0,0
0.472014,0,0,0,0,0,0,0,0
0.473584,0,0,0,0,0,0,0,0
0.475208,0,0,0,0,0,0,0,0
0.476778,0,0,0,0,0,0,0,0
0.478407,0,0,0,0,0,0,0,0
0.479980,0,0,0,0,0,0,0,0
0.481550,0,0,0,0,0,0,0,0
0.483179,0,0,0,0,0,0,0,0
0.484749,0,0,0,0,0,0,0,0
0.486364,0,0,0,0,0,0,0,0
0.487936,0,0,0,0,0,0,0,0
0.489393,0,0,0,0,0,0,0,0
0.490937,0,0,0,0,0,0,0,0
0.492509,0,0,0,0,0,0,0,0
0.494126,0,0,0,0,0,0,0,0
0.496014,0,0,0,0,0,0,0,0
0.497443,0,0,0,0,0,0,0,0
0.499024,0,0,0,0,0,0,0,0
0.500765,0,0,0,0,0,0,0,0
0.502282,0,0,0,0,0,0,0,0
0.503763,0,0,0,0,0,0,0,0
