elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.179227,0,0,0,0,0,0,0,0
0.180801,0,0,0,0,0,0,0,0
0.182375,0,0,0,0,0,0,0,0
0.183946,0,0,0,0,0,0,0,0
0.185520,0,0,0,0,0,0,0,0
0.187098,0,0,0,0,0,0,0,0
0.188724,0,0,0,0,0,0,0,0
0.190271,0,0,0,0,0,0,0,0
0.191685,0,0,0,0,0,0,0,0
0.193225,0,0,0,0,0,0,0,0
0.194799,0,0,0,0,0,0,0,0
0.196370,0,0,0,0,0,0,0,0
0.197960,0,0,0,0,0,0,0,0
0.199532,0,0,0,0,0,0,0,0
0.201107,0,0,0,0,0,0,0,0
0.202680,0,0,0,0,0,0,0,0
0.204252,0,0,0,0,0,0,0,0
0.205916,0,0,0,0,0,0,0,0
0.207487,0,0,0,0,0,0,0,0
0.209077,0,0,0,0,0,0,0,0
0.210650,0,0,0,0,0,0,0,0
0.212220,0,0,0,0,0,0,0,0
0.213843,0,0,0,0,0,0,0,0
0.215413,0,0,0,0,0,0,0,0
0.216986,0,0,0,0,0,0,0,0
0.218557,0,0,0,0,0,0,0,0
0.220140,0,0,0,0,0,0,0,0
0.221754,0,0,0,0,0,0,0,0
0.223325,0,0,0,0,0,0,0,0
0.224899,0,0,0,0,0,0,0,0
0.226471,0,0,0,0,0,0,0,0
0.228040,0,0,0,0,0,0,0,0
0.229611,0,0,0,0,0,0,0,0
0.231194,0,0,0,0,0,0,0,0
0.232768,0,0,0,0,0,0,0,0
0.234339,0,0,0,0,0,0,0,0
0.235908,0,0,0,0,0,0,0,0
0.237523,0,0,0,0,0,0,0,0
0.239140,0,0,0,0,0,0,0,0
0.240714,0,0,0,0,0,0,0,0
0.242298,0,0,0,0,0,0,0,0
0.243868,0,0,0,0,0,0,0,0
0.245440,0,0,0,0,0,0,0,0
0.247011,0,0,0,0,0,0,0,0
0.248584,0,0,0,0,0,0,0,0
0.250156,0,0,0,0,0,0,0,0
0.251726,0,0,0,0,0,0,0,0
0.253354,0,0,0,0,0,0,0,0
0.254926,0,0,0,0,0,0,0,0
0.256496,0,0,0,0,0,0,0,0
0.258070,0,0,0,0,0,0,0,0
0.259639,0,0,0,0,0,0,0,0
0.261211,0,0,0,0,0,0,0,0
0.262782,0,0,0,0,0,0,0,0
0.264366,0,0,0,0,0,0,0,0
0.265942,0,0,0,0,0,0,0,0
0.267512,0,0,0,0,0,0,0,0
0.269129,0,0,0,0,0,0,0,0
0.270701,0,0,0,0,0,0,0,0
0.272271,0,0,0,0,0,0,0,0
0.273845,0,0,0,0,0,0,0,0
0.275428,0,0,0,0,0,0,0,0
0.277001,0,0,0,0,0,0,0,0
0.278572,0,0,0,0,0,0,0,0
0.280141,0,0,0,0,0,0,0,0
0.281712,0,0,0,0,0,0,0,0
0.283283,0,0,0,0,0,0,0,0
0.284854,0,0,0,0,0,0,0,0
0.286359,0,0,0,0,0,0,0,0
0.287777,0,0,0,0,0,0,0,0
0.289325,0,0,0,0,0,0,0,0
0.290898,0,0,0,0,0,0,0,0
0.292470,0,0,0,0,0,0,0,0
0.294048,0,0,0,0,0,0,0,0
0.295621,0,0,0,0,0,0,0,0
0.297209,0,0,0,0,0,0,0,0
0.298783,0,0,0,0,0,0,0,0
0.300356,0,0,0,0,0,0,0,0
0.301936,0,0,0,0,0,0,0,0
0.303507,0,0,0,0,0,0,0,0
0.305083,0,0,0,0,0,0,0,0
0.306656,0,0,0,0,0,0,0,0
0.308242,0,0,0,0,0,0,0,0
0.309791,0,0,0,0,0,0,0,0
0.311334,0,0,0,0,0,0,0,0
0.312909,0,0,0,0,0,0,0,0
0.314482,0,0,0,0,0,0,0,0
0.316055,0,0,0,0,0,0,0,0
0.317672,0,0,0,0,0,0,0,0
0.319261,0,0,0,0,0,0,0,0
0.320837,0,0,0,0,0,0,0,0
0.322410,0,0,0,0,0,0,0,0
0.323982,0,0,0,0,0,0,0,0
0.325554,0,0,0,0,0,0,0,0
0.327129,0,0,0,0,0,0,0,0
0.328705,0,0,0,0,0,0,0,0
0.330292,0,0,0,0,0,0,0,0
0.331864,0,0,0,0,0,0,0,0
0.333482,0,0,0,0,0,0,0,0
0.335057,0,0,0,0,0,0,0,0
0.336632,0,0,0,0,0,0,0,0
0.338206,0,0,0,0,0,0,0,0
0.339778,0,0,0,0,0,0,0,0
0.341367,0,0,0,0,0,0,0,0
0.342940,0,0,0,0,0,0,0,0
0.344513,0,0,0,0,0,0,0,0
0.346130,0,0,0,0,0,0,0,0
0.347700,0,0,0,0,0,0,0,0
0.349316,0,0,0,0,0,0,0,0
0.350888,0,0,0,0,0,0,0,0
0.352472,0,0,0,0,0,0,0,0
0.354048,0,0,0,0,0,0,0,0
0.355618,0,0,0,0,0,0,0,0
0.357192,0,0,0,0,0,0,0,0
0.358762,0,0,0,0,0,0,0,0
0.360332,0,0,0,0,0,0,0,0
0.361908,0,0,0,0,0,0,0,0
0.363490,0,0,0,0,0,0,0,0
0.365107,0,0,0,0,0,0,0,0
0.366679,0,0,0,0,0,0,0,0
0.368248,0,0,0,0,0,0,0,0
0.369782,0,0,0,0,0,0,0,0
0.371323,0,0,0,0,0,0,0,0
0.372897,0,0,0,0,0,0,0,0
0.374481,0,0,0,0,0,0,0,0
0.376051,0,0,0,0,0,0,0,0
0.377622,0,0,0,0,0,0,0,0
0.379194,0,0,0,0,0,0,0,0
0.380767,0,0,0,0,0,0,0,0
0.382341,0,0,0,0,0,0,0,0
0.383910,0,0,0,0,0,0,0,0
0.385495,0,0,0,0,0,0,0,0
0.387067,0,0,0,0,0,0,0,0
0.388640,0,0,0,0,0,0,0,0
0.390212,0,0,0,0,0,0,0,0
0.391782,0,0,0,0,0,0,0,0
0.393353,0,0,0,0,0,0,0,0
0.394921,0,0,0,0,0,0,0,0
0.396501,0,0,0,0,0,0,0,0
0.398118,0,0,0,0,0,0,0,0
0.399688,0,0,0,0,0,0,0,0
0.401263,0,0,0,0,0,0,0,0
0.402835,0,0,0,0,0,0,0,0
0.404406,0,0,0,0,0,0,0,0
0.405981,0,0,0,0,0,0,0,0
0.407564,0,0,0,0,0,0,0,0
0.409138,0,0,0,0,0,0,0,0
0.410709,0,0,0,0,0,0,0,0
0.412279,0,0,0,0,0,0,0,0
0.413855,0,0,0,0,0,0,0,0
