elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.133673,0,0,0,0,0,0
0.135072,0,0,0,0,0,0
0.136506,0,0,0,0,0,0
0.137897,0,0,0,0,0,0
0.139302,0,0,0,0,0,0
0.140827,0,0,0,0,0,0
0.142391,0,0,0,0,0,0
0.143953,0,0,0,0,0,0
0.145513,0,0,0,0,0,0
0.147088,0,0,0,0,0,0
0.148649,0,0,0,0,0,0
0.150210,0,0,0,0,0,0
0.151836,0,0,0,0,0,0
0.153238,0,0,0,0,0,0
0.154780,0,0,0,0,0,0
0.156779,0,0,0,0,0,0
0.158342,0,0,0,0,0,0
0.159783,0,0,0,0,0,0
0.161174,0,0,0,0,0,0
0.162836,0,0,0,0,0,0
0.164368,0,0,0,0,0,0
0.165918,0,0,0,0,0,0
0.167505,0,0,0,0,0,0
0.169079,0,0,0,0,0,0
0.170645,0,0,0,0,0,0
0.172264,0,0,0,0,0,0
0.173826,0,0,0,0,0,0
0.175393,0,0,0,0,0,0
0.176955,0,0,0,0,0,0
0.178521,0,0,0,0,0,0
0.180088,0,0,0,0,0,0
0.181640,0,0,0,0,0,0
0.183069,0,0,0,0,0,0
0.184601,0,0,0,0,0,0
0.186164,0,0,0,0,0,0
0.187770,0,0,0,0,0,0
0.189210,0,0,0,0,0,0
0.190624,0,0,0,0,0,0
0.192016,0,0,0,0,0,0
0.193406,0,0,0,0,0,0
0.194796,0,0,0,0,0,0
0.196186,0,0,0,0,0,0
0.197573,0,0,0,0,0,0
0.198965,0,0,0,0,0,0
0.200355,0,0,0,0,0,0
0.201753,0,0,0,0,0,0
0.203144,0,0,0,0,0,0
0.204587,0,0,0,0,0,0
0.205952,0,0,0,0,0,0
0.207388,0,0,0,0,0,0
0.208751,0,0,0,0,0,0
0.210178,0,0,0,0,0,0
0.211550,0,0,0,0,0,0
0.212921,0,0,0,0,0,0
0.214286,0,0,0,0,0,0
0.215650,0,0,0,0,0,0
0.217014,0,0,0,0,0,0
0.218380,0,0,0,0,0,0
0.219781,0,0,0,0,0,0
0.221130,0,0,0,0,0,0
0.222479,0,0,0,0,0,0
0.223834,0,0,0,0,0,0
0.225184,0,0,0,0,0,0
0.226538,0,0,0,0,0,0
0.227888,0,0,0,0,0,0
0.229239,0,0,0,0,0,0
0.230589,0,0,0,0,0,0
0.231938,0,0,0,0,0,0
0.233286,0,0,0,0,0,0
0.234640,0,0,0,0,0,0
0.236017,0,0,0,0,0,0
0.237436,0,0,0,0,0,0
0.238853,0,0,0,0,0,0
0.240163,0,0,0,0,0,0
0.241581,0,0,0,0,0,0
0.243004,0,0,0,0,0,0
0.244422,0,0,0,0,0,0
0.245852,0,0,0,0,0,0
0.247256,0,0,0,0,0,0
0.248699,0,0,0,0,0,0
0.250115,0,0,0,0,0,0
0.251536,0,0,0,0,0,0
0.252860,0,0,0,0,0,0
0.254298,0,0,0,0,0,0
0.255690,0,0,0,0,0,0
0.257100,0,0,0,0,0,0
0.258855,0,0,0,0,0,0
0.261092,0,0,0,12,151,148
0.262499,0,0,0,0,0,0
0.263893,0,0,0,0,0,0
0.265285,0,0,0,0,0,0
0.266719,0,0,0,0,0,0
0.268166,0,0,0,0,0,0
0.269557,0,0,0,0,0,0
0.270979,0,0,0,42,886,912
0.272379,0,0,0,0,0,0
0.273775,0,0,0,0,0,0
0.275172,0,0,0,0,0,0
0.276570,0,0,0,0,0,0
0.277966,0,0,0,0,0,0
0.279501,0,0,0,0,0,0
0.280909,0,0,0,0,0,0
0.282297,0,0,0,0,0,0
0.283731,0,0,0,0,0,0
0.285161,0,0,0,0,0,0
0.286550,0,0,0,0,0,0
0.287940,0,0,0,0,0,0
0.289332,0,0,0,0,0,0
0.290732,0,0,0,0,0,0
0.292119,0,0,0,0,0,0
0.293507,0,0,0,0,0,0
0.294895,0,0,0,0,0,0
0.296283,0,0,0,0,0,0
0.298233,0,0,0,0,0,0
0.299691,0,0,0,0,0,0
0.301096,0,0,0,0,0,0
0.302496,0,0,0,0,0,0
0.303887,0,0,0,0,0,0
0.305278,0,0,0,0,0,0
0.306669,0,0,0,0,0,0
0.308191,0,0,0,0,0,0
0.309744,0,0,0,0,0,0
0.311503,0,0,0,0,0,0
0.312908,0,0,0,0,0,0
0.314309,0,0,0,0,0,0
0.315748,0,0,0,0,0,0
0.317145,0,0,0,0,0,0
0.318542,0,0,0,0,0,0
0.320067,0,0,0,0,0,0
0.321647,0,0,0,0,0,0
0.323210,0,0,0,0,0,0
0.324771,0,0,0,0,0,0
0.326335,0,0,0,0,0,0
0.327896,0,0,0,0,0,0
0.329457,0,0,0,0,0,0
0.331018,0,0,0,0,0,0
0.332593,0,0,0,0,0,0
0.334155,0,0,0,0,0,0
0.335716,0,0,0,0,0,0
0.337274,0,0,0,0,0,0
0.338849,0,0,0,0,0,0
0.340416,0,0,0,0,0,0
0.341976,0,0,0,0,0,0
0.343556,0,0,0,0,0,0
0.345118,0,0,0,0,0,0
0.346683,0,0,0,0,0,0
0.348289,0,0,0,0,0,0
0.349851,0,0,0,0,0,0
0.351415,0,0,0,0,0,0
0.352848,0,0,0,0,0,0
0.354396,0,0,0,0,0,0
0.355962,0,0,0,0,0,0
0.357524,0,0,0,0,0,0
0.359087,0,0,0,0,0,0
0.360651,0,0,0,0,0,0
0.362218,0,0,0,0,0,0
0.363827,0,0,0,0,0,0
0.365403,0,0,0,0,0,0
0.366969,0,0,0,0,0,0
0.368534,0,0,0,0,0,0
0.370096,0,0,0,0,0,0
0.371587,0,0,0,0,0,0
0.372991,0,0,0,0,0,0
0.374522,0,0,0,0,0,0
0.376100,0,0,0,0,0,0
0.377662,0,0,0,0,0,0
0.379227,0,0,0,0,0,0
0.380793,0,0,0,0,0,0
0.382358,0,0,0,0,0,0
0.383820,0,0,0,0,0,0
0.385235,0,0,0,0,0,0
0.386651,0,0,0,0,0,0
0.388042,0,0,0,0,0,0
0.389432,0,0,0,0,0,0
0.390821,0,0,0,0,0,0
0.392210,0,0,0,0,0,0
0.393599,0,0,0,0,0,0
0.394989,0,0,0,0,0,0
0.396418,0,0,0,0,0,0
0.397819,0,0,0,0,0,0
0.399283,0,0,0,0,0,0
0.400670,0,0,0,0,0,0
0.402057,0,0,0,0,0,0
0.403480,0,0,0,0,0,0
0.404866,0,0,0,0,0,0
0.406254,0,0,0,0,0,0
0.407645,0,0,0,0,0,0
0.409042,0,0,0,0,0,0
0.410645,0,0,0,0,0,0
0.412162,0,0,0,0,0,0
0.413527,0,0,0,0,0,0
0.414890,0,0,0,0,0,0
0.416253,0,0,0,0,0,0
0.417616,0,0,0,0,0,0
0.418979,0,0,0,0,0,0
0.420351,0,0,0,0,0,0
0.421715,0,0,0,0,0,0
