elapsed_s,VPC_BE_TSE_BE_PRIMITIVES,VPC_BE_TSE_BE_TRANSACTIONS,VPC_BE_STARVE_CYCLES_LRZ,VPC_BE_LRZ_ASSIGN_PRIMITIVES,VPC_BE_RB_VISIBLE_PRIMITIVES,VPC_BE_STARVE_CYCLES_RB
0.269316,0,0,0,0,0,0
0.270735,0,0,0,0,0,0
0.272209,0,0,0,0,0,0
0.273619,0,0,0,0,0,0
0.275324,0,0,3915,0,0,0
0.276709,0,0,0,0,0,0
0.278068,0,0,0,0,0,0
0.279492,0,0,0,0,0,0
0.280851,0,0,0,0,0,0
0.282206,0,0,0,0,0,0
0.283613,0,0,0,0,0,0
0.284976,0,0,0,0,0,0
0.286367,0,0,0,0,0,0
0.287760,0,0,0,0,0,0
0.289157,0,0,0,0,0,0
0.290553,0,0,0,0,0,0
0.292009,0,0,0,0,0,0
0.293394,0,0,0,0,0,0
0.294783,0,0,0,0,0,0
0.296163,0,0,0,0,0,0
0.297559,0,0,0,0,0,0
0.298945,0,0,0,0,0,0
0.300378,0,0,0,0,0,0
0.302020,0,0,0,0,0,0
0.307052,0,0,0,0,0,0
0.308843,0,0,0,0,0,0
0.310295,0,0,0,0,0,0
0.311700,0,0,0,0,0,0
0.313108,0,0,0,0,0,0
0.314499,0,0,0,0,0,0
0.315996,0,0,0,0,0,0
0.317386,0,0,0,0,0,0
0.318778,0,0,0,0,0,0
0.320170,0,0,0,0,0,0
0.321541,0,0,0,0,0,0
0.322894,0,0,0,0,0,0
0.324260,0,0,0,0,0,0
0.325610,0,0,0,0,0,0
0.326961,0,0,0,0,0,0
0.328310,0,0,0,0,0,0
0.329664,0,0,0,0,0,0
0.331012,0,0,0,0,0,0
0.332493,0,0,0,0,0,0
0.334066,0,0,0,0,0,0
0.335525,0,0,0,0,0,0
0.336928,0,0,0,0,0,0
0.338326,0,0,0,0,0,0
0.339724,0,0,0,0,0,0
0.341119,0,0,0,0,0,0
0.342515,0,0,0,0,0,0
0.343971,0,0,0,0,0,0
0.345367,0,0,0,0,0,0
0.346771,0,0,0,0,0,0
0.348168,0,0,0,0,0,0
0.349564,0,0,0,0,0,0
0.351007,0,0,0,0,0,0
0.352403,0,0,0,0,0,0
0.353798,0,0,0,0,0,0
0.355326,0,0,0,0,0,0
0.356888,0,0,0,0,0,0
0.358460,0,0,0,0,0,0
0.359993,0,0,0,0,0,0
0.361522,0,0,0,0,0,0
0.363085,0,0,0,0,0,0
0.364691,0,0,0,0,0,0
0.366251,0,0,0,0,0,0
0.367812,0,0,0,0,0,0
0.369384,0,0,0,0,0,0
0.370925,0,0,0,0,0,0
0.372487,0,0,0,0,0,0
0.374049,0,0,0,0,0,0
0.375613,0,0,0,0,0,0
0.377176,0,0,0,0,0,0
0.378737,0,0,0,0,0,0
0.380317,0,0,0,0,0,0
0.381878,0,0,0,0,0,0
0.383443,0,0,0,0,0,0
0.385006,0,0,0,0,0,0
0.386569,0,0,0,0,0,0
0.388138,0,0,0,0,0,0
0.389574,0,0,0,0,0,0
0.390992,0,0,0,0,0,0
0.392386,0,0,0,0,0,0
0.393775,0,0,0,0,0,0
0.395165,0,0,0,0,0,0
