elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.474912,0,0,0,0,0,0
0.476311,0,0,0,0,0,0
0.477707,0,0,0,0,0,0
0.479106,0,0,0,0,0,0
0.480500,0,0,0,0,0,0
0.481895,0,0,0,0,0,0
0.483301,0,0,0,0,0,0
0.484703,0,0,0,0,0,0
0.486096,0,0,0,0,0,0
0.487488,0,0,0,0,0,0
0.488877,0,0,0,0,0,0
0.493205,0,0,0,0,0,0
0.494610,0,0,0,0,0,0
0.496006,0,0,0,0,0,0
0.497484,0,0,0,0,0,0
0.498875,0,0,0,0,0,0
0.500267,0,0,0,0,0,0
0.501790,0,0,0,0,0,0
0.503530,0,0,0,0,0,0
0.504942,0,0,0,0,0,0
0.506342,0,0,0,0,0,0
0.507738,0,0,0,0,0,0
0.509134,0,0,0,0,0,0
0.510618,0,0,0,0,0,0
0.511982,0,0,0,0,0,0
0.513336,0,0,0,0,0,0
0.514688,0,0,0,0,0,0
0.516053,0,0,0,0,0,0
0.517406,0,0,0,0,0,0
0.518890,0,0,0,0,0,0
0.520462,0,0,0,0,0,0
0.522026,0,0,0,0,0,0
0.523589,0,0,0,0,0,0
0.525219,0,0,0,0,0,0
0.526863,0,0,0,0,0,0
0.528799,0,0,0,0,0,0
0.530228,0,0,0,0,0,0
0.531780,0,0,0,0,0,0
0.533234,0,0,0,0,0,0
0.534635,0,0,0,0,0,0
0.536074,0,0,0,0,0,0
0.537487,0,0,0,0,0,0
0.538884,0,0,0,0,0,0
0.540280,0,0,0,0,0,0
0.541678,0,0,0,0,0,0
0.543275,0,0,0,0,0,0
0.544836,0,0,0,0,0,0
0.546490,0,0,0,0,0,0
0.548063,0,0,0,0,0,0
0.549629,0,0,0,0,0,0
0.551236,0,0,0,0,0,0
0.552797,0,0,0,0,0,0
0.554301,0,0,0,0,0,0
0.555834,0,0,0,0,0,0
0.557399,0,0,0,0,0,0
0.558965,0,0,0,0,0,0
0.560516,0,0,0,0,0,0
0.561943,0,0,0,0,0,0
0.563475,0,0,0,0,0,0
0.565036,0,0,0,0,0,0
0.566604,0,0,0,0,0,0
0.568210,0,0,0,0,0,0
0.569788,0,0,0,0,0,0
0.571352,0,0,0,0,0,0
0.572953,0,0,0,0,0,0
0.574518,0,0,0,0,0,0
0.576069,0,0,0,0,0,0
0.577496,0,0,0,0,0,0
0.578897,0,0,0,0,0,0
0.580435,0,0,0,0,0,0
0.581999,0,0,0,0,0,0
0.583560,0,0,0,0,0,0
0.585328,0,0,0,0,0,0
0.586741,0,0,0,0,0,0
0.588134,0,0,0,0,0,0
0.589524,0,0,0,0,0,0
0.590927,0,0,0,0,0,0
0.592316,0,0,0,0,0,0
0.593748,0,0,0,0,0,0
0.595138,0,0,0,0,0,0
0.596527,0,0,0,0,0,0
0.597917,0,0,0,0,0,0
0.599362,0,0,0,0,0,0
0.600726,0,0,0,0,0,0
0.602097,0,0,0,0,0,0
0.603460,0,0,0,0,0,0
0.604823,0,0,0,0,0,0
0.606188,0,0,0,0,0,0
0.607551,0,0,0,0,0,0
0.608915,0,0,0,0,0,0
0.610320,0,0,0,0,0,0
0.611684,0,0,0,0,0,0
0.613052,0,0,0,0,0,0
0.614519,0,0,0,0,0,0
0.615913,0,0,0,0,0,0
0.617262,0,0,0,0,0,0
0.618612,0,0,0,0,0,0
0.619967,0,0,0,0,0,0
0.621318,0,0,0,0,0,0
0.622668,0,0,0,0,0,0
0.624023,0,0,0,0,0,0
0.625373,0,0,0,0,0,0
0.626723,0,0,0,0,0,0
0.628073,0,0,0,0,0,0
0.629473,0,0,0,0,0,0
0.630852,0,0,0,0,0,0
0.632271,0,0,0,0,0,0
0.633688,0,0,0,0,0,0
0.635111,0,0,0,0,0,0
0.636529,0,0,0,0,0,0
0.637947,0,0,0,0,0,0
0.639365,0,0,0,0,0,0
0.640783,0,0,0,0,0,0
0.642098,0,0,0,0,0,0
0.643524,0,0,0,0,0,0
0.644900,0,0,0,0,0,0
0.646273,0,0,0,0,0,0
0.647644,0,0,0,0,0,0
