elapsed_s,VPC_BE_CCHE_NUM_POS_REQ,VPC_BE_STALL_CYCLES_LM_ACK,VPC_BE_STALL_CYCLES_PRG_END_VPCPS,VPC_BE_POS_OVERFETCH_ATTR,VPC_BE_BOTTLENECK
0.225528,0,0,0,0,0
0.226852,0,0,0,0,0
0.228167,0,0,0,0,0
0.229530,0,0,0,0,0
0.230885,0,0,0,0,0
0.232185,0,0,0,0,0
0.233534,0,0,0,0,0
0.234834,0,0,0,0,0
0.236134,0,0,0,0,0
0.237442,0,0,0,0,0
0.238742,0,0,0,0,0
0.240092,0,0,0,0,0
0.241394,0,0,0,0,0
0.242693,0,0,0,0,0
0.243991,0,0,0,0,0
0.245337,0,0,0,0,0
0.246665,0,0,0,0,0
0.248034,0,0,0,0,0
0.249448,0,0,0,0,0
0.250812,0,0,0,0,0
0.252177,0,0,0,0,0
0.253434,0,0,0,0,0
0.254801,0,0,0,0,0
0.256230,0,0,0,0,0
0.257540,0,0,0,0,0
0.258960,0,0,0,0,0
0.260374,0,0,0,0,0
0.261789,0,0,0,0,0
0.263218,0,0,0,0,0
0.264621,0,0,0,0,0
0.266036,0,0,0,0,0
0.267450,0,0,0,0,0
0.268733,0,0,0,0,0
0.270101,0,0,0,0,0
0.271359,0,0,0,0,0
0.272723,0,0,0,0,0
0.274088,0,0,0,0,0
0.275453,0,0,0,0,0
0.276817,0,0,0,0,0
0.278197,0,0,0,0,0
0.279565,0,0,0,0,0
0.281010,0,0,0,0,0
0.283463,0,0,0,0,0
0.284860,0,0,0,0,0
0.286254,0,0,0,0,0
0.287645,0,0,0,0,0
0.289105,0,0,0,0,0
0.290594,0,0,0,0,0
0.291988,0,0,0,0,0
0.293374,0,0,0,0,0
0.294761,0,0,0,0,0
0.296147,0,0,0,0,0
0.297893,0,0,0,0,0
0.299347,0,0,0,0,0
0.304656,0,0,0,0,0
0.306049,0,0,0,0,0
0.307436,0,0,0,0,0
0.308856,0,0,0,0,0
0.310291,0,0,0,0,0
0.311695,0,0,0,0,0
0.313211,0,0,0,0,0
0.314658,0,0,0,0,0
0.316093,0,0,0,0,0
0.317487,0,0,0,0,0
0.318873,0,0,0,0,0
0.320258,0,0,0,0,0
0.321642,0,0,0,0,0
0.323038,0,0,0,0,0
0.324422,0,0,0,0,0
0.325801,0,0,0,0,0
0.327175,0,0,0,0,0
0.328561,0,0,0,0,0
0.329946,0,0,0,0,0
0.331335,0,0,0,0,0
0.332726,0,0,0,0,0
0.334124,0,0,0,0,0
0.335512,0,0,0,0,0
0.336900,0,0,0,0,0
0.338290,0,0,0,0,0
0.339679,0,0,0,0,0
0.341071,0,0,0,0,0
0.342495,0,0,0,0,0
0.344013,0,0,0,0,0
0.345580,0,0,0,0,0
0.347133,0,0,0,0,0
0.348688,0,0,0,0,0
0.350243,0,0,0,0,0
0.351795,0,0,0,0,0
0.353352,0,0,0,0,0
0.354907,0,0,0,0,0
0.356471,0,0,0,0,0
0.358029,0,0,0,0,0
0.359502,0,0,0,0,0
0.361010,0,0,0,0,0
0.362536,0,0,0,0,0
0.364089,0,0,0,0,0
0.365645,0,0,0,0,0
0.367213,0,0,0,0,0
0.368770,0,0,0,0,0
0.370326,0,0,0,0,0
0.371878,0,0,0,0,0
0.373434,0,0,0,0,0
0.374881,0,0,0,0,0
0.376284,0,0,0,0,0
0.377971,0,0,0,0,0
0.379373,0,0,0,0,0
0.380810,0,0,0,0,0
0.382203,0,0,0,0,0
0.384694,0,0,0,0,0
0.386122,0,0,0,0,0
0.387515,0,0,0,0,0
0.388915,0,0,0,0,0
0.390339,0,0,0,0,0
0.391725,0,0,0,0,0
0.393112,0,0,0,0,0
0.395344,0,0,0,0,0
0.396781,0,0,0,0,0
0.398175,0,0,0,0,0
0.399572,0,0,0,0,0
0.400957,0,0,0,0,0
0.402341,0,0,0,0,0
0.403723,0,0,0,0,0
0.405107,0,0,0,0,0
0.406535,0,0,0,0,0
0.407917,0,0,0,0,0
0.409300,0,0,0,0,0
0.410694,0,0,0,0,0
0.412078,0,0,0,0,0
0.413460,0,0,0,0,0
0.414842,0,0,0,0,0
0.416224,0,0,0,0,0
0.417606,0,0,0,0,0
0.418988,0,0,0,0,0
0.420368,0,0,0,0,0
0.421825,0,0,0,0,0
0.423202,0,0,0,0,0
0.424561,0,0,0,0,0
0.426000,0,0,0,0,0
0.427358,0,0,0,0,0
0.428716,0,0,0,0,0
0.430074,0,0,0,0,0
0.431431,0,0,0,0,0
0.432798,0,0,0,0,0
0.434157,0,0,0,0,0
0.435515,0,0,0,0,0
0.436874,0,0,0,0,0
0.438271,0,0,0,0,0
0.439688,0,0,0,0,0
0.441102,0,0,0,0,0
0.442517,0,0,0,0,0
0.443936,0,0,0,0,0
0.445350,0,0,0,0,0
